affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000358,"",2022,N00026050,Lisa Murkowski (R),KKR & Co,49566,0,49566,1,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000000303,"",2022,N00026050,Lisa Murkowski (R),ConocoPhillips,30350,10000,40350,2,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000030537,"",2022,N00026050,Lisa Murkowski (R),Trident Seafoods,33150,3100,36250,3,I,2022-10-28 00:00:00 +0000,10779675.11
"","",C00797670,2022,N00026050,Lisa Murkowski (R),American Israel Public Affairs Cmte,24000,10000,34000,4,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000021872,"",2022,N00026050,Lisa Murkowski (R),BlackRock Inc,23700,10000,33700,5,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000000321,"",2022,N00026050,Lisa Murkowski (R),NextEra Energy,30450,2500,32950,6,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000022158,"",2022,N00026050,Lisa Murkowski (R),NorPAC,31250,0,31250,7,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000021873,"",2022,N00026050,Lisa Murkowski (R),Blackstone Group,29700,0,29700,8,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000067823,"",2022,N00026050,Lisa Murkowski (R),Alphabet Inc,16500,9000,25500,9,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000000368,"",2022,N00026050,Lisa Murkowski (R),Exelon Corp,21900,3500,25400,10,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000021845,"",2022,N00026050,Lisa Murkowski (R),Apollo Global Management,25200,0,25200,11,I,2022-10-28 00:00:00 +0000,10779675.11
"","","",2022,N00026050,Lisa Murkowski (R),Saltchuk,20266,4000,24266,12,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000000959,"",2022,N00026050,Lisa Murkowski (R),Qurate Retail,23800,0,23800,13,I,2022-10-28 00:00:00 +0000,10779675.11
"","","",2022,N00026050,Lisa Murkowski (R),Freedom Road LLC (Colorado),23200,0,23200,14,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000061745,"",2022,N00026050,Lisa Murkowski (R),Hunt Companies,23200,0,23200,15,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000000015,"",2022,N00026050,Lisa Murkowski (R),Chevron Corp,12856,10000,22856,16,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000019743,"",2022,N00026050,Lisa Murkowski (R),Wells Fargo,2250,20000,22250,17,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000023819,"",2022,N00026050,Lisa Murkowski (R),Alaska Air Group,12800,7000,19800,18,I,2022-10-28 00:00:00 +0000,10779675.11
"","","",2022,N00026050,Lisa Murkowski (R),Walton Family Foundation,17400,0,17400,19,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000066716,"",2022,N00026050,Lisa Murkowski (R),Rock Holdings,7100,10000,17100,20,I,2022-10-28 00:00:00 +0000,10779675.11
"",D000037787,"",2022,N00048382,Kelly Tshibaka (R),State of Alaska,34395,0,34395,1,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000044060,"",2022,N00048382,Kelly Tshibaka (R),Saulsbury Industries,31900,0,31900,2,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Parts Life,20800,0,20800,3,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Petro 49,17700,0,17700,4,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000069468,"",2022,N00048382,Kelly Tshibaka (R),Deason Capital Services,17400,0,17400,5,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000044283,"",2022,N00048382,Kelly Tshibaka (R),"Municipality of Anchorage, AK",14615,0,14615,6,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000000811,"",2022,N00048382,Kelly Tshibaka (R),Kirkland & Ellis,13400,0,13400,7,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000000659,"",2022,N00048382,Kelly Tshibaka (R),State Farm Insurance,13105,0,13105,8,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Powers Brothers,11610,0,11610,9,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Peter D Austin & Assoc,11600,0,11600,10,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Cruz Construction (Alaska),11600,0,11600,11,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),General Equities Inc,11600,0,11600,12,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000000100,"",2022,N00048382,Kelly Tshibaka (R),Boeing Co,10675,0,10675,13,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000024850,"",2022,N00048382,Kelly Tshibaka (R),Citizens United,0,10000,10000,14,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Cozy Interiors,8900,0,8900,15,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000033595,"",2022,N00048382,Kelly Tshibaka (R),Fast Food Systems,8700,0,8700,16,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Remax Dynamic Properties,8700,0,8700,17,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000052477,"",2022,N00048382,Kelly Tshibaka (R),Jackson Hole Mountain Resort,8700,0,8700,18,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000032848,"",2022,N00048382,Kelly Tshibaka (R),Continental Resources,5800,2500,8300,19,C,2022-10-28 00:00:00 +0000,4847915.97
"","","",2022,N00048382,Kelly Tshibaka (R),Victoria Landing,7900,0,7900,20,C,2022-10-28 00:00:00 +0000,4847915.97
"",D000034986,"",2022,N00051467,Patricia Chesbro (D),Kaiser Permanente,2900,0,2900,1,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Veteans Adminstraion,2900,0,2900,2,C,2022-10-28 00:00:00 +0000,184617.13
"",D000000406,"",2022,N00051467,Patricia Chesbro (D),University of California,2800,0,2800,3,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Greenfield Community College,2800,0,2800,4,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Captel Inc,2500,0,2500,5,C,2022-10-28 00:00:00 +0000,184617.13
"",D000035349,"",2022,N00051467,Patricia Chesbro (D),Levi Strauss & Co,2000,0,2000,6,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),The Family Health Center,2000,0,2000,7,C,2022-10-28 00:00:00 +0000,184617.13
"",D000037787,"",2022,N00051467,Patricia Chesbro (D),State Of Alaska,1775,0,1775,8,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Lca,1250,0,1250,9,C,2022-10-28 00:00:00 +0000,184617.13
"",D000067823,"",2022,N00051467,Patricia Chesbro (D),Alphabet Inc,1100,0,1100,10,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Nfp Comms,1000,0,1000,11,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051467,Patricia Chesbro (D),Plastic-Free Portfolio,1000,0,1000,12,C,2022-10-28 00:00:00 +0000,184617.13
"","","",2022,N00051688,Buzz Kelley (R),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
