affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000030644,"",2020,N00024817,Doug Jones (D),University of Alabama,189860,0,189860,1,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000067823,"",2020,N00024817,Doug Jones (D),Alphabet Inc,152950,5000,157950,2,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000406,"",2020,N00024817,Doug Jones (D),University of California,133166,0,133166,3,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000025328,"",2020,N00024817,Doug Jones (D),Democracy Engine,119699,0,119699,4,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000115,"",2020,N00024817,Doug Jones (D),Microsoft Corp,54823,4000,58823,5,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000021754,"",2020,N00024817,Doug Jones (D),Apple Inc,56794,0,56794,6,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000022300,"",2020,N00024817,Doug Jones (D),US Government,53259,0,53259,7,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000128,"",2020,N00024817,Doug Jones (D),Walt Disney Co                          ,51914,0,51914,8,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000047500,"",2020,N00024817,Doug Jones (D),Auburn University,48574,0,48574,9,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000552,"",2020,N00024817,Doug Jones (D),Paloma Partners,47610,0,47610,10,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000076,"",2020,N00024817,Doug Jones (D),AT&T Inc,43124,3000,46124,11,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000023883,"",2020,N00024817,Doug Jones (D),Amazon.com,44750,0,44750,12,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000461,"",2020,N00024817,Doug Jones (D),Comcast Corp,38016,5000,43016,13,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000750,"",2020,N00024817,Doug Jones (D),Stanford University,42159,0,42159,14,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000085,"",2020,N00024817,Doug Jones (D),Goldman Sachs,31821,10000,41821,15,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000033563,"",2020,N00024817,Doug Jones (D),Facebook Inc,36742,5000,41742,16,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000769,"",2020,N00024817,Doug Jones (D),"Paul, Weiss et al                       ",41354,0,41354,17,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000109,"",2020,N00024817,Doug Jones (D),Blue Cross/Blue Shield,22449,17500,39949,18,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000022121,"",2020,N00024817,Doug Jones (D),Motley Rice LLC,38768,0,38768,19,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000022322,"",2020,N00024817,Doug Jones (D),Wilmerhale Llp,38600,0,38600,20,I,2021-03-22 00:00:00 +0000,30640634.54
"",D000000763,"",2020,N00044434,Tommy Tuberville (R),Club for Growth,67896,0,67896,1,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Hometown Lenders,64900,0,64900,2,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000025591,"",2020,N00044434,Tommy Tuberville (R),Drummond Co,28900,10000,38900,3,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000030968,"",2020,N00044434,Tommy Tuberville (R),Wellborn Cabinet                                  ,30500,0,30500,4,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000021923,"",2020,N00044434,Tommy Tuberville (R),Collazo Enterprises,25110,0,25110,5,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Broadway Group,23900,0,23900,6,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Proshot Concrete,22600,0,22600,7,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Trivector Services                                ,22100,0,22100,8,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000056805,"",2020,N00044434,Tommy Tuberville (R),Smith's Inc,21800,0,21800,9,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000051477,"",2020,N00044434,Tommy Tuberville (R),Great Southern Wood Preserving,21600,0,21600,10,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Ona Atlanta,21600,0,21600,11,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000047500,"",2020,N00044434,Tommy Tuberville (R),Auburn University,20910,0,20910,12,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Woodland Homes,20850,0,20850,13,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Breland Homes,20100,0,20100,14,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Best Auto Sales,20000,0,20000,15,C,2021-03-22 00:00:00 +0000,8537218.350000001
"",D000031869,"",2020,N00044434,Tommy Tuberville (R),"Beasley, Allen et al",20000,0,20000,16,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Conference America,19600,0,19600,17,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Southern States Bank,17330,0,17330,18,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Flora-Bama Package & Lounge,16800,0,16800,19,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00044434,Tommy Tuberville (R),Econo-Med Inc,16800,0,16800,20,C,2021-03-22 00:00:00 +0000,8537218.350000001
"","","",2020,N00045101,Michael Parrish (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,5116.21
"","","",2020,N00044406,Jarmal Jabbar Sanders (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00044665,Marcus Jejaun Williams (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
