affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2018,N00033983,Kyrsten Sinema (D),Emily's List,395588,10000,405588,1,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000025328,"",2018,N00033983,Kyrsten Sinema (D),Democracy Engine,208004,0,208004,2,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000065181,"",2018,N00033983,Kyrsten Sinema (D),Votesane PAC,165650,0,165650,3,O,2019-06-10 00:00:00 +0000,22197141.26
D000022008,D000067823,"",2018,N00033983,Kyrsten Sinema (D),Google Inc,66011,3000,69011,4,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000769,"",2018,N00033983,Kyrsten Sinema (D),"Paul, Weiss et al",64350,0,64350,5,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000031618,"",2018,N00033983,Kyrsten Sinema (D),Arizona State University,59038,0,59038,6,O,2019-06-10 00:00:00 +0000,22197141.26
D000000157,D000067697,"",2018,N00033983,Kyrsten Sinema (D),American Airlines,43525,10000,53525,7,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000288,"",2018,N00033983,Kyrsten Sinema (D),League of Conservation Voters,40445,9953,50398,8,O,2019-06-10 00:00:00 +0000,22197141.26
"","","",2018,N00033983,Kyrsten Sinema (D),Crescent Capital Group,49600,0,49600,9,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000030646,"",2018,N00033983,Kyrsten Sinema (D),University of Arizona,48391,0,48391,10,O,2019-06-10 00:00:00 +0000,22197141.26
"","","",2018,N00033983,Kyrsten Sinema (D),Democratic Senatorial Campaign Cmte,25,47400,47425,11,O,2019-06-10 00:00:00 +0000,22197141.26
"","","",2018,N00033983,Kyrsten Sinema (D),Democratic Senatorial Campaign Cmte,25,47400,47425,11,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000037647,"",2018,N00033983,Kyrsten Sinema (D),Snell & Wilmer,42815,0,42815,12,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000022121,"",2018,N00033983,Kyrsten Sinema (D),Motley Rice LLC,37050,0,37050,13,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000029916,"",2018,N00033983,Kyrsten Sinema (D),Womencount PAC,35036,10,35046,14,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000085,"",2018,N00033983,Kyrsten Sinema (D),Goldman Sachs,23650,10000,33650,15,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000162,"",2018,N00033983,Kyrsten Sinema (D),"Akin, Gump et al",28049,1500,29549,16,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000217,"",2018,N00033983,Kyrsten Sinema (D),American Express,20150,8500,28650,17,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000615,"",2018,N00033983,Kyrsten Sinema (D),"Wachtell, Lipton et al",27346,0,27346,18,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000000517,"",2018,N00033983,Kyrsten Sinema (D),DE Shaw & Co,26650,0,26650,19,O,2019-06-10 00:00:00 +0000,22197141.26
"",D000036616,"",2018,N00033983,Kyrsten Sinema (D),Perkins Coie,24406,0,24406,20,O,2019-06-10 00:00:00 +0000,22197141.26
D000000175,D000072615,"",2018,N00033982,Martha McSally (R),Raytheon Co,38095,10000,48095,1,O,2019-06-10 00:00:00 +0000,21618742.740000002
"","","",2018,N00033982,Martha McSally (R),National Republican Senatorial Cmte,0,47400,47400,2,O,2019-06-10 00:00:00 +0000,21618742.740000002
"",D000021995,"",2018,N00033982,Martha McSally (R),Freeport-McMoRan,34600,10000,44600,3,O,2019-06-10 00:00:00 +0000,21618742.740000002
"",D000021972,"",2018,N00033982,Martha McSally (R),Elliott Management,40900,0,40900,4,O,2019-06-10 00:00:00 +0000,21618742.740000002
"",D000021873,"",2018,N00033982,Martha McSally (R),Blackstone Group,34700,0,34700,5,O,2019-06-10 00:00:00 +0000,21618742.740000002
"","",C00646703,2018,N00033982,Martha McSally (R),Winning for Women,29700,5000,34700,5,O,2019-06-10 00:00:00 +0000,21618742.740000002
"","","",2018,N00033982,Martha McSally (R),Fulton Homes Corp,34100,0,34100,7,O,2019-06-10 00:00:00 +0000,21618742.740000002
D000023858,D000023865,"",2018,N00033982,Martha McSally (R),Alliance Coal                                     ,21466,10000,31466,8,O,2019-06-10 00:00:00 +0000,21618742.740000002
