affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2018,N00007364,Dianne Feinstein (D),EMILY's List,98450,10000,108450,1,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000290,"",2018,N00007364,Dianne Feinstein (D),PG&E Corp,42035,10000,52035,2,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000036707,"",2018,N00007364,Dianne Feinstein (D),Pisces Inc,45900,0,45900,3,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000103,"",2018,N00007364,Dianne Feinstein (D),JPMorgan Chase & Co,42300,0,42300,4,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000239,"",2018,N00007364,Dianne Feinstein (D),Edison International,31900,10000,41900,5,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000330,"",2018,N00007364,Dianne Feinstein (D),Holland & Knight,27400,9000,36400,6,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000162,"",2018,N00007364,Dianne Feinstein (D),"Akin, Gump et al",32902,3250,36152,7,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000468,"",2018,N00007364,Dianne Feinstein (D),Estee Lauder Companies,34400,0,34400,8,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000317,"",2018,N00007364,Dianne Feinstein (D),General Atomics,22525,10000,32525,9,I,2019-06-10 00:00:00 +0000,16092232.61
D000026918,D000052457,"",2018,N00007364,Dianne Feinstein (D),JStreetPAC,32400,0,32400,10,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000794,"",2018,N00007364,Dianne Feinstein (D),Qualcomm Inc,21610,10000,31610,11,I,2019-06-10 00:00:00 +0000,16092232.61
"","","",2018,N00007364,Dianne Feinstein (D),McStrauss Co,30000,0,30000,12,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000029147,"",2018,N00007364,Dianne Feinstein (D),SpaceX,21600,8000,29600,13,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000025328,"",2018,N00007364,Dianne Feinstein (D),Democracy Engine,28699,0,28699,14,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000032381,"",2018,N00007364,Dianne Feinstein (D),"Casey, Gerry et al",28650,0,28650,15,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000000563,"",2018,N00007364,Dianne Feinstein (D),"Manatt, Phelps & Phillips",20800,6700,27500,16,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000027692,"",2018,N00007364,Dianne Feinstein (D),Molina Healthcare,20800,4500,25300,17,I,2019-06-10 00:00:00 +0000,16092232.61
D000019708,D000000239,"",2018,N00007364,Dianne Feinstein (D),Southern California Edison,25112,0,25112,18,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000030766,"",2018,N00007364,Dianne Feinstein (D),Vail Resorts,15010,10000,25010,19,I,2019-06-10 00:00:00 +0000,16092232.61
"",D000037351,"",2018,N00007364,Dianne Feinstein (D),San Francisco Unified School District,24422,0,24422,20,I,2019-06-10 00:00:00 +0000,16092232.61
