affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00030608,Michael Bennet (D),Democracy Engine,232232,0,232232,1,I,2022-10-28 00:00:00 +0000,20809488.52
"","",C00797670,2022,N00030608,Michael Bennet (D),American Israel Public Affairs Cmte,65800,10000,75800,2,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000030653,"",2022,N00030608,Michael Bennet (D),University of Colorado,66087,0,66087,3,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000000769,"",2022,N00030608,Michael Bennet (D),"Paul, Weiss et al",54300,0,54300,4,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000021873,"",2022,N00030608,Michael Bennet (D),Blackstone Group,53300,0,53300,5,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000065181,"",2022,N00030608,Michael Bennet (D),Votesane PAC,52500,0,52500,6,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000000535,"",2022,N00030608,Michael Bennet (D),DISH Network,47450,0,47450,7,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000068537,"",2022,N00030608,Michael Bennet (D),Arnold & Porter Kaye Scholer,40925,5000,45925,8,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000021845,"",2022,N00030608,Michael Bennet (D),Apollo Global Management,45500,0,45500,9,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000067823,"",2022,N00030608,Michael Bennet (D),Alphabet Inc,39025,0,39025,10,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000022322,"",2022,N00030608,Michael Bennet (D),Wilmerhale LLP,36700,0,36700,11,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000037790,"",2022,N00030608,Michael Bennet (D),State of Colorado,36605,0,36605,12,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000021872,"",2022,N00030608,Michael Bennet (D),BlackRock Inc,31900,0,31900,13,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000052457,"",2022,N00030608,Michael Bennet (D),J Street,31400,0,31400,14,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000019809,"",2022,N00030608,Michael Bennet (D),Council for a Livable World,27333,0,27333,15,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000000461,"",2022,N00030608,Michael Bennet (D),Comcast Corp,26100,0,26100,16,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000000406,"",2022,N00030608,Michael Bennet (D),University of California,24950,0,24950,17,I,2022-10-28 00:00:00 +0000,20809488.52
"","",C00719393,2022,N00030608,Michael Bennet (D),Warner Brothers Discovery,23700,0,23700,18,I,2022-10-28 00:00:00 +0000,20809488.52
"","","",2022,N00030608,Michael Bennet (D),Varana Capital,23200,0,23200,19,I,2022-10-28 00:00:00 +0000,20809488.52
"",D000000333,"",2022,N00030608,Michael Bennet (D),"Kleiner, Perkins et al",23200,0,23200,20,I,2022-10-28 00:00:00 +0000,20809488.52
"","","",2022,N00049385,Joe O'Dea (R),CEI Constructors,64605,0,64605,1,C,2022-10-28 00:00:00 +0000,7290638.88
"","","",2022,N00049385,Joe O'Dea (R),Transwest Automotive Group,27450,0,27450,2,C,2022-10-28 00:00:00 +0000,7290638.88
"",D000030873,"",2022,N00049385,Joe O'Dea (R),Wagner Equipment,25200,0,25200,3,C,2022-10-28 00:00:00 +0000,7290638.88
"","","",2022,N00049385,Joe O'Dea (R),Concrete Express,23550,0,23550,4,C,2022-10-28 00:00:00 +0000,7290638.88
"",D000034428,"",2022,N00049385,Joe O'Dea (R),Hensel Phelps Construction,23550,0,23550,5,C,2022-10-28 00:00:00 +0000,7290638.88
"",D000035089,"",2022,N00049385,Joe O'Dea (R),Kiewit Corp,20735,0,20735,6,C,2022-10-28 00:00:00 +0000,7290638.88
"","","",2022,N00049385,Joe O'Dea (R),Bryan Construction,19900,0,19900,7,C,2022-10-28 00:00:00 +0000,7290638.88
"","","",2022,N00049385,Joe O'Dea (R),Agl Construction,17400,0,17400,8,C,2022-10-28 00:00:00 +0000,7290638.88
