affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","",C00797670,2022,N00031685,Richard Blumenthal (D),American Israel Public Affairs Cmte,138613,7900,146513,1,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000000769,"",2022,N00031685,Richard Blumenthal (D),"Paul, Weiss et al",83100,0,83100,2,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000021845,"",2022,N00031685,Richard Blumenthal (D),Apollo Global Management,76400,0,76400,3,I,2022-10-28 00:00:00 +0000,9016703.91
"","",C00699470,2022,N00031685,Richard Blumenthal (D),Pro-Israel America PAC,51600,0,51600,4,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000000672,"",2022,N00031685,Richard Blumenthal (D),Charter Communications,40200,7500,47700,5,I,2022-10-28 00:00:00 +0000,9016703.91
"","","",2022,N00031685,Richard Blumenthal (D),Gori Law Firm,41099,0,41099,6,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000000461,"",2022,N00031685,Richard Blumenthal (D),Comcast Corp,24100,10000,34100,7,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000022252,"",2022,N00031685,Richard Blumenthal (D),Simmons Hanly Conroy,33600,0,33600,8,I,2022-10-28 00:00:00 +0000,9016703.91
"","","",2022,N00031685,Richard Blumenthal (D),Entertainment Studios,31900,0,31900,9,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000022331,"",2022,N00031685,Richard Blumenthal (D),Yale University,31430,0,31430,10,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000022066,"",2022,N00031685,Richard Blumenthal (D),"Koskoff, Koskoff & Bieder",29282,0,29282,11,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000022121,"",2022,N00031685,Richard Blumenthal (D),Motley Rice LLC,27750,0,27750,12,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000000615,"",2022,N00031685,Richard Blumenthal (D),"Wachtell, Lipton et al                  ",27300,0,27300,13,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000022082,"",2022,N00031685,Richard Blumenthal (D),"Lieff, Cabraser et al",26648,0,26648,14,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000031890,"",2022,N00031685,Richard Blumenthal (D),Belfer Management,26600,0,26600,15,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000000165,"",2022,N00031685,Richard Blumenthal (D),General Dynamics,26550,0,26550,16,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000035122,"",2022,N00031685,Richard Blumenthal (D),Kirby McInerney Llp,25100,0,25100,17,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000021919,"",2022,N00031685,Richard Blumenthal (D),Clifford Law Offices,24000,0,24000,18,I,2022-10-28 00:00:00 +0000,9016703.91
"","","",2022,N00031685,Richard Blumenthal (D),Power Rogers Llp,23533,0,23533,19,I,2022-10-28 00:00:00 +0000,9016703.91
"",D000037784,"",2022,N00031685,Richard Blumenthal (D),Starkey Hearing Technologies,23200,0,23200,20,I,2022-10-28 00:00:00 +0000,9016703.91
"","","",2022,N00050523,Leora Levy (R),Civicom,15542,0,15542,1,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),Axiom Investors,11600,0,11600,2,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000064752,"",2022,N00050523,Leora Levy (R),G-III Apparel Group,11600,0,11600,3,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000035113,"",2022,N00050523,Leora Levy (R),Kingdon Capital Management,11600,0,11600,4,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000030513,"",2022,N00050523,Leora Levy (R),Tratt Properties,8700,0,8700,5,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000069491,"",2022,N00050523,Leora Levy (R),Great Point Partners,8700,0,8700,6,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),Lolo LLC,7800,0,7800,7,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),McMahon Ventures,6505,0,6505,8,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000000106,"",2022,N00050523,Leora Levy (R),Morgan Stanley,5902,0,5902,9,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000061814,"",2022,N00050523,Leora Levy (R),Interactive Brokers,5800,0,5800,10,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),Hunter Global Investors,5800,0,5800,11,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),Sp Global,5800,0,5800,12,C,2022-10-28 00:00:00 +0000,2329615.77
"",D000036995,"",2022,N00050523,Leora Levy (R),Red Apple Group                         ,5800,0,5800,13,C,2022-10-28 00:00:00 +0000,2329615.77
"","","",2022,N00050523,Leora Levy (R),Hamilton Point Investments,5800,0,5800,14,C,2022-10-28 00:00:00 +0000,2329615.77
