affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00028138,Brian Schatz (D),Votesane PAC,109400,0,109400,1,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000025328,"",2022,N00028138,Brian Schatz (D),Democracy Engine,40925,0,40925,2,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000535,"",2022,N00028138,Brian Schatz (D),DISH Network,14200,10000,24200,3,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000059893,"",2022,N00028138,Brian Schatz (D),Dentons,8860,5000,13860,4,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000051670,"",2022,N00028138,Brian Schatz (D),Hawaii Pacific Health,13750,0,13750,5,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000066716,"",2022,N00028138,Brian Schatz (D),Rock Holdings,7100,6000,13100,6,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000202,"",2022,N00028138,Brian Schatz (D),National Assn of Broadcasters,8250,4500,12750,7,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000145,"",2022,N00028138,Brian Schatz (D),Seafarers International Union,0,12500,12500,8,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000115,"",2022,N00028138,Brian Schatz (D),Microsoft Corp,3400,9000,12400,9,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000022275,"",2022,N00028138,Brian Schatz (D),Technology Crossover Ventures,11600,0,11600,10,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000135,"",2022,N00028138,Brian Schatz (D),International Assn of Fire Fighters,500,10000,10500,11,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000162,"",2022,N00028138,Brian Schatz (D),"Akin, Gump et al",7000,3500,10500,12,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000461,"",2022,N00028138,Brian Schatz (D),Comcast Corp,500,10000,10500,13,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000066699,"",2022,N00028138,Brian Schatz (D),Chugach Native Assn,250,10000,10250,14,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000165,"",2022,N00028138,Brian Schatz (D),General Dynamics,75,10000,10075,15,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000000131,"",2022,N00028138,Brian Schatz (D),Deloitte LLP,0,10000,10000,16,I,2022-10-28 00:00:00 +0000,4571566.28
"","",C00687582,2022,N00028138,Brian Schatz (D),Giddy Up PAC,0,10000,10000,17,I,2022-10-28 00:00:00 +0000,4571566.28
"","","",2022,N00028138,Brian Schatz (D),Common Sense Colorado,0,10000,10000,18,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000067697,"",2022,N00028138,Brian Schatz (D),American Airlines Group,0,10000,10000,19,I,2022-10-28 00:00:00 +0000,4571566.28
"",D000023971,"",2022,N00028138,Brian Schatz (D),American Hotel & Lodging Assn,0,10000,10000,20,I,2022-10-28 00:00:00 +0000,4571566.28
"","","",2022,N00050750,Feena Bonoan (L),Campaign Event on Maui,2999,0,2999,1,C,2022-10-28 00:00:00 +0000,19173.87
"","","",2022,N00050750,Feena Bonoan (L),Waste Water Management,2900,0,2900,2,C,2022-10-28 00:00:00 +0000,19173.87
"","","",2022,N00050750,Feena Bonoan (L),Waster Management,2900,0,2900,3,C,2022-10-28 00:00:00 +0000,19173.87
"","","",2022,N00050234,Bob McDermott (R),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051475,Emma Jane Pohlman (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051476,Dan Decker (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
