affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00001758,Chuck Grassley (R),Democracy Engine,93660,0,93660,1,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000021952,"",2022,N00001758,Chuck Grassley (R),DCI Group,25150,0,25150,2,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000015,"",2022,N00001758,Chuck Grassley (R),Chevron Corp,5614,19500,25114,3,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000021845,"",2022,N00001758,Chuck Grassley (R),Apollo Global Management,10100,10000,20100,4,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000019743,"",2022,N00001758,Chuck Grassley (R),Wells Fargo,6925,10000,16925,5,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000772,"",2022,N00001758,Chuck Grassley (R),Station Casinos,16733,0,16733,6,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000535,"",2022,N00001758,Chuck Grassley (R),DISH Network,11600,5000,16600,7,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Energy Transfer LP,15922,0,15922,8,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000109,"",2022,N00001758,Chuck Grassley (R),Blue Cross/Blue Shield,0,15500,15500,9,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Summit Agricultural Group,15250,0,15250,10,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Peterson Contractors,15167,0,15167,11,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000030898,"",2022,N00001758,Chuck Grassley (R),Walter Oil & Gas,14753,0,14753,12,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Kirke Financial Services,14500,0,14500,13,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000044899,"",2022,N00001758,Chuck Grassley (R),Hillwood Development,13100,0,13100,14,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000606,"",2022,N00001758,Chuck Grassley (R),National Assn of Real Estate Investment Trusts,2900,10000,12900,15,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000021873,"",2022,N00001758,Chuck Grassley (R),Blackstone Group,12605,0,12605,16,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Buyers Realty (Iowa),12600,0,12600,17,I,2022-10-28 00:00:00 +0000,9819883.729999999
"","","",2022,N00001758,Chuck Grassley (R),Kent Corp (Iowa),12600,0,12600,18,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000000672,"",2022,N00001758,Chuck Grassley (R),Charter Communications,0,12500,12500,19,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000021817,"",2022,N00001758,Chuck Grassley (R),Alston & Bird,7500,5000,12500,20,I,2022-10-28 00:00:00 +0000,9819883.729999999
"",D000030662,"",2022,N00045355,Mike Franken (D),University of Iowa,61533,0,61533,1,C,2022-10-28 00:00:00 +0000,9225458.43
"",D000034744,"",2022,N00045355,Mike Franken (D),Iowa State University,25901,0,25901,2,C,2022-10-28 00:00:00 +0000,9225458.43
"",D000037799,"",2022,N00045355,Mike Franken (D),State of Iowa                           ,14170,0,14170,3,C,2022-10-28 00:00:00 +0000,9225458.43
"",D000035151,"",2022,N00045355,Mike Franken (D),Knapp Properties,10700,0,10700,4,C,2022-10-28 00:00:00 +0000,9225458.43
"",D000033517,"",2022,N00045355,Mike Franken (D),Essex Meadows,10700,0,10700,5,C,2022-10-28 00:00:00 +0000,9225458.43
"",D000000074,"",2022,N00045355,Mike Franken (D),Laborers Union,0,10000,10000,6,C,2022-10-28 00:00:00 +0000,9225458.43
