affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000037797,"",2020,N00004981,Dick Durbin (D),State of Illinois,62060,0,62060,1,I,2021-03-22 00:00:00 +0000,10431746.69
"","","",2020,N00004981,Dick Durbin (D),Power Rogers LLP,56066,0,56066,2,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000065181,"",2020,N00004981,Dick Durbin (D),Votesane PAC,50600,0,50600,3,I,2021-03-22 00:00:00 +0000,10431746.69
"","","",2020,N00004981,Dick Durbin (D),United Airlines Holdings,39281,8000,47281,4,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000811,"",2020,N00004981,Dick Durbin (D),Kirkland & Ellis,45706,0,45706,5,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000022252,"",2020,N00004981,Dick Durbin (D),Simmons Hanly Conroy,42750,0,42750,6,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000814,"",2020,N00004981,Dick Durbin (D),Jenner & Block,36448,0,36448,7,I,2021-03-22 00:00:00 +0000,10431746.69
"","","",2020,N00004981,Dick Durbin (D),GCM Grosvenor,35800,0,35800,8,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000165,"",2020,N00004981,Dick Durbin (D),General Dynamics,23675,9000,32675,9,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000046283,"",2020,N00004981,Dick Durbin (D),AAR Corp,27649,4400,32049,10,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000021935,"",2020,N00004981,Dick Durbin (D),Cooney & Conway,24883,0,24883,11,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000021938,"",2020,N00004981,Dick Durbin (D),Corboy & Demetrio,24310,0,24310,12,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000030661,"",2020,N00004981,Dick Durbin (D),University of Illinois                  ,23021,0,23021,13,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000461,"",2020,N00004981,Dick Durbin (D),Comcast Corp,12791,7500,20291,14,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000317,"",2020,N00004981,Dick Durbin (D),General Atomics,15150,5000,20150,15,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000000115,"",2020,N00004981,Dick Durbin (D),Microsoft Corp,11906,8000,19906,16,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000021919,"",2020,N00004981,Dick Durbin (D),Clifford Law Offices,19750,0,19750,17,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000030649,"",2020,N00004981,Dick Durbin (D),University of Chicago,19315,0,19315,18,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000052457,"",2020,N00004981,Dick Durbin (D),J Street,12115,7000,19115,19,I,2021-03-22 00:00:00 +0000,10431746.69
"",D000021845,"",2020,N00004981,Dick Durbin (D),Apollo Global Management,18818,0,18818,20,I,2021-03-22 00:00:00 +0000,10431746.69
"","","",2020,N00037240,Willie Wilson (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,1250620.9300000002
"","","",2020,N00045357,Mark Curran (R),Lakeview Asset Management,11200,0,11200,1,C,2021-03-22 00:00:00 +0000,352282.81
"","","",2020,N00045357,Mark Curran (R),Fidelity Group,5600,0,5600,2,C,2021-03-22 00:00:00 +0000,352282.81
"",D000025752,"",2020,N00045357,Mark Curran (R),Family Express Corp,5600,0,5600,3,C,2021-03-22 00:00:00 +0000,352282.81
"","","",2020,N00045357,Mark Curran (R),Open Panting,5600,0,5600,4,C,2021-03-22 00:00:00 +0000,352282.81
"","",C00692335,2020,N00045357,Mark Curran (R),Let's Get To Work Pac,0,5000,5000,5,C,2021-03-22 00:00:00 +0000,352282.81
"","",C00692327,2020,N00045357,Mark Curran (R),Lets Get to Work PAC,0,5000,5000,6,C,2021-03-22 00:00:00 +0000,352282.81
"",D000032265,"",2020,N00045357,Mark Curran (R),Cancer Treatment Centers of America,3080,0,3080,7,C,2021-03-22 00:00:00 +0000,352282.81
