affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2018,N00026586,Joe Donnelly (D),Votesane PAC,374287,0,374287,1,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000034653,"",2018,N00026586,Joe Donnelly (D),Indiana University,87271,0,87271,2,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000000166,"",2018,N00026586,Joe Donnelly (D),Eli Lilly & Co,65361,10000,75361,3,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000063405,"",2018,N00026586,Joe Donnelly (D),Signature Bank,59250,0,59250,4,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000030681,"",2018,N00026586,Joe Donnelly (D),University of Notre Dame,48321,0,48321,5,I,2019-06-10 00:00:00 +0000,17174180.4
"","","",2018,N00026586,Joe Donnelly (D),Democratic Senatorial Campaign Cmte,250,47400,47650,6,I,2019-06-10 00:00:00 +0000,17174180.4
"","","",2018,N00026586,Joe Donnelly (D),Democratic Senatorial Campaign Cmte,250,47400,47650,6,I,2019-06-10 00:00:00 +0000,17174180.4
D000024230,D000072788,"",2018,N00026586,Joe Donnelly (D),Faegre Baker Daniels,37570,10000,47570,7,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000000769,"",2018,N00026586,Joe Donnelly (D),"Paul, Weiss et al",46488,0,46488,8,I,2019-06-10 00:00:00 +0000,17174180.4
D000022008,D000067823,"",2018,N00026586,Joe Donnelly (D),Google Inc,31421,10000,41421,9,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000021864,"",2018,N00026586,Joe Donnelly (D),Barnes & Thornburg,37947,3000,40947,10,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000031026,"",2018,N00026586,Joe Donnelly (D),Wexford Capital,37800,0,37800,11,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000036883,"",2018,N00026586,Joe Donnelly (D),Purdue University,36853,0,36853,12,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000000391,"",2018,N00026586,Joe Donnelly (D),Amgen Inc,25004,10000,35004,13,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000049273,"",2018,N00026586,Joe Donnelly (D),Indiana University Health,31779,0,31779,14,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000021945,"",2018,N00026586,Joe Donnelly (D),Cummins Inc,23259,6000,29259,15,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000000461,"",2018,N00026586,Joe Donnelly (D),Comcast Corp,18527,10000,28527,16,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000022070,"",2018,N00026586,Joe Donnelly (D),Land O'Lakes,16900,10000,26900,17,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000029641,"",2018,N00026586,Joe Donnelly (D),Vectren Corp,14777,10000,24777,18,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000000115,"",2018,N00026586,Joe Donnelly (D),Microsoft Corp,16259,8500,24759,19,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000053441,"",2018,N00026586,Joe Donnelly (D),Masimo Corp,13500,10000,23500,20,I,2019-06-10 00:00:00 +0000,17174180.4
"",D000028985,"",2018,N00041731,Mike Braun (R),Senate Conservatives Fund,217112,0,217112,1,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000000763,"",2018,N00041731,Mike Braun (R),Club for Growth,82183,0,82183,2,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),National Republican Senatorial Cmte,0,47400,47400,3,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Jasper Engines & Transmissions,45800,0,45800,4,C,2019-06-10 00:00:00 +0000,18430272.0
D000023858,D000023865,"",2018,N00041731,Mike Braun (R),Alliance Coal,28400,10000,38400,5,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000037074,"",2018,N00041731,Mike Braun (R),Reyes Holdings                                    ,37800,0,37800,6,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000045252,"",2018,N00041731,Mike Braun (R),Wabash Valley Produce,29500,0,29500,7,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Streicher Construction,27100,0,27100,8,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Magnolia Health Systems,22100,0,22100,9,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Ackerman Oil,21600,0,21600,10,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000034833,"",2018,N00041731,Mike Braun (R),Jennmar Corp,21600,0,21600,10,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Putco Inc,21600,0,21600,10,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000021864,"",2018,N00041731,Mike Braun (R),Barnes & Thornburg,20650,0,20650,13,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000000166,"",2018,N00041731,Mike Braun (R),Eli Lilly & Co,15650,5000,20650,13,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Graber Post Buildings,20100,0,20100,15,C,2019-06-10 00:00:00 +0000,18430272.0
D000050604,D000042214,"",2018,N00041731,Mike Braun (R),Enterprise Holdings,17700,0,17700,16,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00041731,Mike Braun (R),Maple Leaf Farms,16200,0,16200,17,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000028612,"",2018,N00041731,Mike Braun (R),Republican Jewish Coalition,10850,5000,15850,18,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000019743,"",2018,N00041731,Mike Braun (R),Wells Fargo,12900,2500,15400,19,C,2019-06-10 00:00:00 +0000,18430272.0
"",D000000085,"",2018,N00041731,Mike Braun (R),Goldman Sachs,10000,5000,15000,20,C,2019-06-10 00:00:00 +0000,18430272.0
"","","",2018,N00043292,Nathan J Altman (I),Altman Investments LLC,10800,0,10800,1,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),PIPE Inc,7000,0,7000,2,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),Altman Poindexter & Wyatt LLC,5400,0,5400,3,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),Bentley Meeker Lighting & Stag,5400,0,5400,3,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),Creative Works,2062,0,2062,5,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),Fullstack Inc,1000,0,1000,6,C,2019-06-10 00:00:00 +0000,50055.19
"",D000000422,"",2018,N00043292,Nathan J Altman (I),Oracle Corp,1000,0,1000,6,C,2019-06-10 00:00:00 +0000,50055.19
"","","",2018,N00043292,Nathan J Altman (I),Saline Capital,1000,0,1000,6,C,2019-06-10 00:00:00 +0000,50055.19
