affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2020,N00045878,Barbara Bollier (D),EMILY's List,394957,10000,404957,1,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000067823,"",2020,N00045878,Barbara Bollier (D),Alphabet Inc,228034,0,228034,2,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000406,"",2020,N00045878,Barbara Bollier (D),University of California                ,166234,0,166234,3,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000030663,"",2020,N00045878,Barbara Bollier (D),University of Kansas,139058,0,139058,4,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000025328,"",2020,N00045878,Barbara Bollier (D),Democracy Engine,127609,0,127609,5,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000115,"",2020,N00045878,Barbara Bollier (D),Microsoft Corp,77675,0,77675,6,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000023883,"",2020,N00045878,Barbara Bollier (D),Amazon.com,72771,0,72771,7,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000544,"",2020,N00045878,Barbara Bollier (D),Harvard University                      ,67739,0,67739,8,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000021754,"",2020,N00045878,Barbara Bollier (D),Apple Inc,67350,0,67350,9,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000022300,"",2020,N00045878,Barbara Bollier (D),US Government                           ,61246,0,61246,10,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000750,"",2020,N00045878,Barbara Bollier (D),Stanford University,57695,0,57695,11,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000033563,"",2020,N00045878,Barbara Bollier (D),Facebook Inc,50793,0,50793,12,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000128,"",2020,N00045878,Barbara Bollier (D),Walt Disney Co,48488,0,48488,13,O,2021-03-22 00:00:00 +0000,28662912.96
"","","",2020,N00045878,Barbara Bollier (D),Insight Partners,45000,0,45000,14,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000000076,"",2020,N00045878,Barbara Bollier (D),AT&T Inc,44000,0,44000,15,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000040050,"",2020,N00045878,Barbara Bollier (D),University of Kansas Medical Center,42614,0,42614,16,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000021915,"",2020,N00045878,Barbara Bollier (D),"City of New York, NY",39583,0,39583,17,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000030673,"",2020,N00045878,Barbara Bollier (D),University of Missouri                  ,38938,0,38938,18,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000034986,"",2020,N00045878,Barbara Bollier (D),Kaiser Permanente,34851,0,34851,19,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000022098,"",2020,N00045878,Barbara Bollier (D),Massachusetts Institute of Technology,32275,0,32275,20,O,2021-03-22 00:00:00 +0000,28662912.96
"",D000062703,"",2020,N00037034,Roger Marshall (R),Nueterra Capital,43600,0,43600,1,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000046017,"",2020,N00037034,Roger Marshall (R),Poet LLC,22500,10000,32500,2,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000024518,"",2020,N00037034,Roger Marshall (R),Burns & McDonnell,12036,10000,22036,3,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000029292,"",2020,N00037034,Roger Marshall (R),Susan B Anthony List,12400,7800,20200,4,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000030924,"",2020,N00037034,Roger Marshall (R),Watco Companies,20000,0,20000,5,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000000085,"",2020,N00037034,Roger Marshall (R),Goldman Sachs,9100,10000,19100,6,O,2021-03-22 00:00:00 +0000,6609476.31
"","","",2020,N00037034,Roger Marshall (R),Bukaty Companies,18900,0,18900,7,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000000149,"",2020,N00037034,Roger Marshall (R),Bristol-Myers Squibb,7600,10000,17600,8,O,2021-03-22 00:00:00 +0000,6609476.31
"","","",2020,N00037034,Roger Marshall (R),Innovative Livestock Services,16800,0,16800,9,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000000186,"",2020,N00037034,Roger Marshall (R),Koch Industries,6635,10000,16635,10,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000066716,"",2020,N00037034,Roger Marshall (R),Rock Holdings,5600,10000,15600,11,O,2021-03-22 00:00:00 +0000,6609476.31
"",D000000068,"",2020,N00037034,Roger Marshall (R),American Medical Assn,100,15000,15100,12,O,2021-03-22 00:00:00 +0000,6609476.31
