affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2020,N00000270,Ed Markey (D),Democracy Engine,128733,0,128733,1,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000000544,"",2020,N00000270,Ed Markey (D),Harvard University,107688,0,107688,2,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000021845,"",2020,N00000270,Ed Markey (D),Apollo Global Management,64389,0,64389,3,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000067823,"",2020,N00000270,Ed Markey (D),Alphabet Inc,52712,0,52712,4,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000032785,"",2020,N00000270,Ed Markey (D),Commonwealth of Massachusetts,51470,0,51470,5,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000021873,"",2020,N00000270,Ed Markey (D),Blackstone Group,41425,0,41425,6,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000032062,"",2020,N00000270,Ed Markey (D),Boston University,39892,0,39892,7,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000022322,"",2020,N00000270,Ed Markey (D),WilmerHale LLP,39472,0,39472,8,I,2021-03-22 00:00:00 +0000,14031362.89
"","","",2020,N00000270,Ed Markey (D),Mass General Brigham,37022,0,37022,9,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000022098,"",2020,N00000270,Ed Markey (D),Massachusetts Institute of Technology,33087,0,33087,10,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000030573,"",2020,N00000270,Ed Markey (D),Tufts University,28569,0,28569,11,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000030668,"",2020,N00000270,Ed Markey (D),University of Massachusetts,27807,0,27807,12,I,2021-03-22 00:00:00 +0000,14031362.89
"","","",2020,N00000270,Ed Markey (D),Kabafusion,25000,0,25000,13,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000032895,"",2020,N00000270,Ed Markey (D),"Cotchett, Pitre & McCarthy",24450,0,24450,14,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000000367,"",2020,N00000270,Ed Markey (D),Walmart Inc,17857,5000,22857,15,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000063162,"",2020,N00000270,Ed Markey (D),"Robbins, Geller et al                   ",22568,0,22568,16,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000032285,"",2020,N00000270,Ed Markey (D),Capital Group,20620,0,20620,17,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000021754,"",2020,N00000270,Ed Markey (D),Apple Inc,19864,0,19864,18,I,2021-03-22 00:00:00 +0000,14031362.89
"",D000000535,"",2020,N00000270,Ed Markey (D),DISH Network,11715,7500,19215,19,I,2021-03-22 00:00:00 +0000,14031362.89
"","","",2020,N00000270,Ed Markey (D),Power Rogers Llp,18200,0,18200,20,I,2021-03-22 00:00:00 +0000,14031362.89
"","","",2020,N00046637,Kevin O'Connor (R),Chemgenes Corp,13400,0,13400,1,C,2021-03-22 00:00:00 +0000,937696.41
"",D000065061,"",2020,N00046637,Kevin O'Connor (R),Sage Therapeutics,11200,0,11200,2,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Mead Park Management,11200,0,11200,3,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Agc Partners,10500,0,10500,4,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Pet Industry,7800,0,7800,5,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Payfactors,7100,0,7100,6,C,2021-03-22 00:00:00 +0000,937696.41
"",D000033093,"",2020,N00046637,Kevin O'Connor (R),Ddj Capital Management,6800,0,6800,7,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Hinckley Allen,6067,0,6067,8,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),1a Auto Inc,5750,0,5750,9,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),DDJ Capital,5625,0,5625,10,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Chemgenes,5600,0,5600,11,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Financial Finesse,5600,0,5600,12,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Bluefish Capital,5600,0,5600,13,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Bluefishcapital                                   ,5600,0,5600,14,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Harbourvest,5600,0,5600,15,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Jefferies LLC,5600,0,5600,16,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Groton Salon,5600,0,5600,17,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Meritage Wine Group,5600,0,5600,18,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Pmc,5600,0,5600,19,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00046637,Kevin O'Connor (R),Longroad Energy,5600,0,5600,20,C,2021-03-22 00:00:00 +0000,937696.41
"","","",2020,N00047440,Edward James Mazzuchelli (I),O'Leary Plumbing LLC,1000,0,1000,1,C,2021-03-22 00:00:00 +0000,5625.0
"","","",2020,N00036637,Frederick Mayock (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00045195,Andre Gray (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
"","","",2020,N00047601,David Michael Armas (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
