affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022158,"",2018,N00001955,Ben Cardin (D),NorPAC,47200,0,47200,1,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000104,"",2018,N00001955,Ben Cardin (D),Lockheed Martin,23700,10000,33700,2,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000026350,"",2018,N00001955,Ben Cardin (D),Guardian Life Insurance,16250,10000,26250,3,I,2019-06-10 00:00:00 +0000,5071964.24
"","","",2018,N00001955,Ben Cardin (D),Delaware Valley Urology,22250,0,22250,4,I,2019-06-10 00:00:00 +0000,5071964.24
D000021140,D000000109,"",2018,N00001955,Ben Cardin (D),CareFirst Blue Cross/Blue Shield,15025,5000,20025,5,I,2019-06-10 00:00:00 +0000,5071964.24
D000037461,D000059581,"",2018,N00001955,Ben Cardin (D),Select Medical Corp,10000,10000,20000,6,I,2019-06-10 00:00:00 +0000,5071964.24
"","",C00238204,2018,N00001955,Ben Cardin (D),Pakistani American Public Affairs Cmte,4750,14750,19500,7,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000724,"",2018,N00001955,Ben Cardin (D),"Brownstein, Hyatt et al",13100,6000,19100,8,I,2019-06-10 00:00:00 +0000,5071964.24
D000019642,D000000343,"",2018,N00001955,Ben Cardin (D),Northwestern Mutual Life Insurance,8750,10000,18750,9,I,2019-06-10 00:00:00 +0000,5071964.24
D000000838,D000021845,"",2018,N00001955,Ben Cardin (D),Apollo Management,18200,0,18200,10,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000033184,"",2018,N00001955,Ben Cardin (D),Discovery Inc,17200,0,17200,11,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000272,"",2018,N00001955,Ben Cardin (D),Marriott International,5000,10000,15000,12,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000606,"",2018,N00001955,Ben Cardin (D),National Assn of Real Estate Investment Trusts,5400,9500,14900,13,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000035847,"",2018,N00001955,Ben Cardin (D),Michael Companies,14000,0,14000,14,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000729,"",2018,N00001955,Ben Cardin (D),HBJ Investments,13500,0,13500,15,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000023989,"",2018,N00001955,Ben Cardin (D),American Orthotic & Prosthetic Assn,2874,10000,12874,16,I,2019-06-10 00:00:00 +0000,5071964.24
D000022586,D000045867,"",2018,N00001955,Ben Cardin (D),TransAmerica,2700,10000,12700,17,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000198,"",2018,N00001955,Ben Cardin (D),Massachusetts Mutual Life Insurance,2000,10000,12000,18,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000021942,"",2018,N00001955,Ben Cardin (D),Covington & Burling,10800,1000,11800,19,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000052940,"",2018,N00001955,Ben Cardin (D),Laureate Education,11550,0,11550,20,I,2019-06-10 00:00:00 +0000,5071964.24
"",D000000098,"",2018,N00042976,Neal Simon (I),Ernst & Young,16200,0,16200,1,C,2019-06-10 00:00:00 +0000,2026001.56
"","","",2018,N00042976,Neal Simon (I),Spruce House,16200,0,16200,1,C,2019-06-10 00:00:00 +0000,2026001.56
"","","",2018,N00042976,Neal Simon (I),Bluewater International,10800,0,10800,3,C,2019-06-10 00:00:00 +0000,2026001.56
