affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2020,N00000491,Susan Collins (R),Votesane PAC,115825,0,115825,1,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000021873,"",2020,N00000491,Susan Collins (R),Blackstone Group,87321,0,87321,2,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000028612,"",2020,N00000491,Susan Collins (R),Republican Jewish Coalition,57067,5000,62067,3,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000085,"",2020,N00000491,Susan Collins (R),Goldman Sachs,47175,2500,49675,4,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000109,"",2020,N00000491,Susan Collins (R),Blue Cross/Blue Shield,24366,17500,41866,5,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000464,"",2020,N00000491,Susan Collins (R),Sullivan & Cromwell,39348,0,39348,6,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000358,"",2020,N00000491,Susan Collins (R),KKR & Co,32035,5000,37035,7,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000035750,"",2020,N00000491,Susan Collins (R),McNa Dental Plans,35600,0,35600,8,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000021972,"",2020,N00000491,Susan Collins (R),Elliott Management,34000,0,34000,9,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000165,"",2020,N00000491,Susan Collins (R),General Dynamics,33603,0,33603,10,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000202,"",2020,N00000491,Susan Collins (R),National Assn of Broadcasters,24000,8500,32500,11,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000089,"",2020,N00000491,Susan Collins (R),FedEx Corp,24410,7500,31910,12,I,2021-03-22 00:00:00 +0000,29967117.939999998
"","",C00097568,2020,N00000491,Susan Collins (R),Raytheon Technologies,15554,13500,29054,13,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000022158,"",2020,N00000491,Susan Collins (R),NorPAC,27850,0,27850,14,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000402,"",2020,N00000491,Susan Collins (R),"Welsh, Carson et al                     ",27400,0,27400,15,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000019743,"",2020,N00000491,Susan Collins (R),Wells Fargo,19522,5000,24522,16,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000000811,"",2020,N00000491,Susan Collins (R),Kirkland & Ellis,23400,0,23400,17,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000022147,"",2020,N00000491,Susan Collins (R),Neuberger Berman LLC,22800,0,22800,18,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000031657,"",2020,N00000491,Susan Collins (R),Ashley Furniture,22400,0,22400,19,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000044649,"",2020,N00000491,Susan Collins (R),Amscot Financial,22400,0,22400,20,I,2021-03-22 00:00:00 +0000,29967117.939999998
"",D000067823,"",2020,N00044985,Sara Gideon (D),Alphabet Inc,505511,0,505511,1,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000406,"",2020,N00044985,Sara Gideon (D),University of California                ,424136,0,424136,2,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000113,"",2020,N00044985,Sara Gideon (D),Emily's List,217509,10000,227509,3,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000544,"",2020,N00044985,Sara Gideon (D),Harvard University                      ,195523,0,195523,4,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000115,"",2020,N00044985,Sara Gideon (D),Microsoft Corp,183393,0,183393,5,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000022300,"",2020,N00044985,Sara Gideon (D),US Government,160242,0,160242,6,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000021754,"",2020,N00044985,Sara Gideon (D),Apple Inc,158043,0,158043,7,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000023883,"",2020,N00044985,Sara Gideon (D),Amazon.com,152036,0,152036,8,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000025328,"",2020,N00044985,Sara Gideon (D),Democracy Engine,134197,0,134197,9,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000033563,"",2020,N00044985,Sara Gideon (D),Facebook Inc,117824,0,117824,10,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000128,"",2020,N00044985,Sara Gideon (D),Walt Disney Co                          ,115846,0,115846,11,C,2021-03-22 00:00:00 +0000,74498516.75
"",D000000750,"",2020,N00044985,Sara Gideon (D),Stanford University,113941,0,113941,12,C,2021-03-22 00:00:00 +0000,74498516.75
