affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021679,"",2018,N00003280,Roger Wicker (R),BGR Group,43200,0,43200,1,I,2019-06-10 00:00:00 +0000,6568817.06
D000000195,D000021757,"",2018,N00003280,Roger Wicker (R),BNSF Railway,30000,10000,40000,2,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000025929,"",2018,N00003280,Roger Wicker (R),Fresenius Medical Care,38500,0,38500,3,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000202,"",2018,N00003280,Roger Wicker (R),National Assn of Broadcasters,22350,10000,32350,4,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000029365,"",2018,N00003280,Roger Wicker (R),Telapex Inc,27000,5000,32000,5,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000022158,"",2018,N00003280,Roger Wicker (R),NorPAC,30220,0,30220,6,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000672,"",2018,N00003280,Roger Wicker (R),Charter Communications,25800,4000,29800,7,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000317,"",2018,N00003280,Roger Wicker (R),General Atomics,19100,10000,29100,8,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000064813,"",2018,N00003280,Roger Wicker (R),Huntington Ingalls Industries,14900,10000,24900,9,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000461,"",2018,N00003280,Roger Wicker (R),Comcast Corp,14200,10000,24200,10,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000026187,"",2018,N00003280,Roger Wicker (R),Genesee & Wyoming,14100,10000,24100,11,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000036286,"",2018,N00003280,Roger Wicker (R),Novogradac & Co,24100,0,24100,11,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000768,"",2018,N00003280,Roger Wicker (R),Cox Enterprises,13750,10000,23750,13,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000033307,"",2018,N00003280,Roger Wicker (R),Dunlap & Kyle,23600,0,23600,14,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000000535,"",2018,N00003280,Roger Wicker (R),DISH Network,14300,9200,23500,15,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000037360,"",2018,N00003280,Roger Wicker (R),Sanderson Farms,22900,0,22900,16,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000056580,"",2018,N00003280,Roger Wicker (R),Seemann Composites,22100,0,22100,17,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000033503,"",2018,N00003280,Roger Wicker (R),Ergon Inc,21600,0,21600,18,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000036857,"",2018,N00003280,Roger Wicker (R),Pruet Oil,21600,0,21600,18,I,2019-06-10 00:00:00 +0000,6568817.06
"",D000063217,"",2018,N00003280,Roger Wicker (R),Rumsfeld Foundation,21600,0,21600,18,I,2019-06-10 00:00:00 +0000,6568817.06
"","","",2018,N00043077,David Baria (D),Oswald & Reed Law Office,7400,0,7400,1,C,2019-06-10 00:00:00 +0000,780791.21
"",D000032087,"",2018,N00043077,David Baria (D),"Bradley, Arant et al                    ",6446,0,6446,2,C,2019-06-10 00:00:00 +0000,780791.21
"","","",2018,N00043077,David Baria (D),Give Lively,5400,0,5400,3,C,2019-06-10 00:00:00 +0000,780791.21
