affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2022,N00048640,Cheri Beasley (D),EMILY's List,280867,10000,290867,1,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000030679,"",2022,N00048640,Cheri Beasley (D),University of North Carolina,181394,0,181394,2,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000033300,"",2022,N00048640,Cheri Beasley (D),Duke University,157235,0,157235,3,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000025328,"",2022,N00048640,Cheri Beasley (D),Democracy Engine,148630,0,148630,4,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000052457,"",2022,N00048640,Cheri Beasley (D),J Street,79657,0,79657,5,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000067823,"",2022,N00048640,Cheri Beasley (D),Alphabet Inc,74289,0,74289,6,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000000406,"",2022,N00048640,Cheri Beasley (D),University of California                ,66476,0,66476,7,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000022103,"",2022,N00048640,Cheri Beasley (D),McGuireWoods LLP,54159,1000,55159,8,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000022322,"",2022,N00048640,Cheri Beasley (D),Wilmerhale Llp,49650,0,49650,9,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000037812,"",2022,N00048640,Cheri Beasley (D),State of North Carolina,41471,0,41471,10,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000022121,"",2022,N00048640,Cheri Beasley (D),Motley Rice LLC,39600,0,39600,11,O,2022-10-28 00:00:00 +0000,33876571.78
"","",C00502906,2022,N00048640,Cheri Beasley (D),Meta,39450,0,39450,12,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000000115,"",2022,N00048640,Cheri Beasley (D),Microsoft Corp,37329,0,37329,13,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000019743,"",2022,N00048640,Cheri Beasley (D),Wells Fargo,32008,0,32008,14,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000036254,"",2022,N00048640,Cheri Beasley (D),North Carolina State University,31653,0,31653,15,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000054832,"",2022,N00048640,Cheri Beasley (D),Novant Health,31613,0,31613,16,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000000769,"",2022,N00048640,Cheri Beasley (D),"Paul, Weiss et al                       ",28460,0,28460,17,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000037172,"",2022,N00048640,Cheri Beasley (D),"Robinson, Bradshaw & Hinson",28075,0,28075,18,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000000720,"",2022,N00048640,Cheri Beasley (D),IBM Corp,26400,0,26400,19,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000036521,"",2022,N00048640,Cheri Beasley (D),"Parker, Poe et al",25550,0,25550,20,O,2022-10-28 00:00:00 +0000,33876571.78
"",D000000763,"",2022,N00039551,Ted Budd (R),Club for Growth,258717,2850,261567,1,O,2022-10-28 00:00:00 +0000,12483874.09
"",D000028985,"",2022,N00039551,Ted Budd (R),Senate Conservatives Fund,130543,10000,140543,2,O,2022-10-28 00:00:00 +0000,12483874.09
"","",C00386524,2022,N00039551,Ted Budd (R),Truist Financial                                  ,15700,10000,25700,3,O,2022-10-28 00:00:00 +0000,12483874.09
