affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
D000022008,D000067823,"",2018,N00033782,Heidi Heitkamp (D),Google Inc,123582,7500,131082,1,I,2019-06-10 00:00:00 +0000,31025854.099999998
D000026918,D000052457,"",2018,N00033782,Heidi Heitkamp (D),JStreetPAC,124375,0,124375,2,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000022121,"",2018,N00033782,Heidi Heitkamp (D),Motley Rice LLC,116413,0,116413,3,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000085,"",2018,N00033782,Heidi Heitkamp (D),Goldman Sachs,87479,12500,99979,4,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000065181,"",2018,N00033782,Heidi Heitkamp (D),Votesane PAC,86100,0,86100,5,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000115,"",2018,N00033782,Heidi Heitkamp (D),Microsoft Corp,51913,10000,61913,6,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000071,"",2018,N00033782,Heidi Heitkamp (D),Citigroup Inc,49921,10000,59921,7,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000125,"",2018,N00033782,Heidi Heitkamp (D),General Electric,48981,10000,58981,8,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000063405,"",2018,N00033782,Heidi Heitkamp (D),Signature Bank,53028,0,53028,9,I,2019-06-10 00:00:00 +0000,31025854.099999998
"","","",2018,N00033782,Heidi Heitkamp (D),Comprehensive Urology,49800,0,49800,10,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000091,"",2018,N00033782,Heidi Heitkamp (D),BP,39230,10000,49230,11,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000750,"",2018,N00033782,Heidi Heitkamp (D),Stanford University,49199,0,49199,12,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000032285,"",2018,N00033782,Heidi Heitkamp (D),Capital Group,47726,0,47726,13,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000037367,"",2018,N00033782,Heidi Heitkamp (D),Sanford Health,46677,0,46677,14,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000023883,"",2018,N00033782,Heidi Heitkamp (D),Amazon.com,34920,9500,44420,15,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000000303,"",2018,N00033782,Heidi Heitkamp (D),ConocoPhillips,34201,10000,44201,16,I,2019-06-10 00:00:00 +0000,31025854.099999998
"","",C00215046,2018,N00033782,Heidi Heitkamp (D),Fidelity Investments,41821,0,41821,17,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000033563,"",2018,N00033782,Heidi Heitkamp (D),Facebook Inc,30422,10000,40422,18,I,2019-06-10 00:00:00 +0000,31025854.099999998
"",D000022300,"",2018,N00033782,Heidi Heitkamp (D),US Government,39884,0,39884,19,I,2019-06-10 00:00:00 +0000,31025854.099999998
D000000195,D000021757,"",2018,N00033782,Heidi Heitkamp (D),BNSF Railway,29776,9000,38776,20,I,2019-06-10 00:00:00 +0000,31025854.099999998
D000025689,D000025688,"",2018,N00004614,Kevin Cramer (R),Energy Transfer Partners,63900,0,63900,1,C,2019-06-10 00:00:00 +0000,5947201.55
"","","",2018,N00004614,Kevin Cramer (R),National Republican Senatorial Cmte,0,47400,47400,2,C,2019-06-10 00:00:00 +0000,5947201.55
"","","",2018,N00004614,Kevin Cramer (R),Ellingson Companies,44850,0,44850,3,C,2019-06-10 00:00:00 +0000,5947201.55
D000023858,D000023865,"",2018,N00004614,Kevin Cramer (R),Alliance Coal,22166,10000,32166,4,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000057166,"",2018,N00004614,Kevin Cramer (R),State of North Dakota,27550,0,27550,5,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000021873,"",2018,N00004614,Kevin Cramer (R),Blackstone Group,27000,0,27000,6,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000000244,"",2018,N00004614,Kevin Cramer (R),Marathon Oil,19000,7500,26500,7,C,2019-06-10 00:00:00 +0000,5947201.55
D000030041,D000000111,"",2018,N00004614,Kevin Cramer (R),Alticor Inc,21600,0,21600,8,C,2019-06-10 00:00:00 +0000,5947201.55
"","","",2018,N00004614,Kevin Cramer (R),Yancy Brothers Co,21600,0,21600,8,C,2019-06-10 00:00:00 +0000,5947201.55
D000071803,D000096365,"",2018,N00004614,Kevin Cramer (R),Oasis Petroleum,20400,0,20400,10,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000062489,"",2018,N00004614,Kevin Cramer (R),Mbi Energy Services,19900,0,19900,11,C,2019-06-10 00:00:00 +0000,5947201.55
"","",C00340943,2018,N00004614,Kevin Cramer (R),DaVita Inc,17700,1500,19200,12,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000034833,"",2018,N00004614,Kevin Cramer (R),Jennmar Corp,18500,0,18500,13,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000025483,"",2018,N00004614,Kevin Cramer (R),Devon Energy,8100,10000,18100,14,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000057996,"",2018,N00004614,Kevin Cramer (R),University of North Dakota,17700,0,17700,15,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000028612,"",2018,N00004614,Kevin Cramer (R),Republican Jewish Coalition,7600,10000,17600,16,C,2019-06-10 00:00:00 +0000,5947201.55
"","","",2018,N00004614,Kevin Cramer (R),Cardon Global,16200,0,16200,17,C,2019-06-10 00:00:00 +0000,5947201.55
"",D000021994,"",2018,N00004614,Kevin Cramer (R),Freeman Spogli & Co,16200,0,16200,17,C,2019-06-10 00:00:00 +0000,5947201.55
