affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000118,"",2018,N00033443,Deb Fischer (R),Union Pacific Corp,70850,9000,79850,1,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000170,"",2018,N00033443,Deb Fischer (R),Northrop Grumman,31150,10000,41150,2,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000126,"",2018,N00033443,Deb Fischer (R),AFLAC Inc,27300,10000,37300,3,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000350,"",2018,N00033443,Deb Fischer (R),Delta Air Lines,23800,7500,31300,4,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000461,"",2018,N00033443,Deb Fischer (R),Comcast Corp,16350,12500,28850,5,I,2019-06-10 00:00:00 +0000,6389119.42
D000000195,D000021757,"",2018,N00033443,Deb Fischer (R),BNSF Railway,20650,8000,28650,6,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000768,"",2018,N00033443,Deb Fischer (R),Cox Enterprises,17000,10000,27000,7,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000027454,"",2018,N00033443,Deb Fischer (R),Matson Inc,19950,7000,26950,8,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000021972,"",2018,N00033443,Deb Fischer (R),Elliott Management,22600,0,22600,9,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000022158,"",2018,N00033443,Deb Fischer (R),NorPAC,20650,0,20650,10,I,2019-06-10 00:00:00 +0000,6389119.42
D000030329,D000045920,"",2018,N00033443,Deb Fischer (R),Tenaska Inc,10400,10000,20400,11,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000029062,"",2018,N00033443,Deb Fischer (R),Sinclair Broadcast Group,20000,0,20000,12,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000033180,"",2018,N00033443,Deb Fischer (R),Dinkel Implement,19700,0,19700,13,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000535,"",2018,N00033443,Deb Fischer (R),DISH Network,10800,7300,18100,14,I,2019-06-10 00:00:00 +0000,6389119.42
D000024647,D000069205,"",2018,N00033443,Deb Fischer (R),Case New Holland,7700,10000,17700,15,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000000724,"",2018,N00033443,Deb Fischer (R),"Brownstein, Hyatt et al",4750,12500,17250,16,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000061565,"",2018,N00033443,Deb Fischer (R),"Hagan, Noll & Boyle",16200,0,16200,17,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000034362,"",2018,N00033443,Deb Fischer (R),Hawkins Construction,16200,0,16200,17,I,2019-06-10 00:00:00 +0000,6389119.42
"",D000061881,"",2018,N00033443,Deb Fischer (R),Jane Street Capital,16200,0,16200,17,I,2019-06-10 00:00:00 +0000,6389119.42
D000000727,D000035089,"",2018,N00033443,Deb Fischer (R),Peter Kiewit Sons,16200,0,16200,17,I,2019-06-10 00:00:00 +0000,6389119.42
D000039482,D000030675,"",2018,N00041739,Jane Raybould (D),University of Nebraska/Lincoln,29997,0,29997,1,C,2019-06-10 00:00:00 +0000,2078841.22
"",D000040052,"",2018,N00041739,Jane Raybould (D),University of Nebraska Medical Center,26677,0,26677,2,C,2019-06-10 00:00:00 +0000,2078841.22
"",D000030675,"",2018,N00041739,Jane Raybould (D),University of Nebraska,22824,0,22824,3,C,2019-06-10 00:00:00 +0000,2078841.22
"","","",2018,N00041739,Jane Raybould (D),Perry Reid Properties,21100,0,21100,4,C,2019-06-10 00:00:00 +0000,2078841.22
"",D000000118,"",2018,N00041739,Jane Raybould (D),Union Pacific Corp,14270,0,14270,5,C,2019-06-10 00:00:00 +0000,2078841.22
D000069971,D000073635,"",2018,N00041739,Jane Raybould (D),End Citizens United,5400,7500,12900,6,C,2019-06-10 00:00:00 +0000,2078841.22
