affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2020,N00029562,Ben Ray Lujan (D),Democracy Engine,75268,0,75268,1,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000065181,"",2020,N00029562,Ben Ray Lujan (D),Votesane PAC,65500,0,65500,2,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000030678,"",2020,N00029562,Ben Ray Lujan (D),University of New Mexico,35275,0,35275,3,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000202,"",2020,N00029562,Ben Ray Lujan (D),National Assn of Broadcasters,24600,10000,34600,4,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000461,"",2020,N00029562,Ben Ray Lujan (D),Comcast Corp,26209,5000,31209,5,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000406,"",2020,N00029562,Ben Ray Lujan (D),University of California,27421,0,27421,6,O,2021-03-22 00:00:00 +0000,9083639.35
"","",C00679191,2020,N00029562,Ben Ray Lujan (D),Digidems PAC,22400,1943,24343,7,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000021903,"",2020,N00029562,Ben Ray Lujan (D),Centerbridge Partners,23400,0,23400,8,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000162,"",2020,N00029562,Ben Ray Lujan (D),"Akin, Gump et al",17067,5000,22067,9,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000067823,"",2020,N00029562,Ben Ray Lujan (D),Alphabet Inc,17763,4000,21763,10,O,2021-03-22 00:00:00 +0000,9083639.35
"","","",2020,N00029562,Ben Ray Lujan (D),End Citizens United & Let America Vote,11250,10000,21250,11,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000321,"",2020,N00029562,Ben Ray Lujan (D),NextEra Energy,20895,0,20895,12,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000030693,"",2020,N00029562,Ben Ray Lujan (D),University of Southern California,20500,0,20500,13,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000000333,"",2020,N00029562,Ben Ray Lujan (D),"Kleiner, Perkins et al",19700,0,19700,14,O,2021-03-22 00:00:00 +0000,9083639.35
"","","",2020,N00029562,Ben Ray Lujan (D),United for A Strong America,11200,7000,18200,15,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000030722,"",2020,N00029562,Ben Ray Lujan (D),US Dept of Energy                       ,18092,0,18092,16,O,2021-03-22 00:00:00 +0000,9083639.35
"",D000025929,"",2020,N00029562,Ben Ray Lujan (D),Fresenius Medical Care,18010,0,18010,17,O,2021-03-22 00:00:00 +0000,9083639.35
