affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2018,N00027522,Dean Heller (R),Votesane PAC,190000,0,190000,1,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000772,"",2018,N00027522,Dean Heller (R),Station Casinos,76600,0,76600,2,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000193,"",2018,N00027522,Dean Heller (R),MGM Resorts International,65100,10000,75100,3,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000034833,"",2018,N00027522,Dean Heller (R),Jennmar Corp,70200,0,70200,4,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000282,"",2018,N00027522,Dean Heller (R),Caesars Entertainment,53100,10000,63100,5,I,2019-06-10 00:00:00 +0000,15090764.23
D000057886,D000022251,"",2018,N00027522,Dean Heller (R),Ultimate Fighting Championship,50500,10000,60500,6,I,2019-06-10 00:00:00 +0000,15090764.23
"","","",2018,N00027522,Dean Heller (R),National Republican Senatorial Cmte,0,47400,47400,7,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000021873,"",2018,N00027522,Dean Heller (R),Blackstone Group,45900,0,45900,8,I,2019-06-10 00:00:00 +0000,15090764.23
"","",C00388827,2018,N00027522,Dean Heller (R),Quicken Loans,28900,10000,38900,9,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000028612,"",2018,N00027522,Dean Heller (R),Republican Jewish Coalition,27542,10000,37542,10,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000734,"",2018,N00027522,Dean Heller (R),Boyd Gaming,27136,10000,37136,11,I,2019-06-10 00:00:00 +0000,15090764.23
"","",C00340943,2018,N00027522,Dean Heller (R),DaVita Inc,26350,10000,36350,12,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000032285,"",2018,N00027522,Dean Heller (R),Capital Group,36100,0,36100,13,I,2019-06-10 00:00:00 +0000,15090764.23
D000068858,D000034833,"",2018,N00027522,Dean Heller (R),Frank Calandra Inc                                ,35100,0,35100,14,I,2019-06-10 00:00:00 +0000,15090764.23
D000029050,D000021757,"",2018,N00027522,Dean Heller (R),NV Energy,24764,10000,34764,15,I,2019-06-10 00:00:00 +0000,15090764.23
"","","",2018,N00027522,Dean Heller (R),Citizens for Prosperity in America Today,22750,10000,32750,16,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000724,"",2018,N00027522,Dean Heller (R),"Brownstein, Hyatt et al",21900,9000,30900,17,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000029049,"",2018,N00027522,Dean Heller (R),Sierra Nevada Corp,20800,10000,30800,18,I,2019-06-10 00:00:00 +0000,15090764.23
D000000838,D000021845,"",2018,N00027522,Dean Heller (R),Apollo Management,30100,0,30100,19,I,2019-06-10 00:00:00 +0000,15090764.23
D000065296,D000000772,"",2018,N00027522,Dean Heller (R),Fertitta Entertainment,26000,2500,28500,20,I,2019-06-10 00:00:00 +0000,15090764.23
"",D000000113,"",2018,N00038734,Jacky Rosen (D),EMILY's List,594219,10000,604219,1,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000025328,"",2018,N00038734,Jacky Rosen (D),Democracy Engine,169839,0,169839,2,C,2019-06-10 00:00:00 +0000,25627243.990000002
D000022008,D000067823,"",2018,N00038734,Jacky Rosen (D),Google Inc,147400,0,147400,3,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000288,"",2018,N00038734,Jacky Rosen (D),League of Conservation Voters,123485,9896,133381,4,C,2019-06-10 00:00:00 +0000,25627243.990000002
D000026918,D000052457,"",2018,N00038734,Jacky Rosen (D),JStreetPAC,88475,0,88475,5,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000029916,"",2018,N00038734,Jacky Rosen (D),Womencount PAC,71926,45,71971,6,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000517,"",2018,N00038734,Jacky Rosen (D),DE Shaw & Co,64003,0,64003,7,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000750,"",2018,N00038734,Jacky Rosen (D),Stanford University,59823,0,59823,8,C,2019-06-10 00:00:00 +0000,25627243.990000002
"","","",2018,N00038734,Jacky Rosen (D),Democratic Senatorial Campaign Cmte,15,47400,47415,9,C,2019-06-10 00:00:00 +0000,25627243.990000002
"","","",2018,N00038734,Jacky Rosen (D),Democratic Senatorial Campaign Cmte,15,47400,47415,9,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000115,"",2018,N00038734,Jacky Rosen (D),Microsoft Corp,46704,0,46704,10,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000769,"",2018,N00038734,Jacky Rosen (D),"Paul, Weiss et al",41104,0,41104,11,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000544,"",2018,N00038734,Jacky Rosen (D),Harvard University,40544,0,40544,12,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000021754,"",2018,N00038734,Jacky Rosen (D),Apple Inc,38879,0,38879,13,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000022121,"",2018,N00038734,Jacky Rosen (D),Motley Rice LLC,38300,0,38300,14,C,2019-06-10 00:00:00 +0000,25627243.990000002
"","",C00573253,2018,N00038734,Jacky Rosen (D),Bend The Arc Jewish Action,26226,9999,36225,15,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000023883,"",2018,N00038734,Jacky Rosen (D),Amazon.com,35283,0,35283,16,C,2019-06-10 00:00:00 +0000,25627243.990000002
D000039680,D000030676,"",2018,N00038734,Jacky Rosen (D),University of Nevada/Las Vegas,35172,0,35172,17,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000406,"",2018,N00038734,Jacky Rosen (D),University of California,34694,0,34694,18,C,2019-06-10 00:00:00 +0000,25627243.990000002
"",D000000464,"",2018,N00038734,Jacky Rosen (D),Sullivan & Cromwell,32525,0,32525,19,C,2019-06-10 00:00:00 +0000,25627243.990000002
D000022511,D000000406,"",2018,N00038734,Jacky Rosen (D),University of California/Berkeley,32392,0,32392,20,C,2019-06-10 00:00:00 +0000,25627243.990000002
"","","",2018,N00027885,Barry Michaels (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00034591,Richard Charles (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00036336,Kamau Bakari (3),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
