affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021950,"",2018,N00027658,Kirsten Gillibrand (D),"Davis, Polk & Wardwell",203870,0,203870,1,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000021877,"",2018,N00027658,Kirsten Gillibrand (D),"Boies, Schiller & Flexner",160260,0,160260,2,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000769,"",2018,N00027658,Kirsten Gillibrand (D),"Paul, Weiss et al",129305,0,129305,3,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000162,"",2018,N00027658,Kirsten Gillibrand (D),"Akin, Gump et al",93300,2908,96208,4,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000457,"",2018,N00027658,Kirsten Gillibrand (D),Corning Inc,70266,10000,80266,5,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000464,"",2018,N00027658,Kirsten Gillibrand (D),Sullivan & Cromwell,72950,0,72950,6,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000029916,"",2018,N00027658,Kirsten Gillibrand (D),Womencount PAC,70385,5,70390,7,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000615,"",2018,N00027658,Kirsten Gillibrand (D),"Wachtell, Lipton et al",67635,0,67635,8,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000138,"",2018,N00027658,Kirsten Gillibrand (D),Pfizer Inc,53808,5000,58808,9,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000811,"",2018,N00027658,Kirsten Gillibrand (D),Kirkland & Ellis,56365,0,56365,10,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000113,"",2018,N00027658,Kirsten Gillibrand (D),Emily's List,39747,10000,49747,11,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000021873,"",2018,N00027658,Kirsten Gillibrand (D),Blackstone Group,46350,0,46350,12,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000022321,"",2018,N00027658,Kirsten Gillibrand (D),"Willkie, Farr & Gallagher",42420,0,42420,13,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000068537,"",2018,N00027658,Kirsten Gillibrand (D),Arnold & Porter Kaye Scholer,35980,5000,40980,14,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000000468,"",2018,N00027658,Kirsten Gillibrand (D),Estee Lauder Companies,40790,0,40790,15,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000036911,"",2018,N00027658,Kirsten Gillibrand (D),"Quinn, Emanuel et al                    ",40775,0,40775,16,I,2019-06-10 00:00:00 +0000,20360117.91
"",D000035294,"",2018,N00027658,Kirsten Gillibrand (D),Lazard Ltd,40755,0,40755,17,I,2019-06-10 00:00:00 +0000,20360117.91
