affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00025280,Tim Ryan (D),Democracy Engine,146082,0,146082,1,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000036364,"",2022,N00025280,Tim Ryan (D),Ohio State University,89781,0,89781,2,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000067823,"",2022,N00025280,Tim Ryan (D),Alphabet Inc,77583,1000,78583,3,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000000406,"",2022,N00025280,Tim Ryan (D),University of California                ,68665,0,68665,4,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000032666,"",2022,N00025280,Tim Ryan (D),Cleveland Clinic,58904,0,58904,5,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000048677,"",2022,N00025280,Tim Ryan (D),Cincinnati Children's Hospital Medical Center,55161,0,55161,6,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000000162,"",2022,N00025280,Tim Ryan (D),"Akin, Gump et al",47250,0,47250,7,O,2022-10-28 00:00:00 +0000,47300862.82
"","","",2022,N00025280,Tim Ryan (D),Remington Road Group,41389,0,41389,8,O,2022-10-28 00:00:00 +0000,47300862.82
"","","",2022,N00025280,Tim Ryan (D),Student Resource Center,40200,0,40200,9,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000000750,"",2022,N00025280,Tim Ryan (D),Stanford University,37085,0,37085,10,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000019809,"",2022,N00025280,Tim Ryan (D),Council for a Livable World,36155,0,36155,11,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000031918,"",2022,N00025280,Tim Ryan (D),Berger Singerman PA,35390,0,35390,12,O,2022-10-28 00:00:00 +0000,47300862.82
"","","",2022,N00025280,Tim Ryan (D),Debartolo Holdings,34800,0,34800,13,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000030652,"",2022,N00025280,Tim Ryan (D),University Of Cincinnati,31616,0,31616,14,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000022300,"",2022,N00025280,Tim Ryan (D),US Government,29545,0,29545,15,O,2022-10-28 00:00:00 +0000,47300862.82
"","","",2022,N00025280,Tim Ryan (D),National Center for Defense Manufactur,29000,0,29000,16,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000037813,"",2022,N00025280,Tim Ryan (D),State of Ohio                           ,27397,0,27397,17,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000000115,"",2022,N00025280,Tim Ryan (D),Microsoft Corp,27118,0,27118,18,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000000461,"",2022,N00025280,Tim Ryan (D),Comcast Corp,24553,2500,27053,19,O,2022-10-28 00:00:00 +0000,47300862.82
"","","",2022,N00025280,Tim Ryan (D),Phantom Fireworks,26710,0,26710,20,O,2022-10-28 00:00:00 +0000,47300862.82
"",D000044614,"",2022,N00048832,J D Vance (R),Chemed Corp,27100,0,27100,1,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),Kaivac Inc,20145,0,20145,2,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),Energy Transfer LP,14446,5000,19446,3,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000000811,"",2022,N00048832,J D Vance (R),Kirkland & Ellis,18450,0,18450,4,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000021873,"",2022,N00048832,J D Vance (R),Blackstone Group,17005,0,17005,5,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000000620,"",2022,N00048832,J D Vance (R),Baker & Hostetler,16920,0,16920,6,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000036163,"",2022,N00048832,J D Vance (R),Netherland Rubber,15000,0,15000,7,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000057794,"",2022,N00048832,J D Vance (R),Trihealth Inc,14565,0,14565,8,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000061745,"",2022,N00048832,J D Vance (R),Hunt Companies,14500,0,14500,9,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000030898,"",2022,N00048832,J D Vance (R),Walter Oil & Gas,14108,0,14108,10,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000000103,"",2022,N00048832,J D Vance (R),JPMorgan Chase & Co,13432,0,13432,11,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000030856,"",2022,N00048832,J D Vance (R),Vitol SA                                ,13300,0,13300,12,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),Townsend Corp,13000,0,13000,13,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),John Stock & Assoc,11800,0,11800,14,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000034869,"",2022,N00048832,J D Vance (R),JM Smucker Co,11600,0,11600,15,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),JAT Capital Partners,11600,0,11600,16,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000000684,"",2022,N00048832,J D Vance (R),Duchossois Group,11600,0,11600,17,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),Plk Properties,11600,0,11600,18,O,2022-10-28 00:00:00 +0000,12072808.36
"",D000022060,"",2022,N00048832,J D Vance (R),Keystone Inc,11600,0,11600,19,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00048832,J D Vance (R),Lmbi Lp,11600,0,11600,20,O,2022-10-28 00:00:00 +0000,12072808.36
"","","",2022,N00038447,Sam Ronan (I),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00044243,Dominic Lacavera Jr (L),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00048117,Shawn Mousourakis (I),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00048120,Eric Meiring (I),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00050019,Bill Graham (3),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00050021,Chad Taylor (I),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
