affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000067823,"",2022,N00038201,John Fetterman (D),Alphabet Inc,125135,0,125135,1,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000022295,"",2022,N00038201,John Fetterman (D),University of Pennsylvania,99920,0,99920,2,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000000406,"",2022,N00038201,John Fetterman (D),University of California                ,77592,0,77592,3,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000030685,"",2022,N00038201,John Fetterman (D),University of Pittsburgh,72319,0,72319,4,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000022298,"",2022,N00038201,John Fetterman (D),UPMC Health System                      ,71763,0,71763,5,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000036586,"",2022,N00038201,John Fetterman (D),Penn State University,70053,0,70053,6,O,2022-10-28 00:00:00 +0000,56690623.05
"","","",2022,N00038201,John Fetterman (D),Boxer/DSCC 04,51200,0,51200,7,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000022120,"",2022,N00038201,John Fetterman (D),Morgan Lewis LLP,47929,0,47929,8,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000025328,"",2022,N00038201,John Fetterman (D),Democracy Engine,40200,0,40200,9,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000000115,"",2022,N00038201,John Fetterman (D),Microsoft Corp                          ,39219,0,39219,10,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000023883,"",2022,N00038201,John Fetterman (D),Amazon.com,38344,0,38344,11,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000000750,"",2022,N00038201,John Fetterman (D),Stanford University,37472,0,37472,12,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000052457,"",2022,N00038201,John Fetterman (D),J Street,36900,0,36900,13,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000021754,"",2022,N00038201,John Fetterman (D),Apple Inc,35653,0,35653,14,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000000461,"",2022,N00038201,John Fetterman (D),Comcast Corp,34273,0,34273,15,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000021928,"",2022,N00038201,John Fetterman (D),Commonwealth of Pennsylvania,33763,0,33763,16,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000022322,"",2022,N00038201,John Fetterman (D),Wilmerhale LLP,33050,0,33050,17,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000030723,"",2022,N00038201,John Fetterman (D),US Dept of Health & Human Services,32791,0,32791,18,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000032358,"",2022,N00038201,John Fetterman (D),Carnegie Mellon University,29498,0,29498,19,O,2022-10-28 00:00:00 +0000,56690623.05
"",D000022300,"",2022,N00038201,John Fetterman (D),US Government,26457,0,26457,20,O,2022-10-28 00:00:00 +0000,56690623.05
"","","",2022,N00050027,Mehmet Oz (R),Asplundh Tree Expert Co,57300,0,57300,1,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Energy Transfer LP,26046,5000,31046,2,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000021873,"",2022,N00050027,Mehmet Oz (R),Blackstone Group,29105,0,29105,3,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Bencardino Excavating,26100,0,26100,4,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000022190,"",2022,N00050027,Mehmet Oz (R),Pilot Corp,26100,0,26100,5,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000068852,"",2022,N00050027,Mehmet Oz (R),Wenger Group,26100,0,26100,6,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Newtown Athletic Club,23318,0,23318,7,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Haslam Sports Group,23200,0,23200,8,O,2022-10-28 00:00:00 +0000,40376430.5
"","",C00796862,2022,N00050027,Mehmet Oz (R),PAM Health,21805,0,21805,9,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Witmer Group,20300,0,20300,10,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Lancaster School of Cosmetology,18200,0,18200,11,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Greiner Interior Design,18000,0,18000,12,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000022164,"",2022,N00050027,Mehmet Oz (R),NVR Inc,17600,0,17600,13,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Pace-O-Matic Inc,17400,0,17400,14,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Nextgen Secured                                   ,17400,0,17400,15,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000069491,"",2022,N00050027,Mehmet Oz (R),Great Point Partners,17400,0,17400,16,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Investments Ltd,17400,0,17400,17,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00050027,Mehmet Oz (R),Landmark Recovery,17400,0,17400,18,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000035300,"",2022,N00050027,Mehmet Oz (R),Leach Capital,17400,0,17400,19,O,2022-10-28 00:00:00 +0000,40376430.5
"",D000056199,"",2022,N00050027,Mehmet Oz (R),Robindale Energy Services,17400,0,17400,20,O,2022-10-28 00:00:00 +0000,40376430.5
"","","",2022,N00048123,Everett Stern (I),Dept of Veterans Affairs,5800,0,5800,1,O,2022-10-28 00:00:00 +0000,109332.3
"","","",2022,N00048123,Everett Stern (I),Epic Gymnastics,1500,0,1500,2,O,2022-10-28 00:00:00 +0000,109332.3
"","","",2022,N00048123,Everett Stern (I),Pb Shore House,1000,0,1000,3,O,2022-10-28 00:00:00 +0000,109332.3
"","","",2022,N00048123,Everett Stern (I),Whitney Llp,1000,0,1000,4,O,2022-10-28 00:00:00 +0000,109332.3
"","","",2022,N00048123,Everett Stern (I),Enet,1000,0,1000,5,O,2022-10-28 00:00:00 +0000,109332.3
"","","",2022,N00044736,Erik Gerhardt (L),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,34996.83
"","","",2022,N00050247,Quincy Magee (I),"",0,0,0,0,O,2022-10-28 00:00:00 +0000,0.0
