affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000288,"",2018,N00027533,Sheldon Whitehouse (D),League of Conservation Voters,172549,9812,182361,1,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000025328,"",2018,N00027533,Sheldon Whitehouse (D),Democracy Engine,75838,0,75838,2,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000022121,"",2018,N00027533,Sheldon Whitehouse (D),Motley Rice LLC,33475,0,33475,3,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000022322,"",2018,N00027533,Sheldon Whitehouse (D),Wilmerhale Llp,33439,0,33439,4,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000032165,"",2018,N00027533,Sheldon Whitehouse (D),Brown University,25844,0,25844,5,I,2019-06-10 00:00:00 +0000,6608026.58
D000026918,D000052457,"",2018,N00027533,Sheldon Whitehouse (D),JStreetPAC,18399,5000,23399,6,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000022057,"",2018,N00027533,Sheldon Whitehouse (D),"Kazan, McClain et al",22300,0,22300,7,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000028080,"",2018,N00027533,Sheldon Whitehouse (D),Ocean Champions,7400,13230,20630,8,I,2019-06-10 00:00:00 +0000,6608026.58
D000046648,D000066841,"",2018,N00027533,Sheldon Whitehouse (D),Alkermes Inc,10000,10000,20000,9,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000000333,"",2018,N00027533,Sheldon Whitehouse (D),"Kleiner, Perkins et al",18900,0,18900,10,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000044627,"",2018,N00027533,Sheldon Whitehouse (D),"Adler, Pollock & Sheehan",18400,0,18400,11,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000031428,"",2018,N00027533,Sheldon Whitehouse (D),Aloha Partners,17900,0,17900,12,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000025214,"",2018,N00027533,Sheldon Whitehouse (D),CVS Health,6535,10000,16535,13,I,2019-06-10 00:00:00 +0000,6608026.58
D000000279,D000073752,"",2018,N00027533,Sheldon Whitehouse (D),DreamWorks SKG,16200,0,16200,14,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000035174,"",2018,N00027533,Sheldon Whitehouse (D),Korein Tillery Llc,16200,0,16200,14,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000022275,"",2018,N00027533,Sheldon Whitehouse (D),Technology Crossover Ventures,16200,0,16200,14,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000000535,"",2018,N00027533,Sheldon Whitehouse (D),DISH Network,10800,5000,15800,17,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000000344,"",2018,N00027533,Sheldon Whitehouse (D),Greenberg Traurig LLP,10900,4500,15400,18,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000035254,"",2018,N00027533,Sheldon Whitehouse (D),Larkspur Management,15300,0,15300,19,I,2019-06-10 00:00:00 +0000,6608026.58
D000027853,D000027852,"",2018,N00027533,Sheldon Whitehouse (D),National Grid USA,12300,3000,15300,19,I,2019-06-10 00:00:00 +0000,6608026.58
"",D000062613,"",2018,N00041044,Bob Flanders (R),Nautic Partners,20400,0,20400,1,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Belvoir Properties,13300,0,13300,2,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),John Rocchio,11300,0,11300,3,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000037817,"",2018,N00041044,Bob Flanders (R),State of Rhode Island,11050,0,11050,4,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000022092,"",2018,N00041044,Bob Flanders (R),Madison Dearborn Partners,10800,0,10800,5,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Procaccianti Companies,10800,0,10800,5,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Roch's Supermarket,10800,0,10800,5,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),"Town of East Greenwich, Ri",10800,0,10800,5,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Fpp Holdings,9400,0,9400,9,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000000081,"",2018,N00041044,Bob Flanders (R),United Parcel Service,9200,0,9200,10,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000025214,"",2018,N00041044,Bob Flanders (R),CVS Health,8550,0,8550,11,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000000628,"",2018,N00041044,Bob Flanders (R),US Dept of Justice,7000,0,7000,12,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Parsons Capital Management,6500,0,6500,13,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Procaccianti Group,6400,0,6400,14,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Barrett & Co,6250,0,6250,15,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Brazill Brothers & Assoc,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"",D000021959,"",2018,N00041044,Bob Flanders (R),Deutsche Bank AG,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Diana Brazill Furnishings,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),EW Burman,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Fox Knoll Farm Inc,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Ginger Lily LLC,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Holly Lorraine Smith & Co,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Ira Green Inc,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Kellen,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Parsons Capital,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Reminc,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Rhode Island Novelty,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Ronz Lures LLC,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Sm Capital Management Co,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),University Otolaryngology,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00041044,Bob Flanders (R),Weybosset Research & Management LLC,5400,0,5400,16,C,2019-06-10 00:00:00 +0000,1193774.74
"","","",2018,N00043770,Raymond T Mckay (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,0.0
