congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
117,President,99913,99,0,USA,100,0,0,"BIDEN, Joseph Robinette, Jr.",B000444,1942,,-0.32,0.283,,,,,,,
117,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954,,0.936,-0.352,-75.54402,0.90957,797,28,,0.874,-0.213
117,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.448,0.576,-140.62321,0.82903,750,74,,0.54,0.506
117,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.21,-0.302,-125.63009,0.84745,759,57,,0.209,-0.365
117,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.481,0.068,-222.47201,0.74766,765,100,,0.476,0.091
117,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.075,-36.33057,0.95449,780,9,,-0.153,0.228
117,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964,,-0.178,0.397,-28.00426,0.96577,804,7,,-0.209,0.421
117,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.426,0.323,-159.12798,0.82144,809,75,,0.576,0.303
117,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.613,0.133,-97.23491,0.88555,800,41,,0.67,0.188
117,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.709,-0.105,-0.00037,0.99981,2,0,,0.0,0.0
117,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973,,-0.42,-0.415,-9.72142,0.98797,803,3,,-0.42,-0.415
117,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.183,-8.55326,0.98791,703,1,,-0.288,-0.2
117,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.229,-0.175,-15.61599,0.98057,796,6,,-0.282,-0.015
117,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952,,-0.238,-0.024,-15.31544,0.98136,814,5,,-0.238,-0.025
