affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00031782,Tim Scott (R),Votesane PAC,122205,0,122205,1,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000021845,"",2022,N00031782,Tim Scott (R),Apollo Global Management,58000,10000,68000,2,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000085,"",2022,N00031782,Tim Scott (R),Goldman Sachs,63000,0,63000,3,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000029689,"",2022,N00031782,Tim Scott (R),Visa Inc,43675,7500,51175,4,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000172,"",2022,N00031782,Tim Scott (R),MetLife Inc,38450,8000,46450,5,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000021873,"",2022,N00031782,Tim Scott (R),Blackstone Group,40610,0,40610,6,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000022055,"",2022,N00031782,Tim Scott (R),Kasowitz Benson Torres Llp,38600,0,38600,7,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000066716,"",2022,N00031782,Tim Scott (R),Rock Holdings,25800,10000,35800,8,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000103,"",2022,N00031782,Tim Scott (R),JPMorgan Chase & Co,20620,10000,30620,9,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000358,"",2022,N00031782,Tim Scott (R),KKR & Co                                ,19400,10000,29400,10,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000034913,"",2022,N00031782,Tim Scott (R),Johnson Development,29000,0,29000,11,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000022158,"",2022,N00031782,Tim Scott (R),NorPAC,28728,0,28728,12,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000068653,"",2022,N00031782,Tim Scott (R),No Labels,18200,10000,28200,13,I,2022-10-28 00:00:00 +0000,49340325.410000004
"","","",2022,N00031782,Tim Scott (R),Charles Ingram Lumber,28000,0,28000,14,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000724,"",2022,N00031782,Tim Scott (R),"Brownstein, Hyatt et al                 ",22400,5500,27900,15,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000162,"",2022,N00031782,Tim Scott (R),"Akin, Gump et al",22350,5250,27600,16,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000249,"",2022,N00031782,Tim Scott (R),New York Life Insurance,21751,5000,26751,17,I,2022-10-28 00:00:00 +0000,49340325.410000004
"","",C00699470,2022,N00031782,Tim Scott (R),Pro-Israel America PAC,24050,2500,26550,18,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000000391,"",2022,N00031782,Tim Scott (R),Amgen Inc,20300,5500,25800,19,I,2022-10-28 00:00:00 +0000,49340325.410000004
"",D000020994,"",2022,N00031782,Tim Scott (R),NASDAQ Inc,17000,7500,24500,20,I,2022-10-28 00:00:00 +0000,49340325.410000004
"","","",2022,N00048449,Krystle Matthews (D),Mzekewe Ltdco,3000,0,3000,1,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),K Rowe Investments,2900,0,2900,2,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Anastopoulo Law Firm,2000,0,2000,3,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Get Right Inc,2000,0,2000,4,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Hart Law Firm,2000,0,2000,5,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Charleston County School District,1500,0,1500,6,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Condon Family Law,1100,0,1100,7,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),iQor US,1088,0,1088,8,C,2022-10-28 00:00:00 +0000,131539.06
"",D000043003,"",2022,N00048449,Krystle Matthews (D),PayPal Inc,1066,0,1066,9,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Former State Senator,1000,0,1000,10,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Legal Assistance Foundation Of Metropo,1000,0,1000,11,C,2022-10-28 00:00:00 +0000,131539.06
"",D000049929,"",2022,N00048449,Krystle Matthews (D),CW Matthews Contracting,1000,0,1000,12,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00048449,Krystle Matthews (D),Blue Acorn Ici,1000,0,1000,13,C,2022-10-28 00:00:00 +0000,131539.06
"","","",2022,N00050031,Larry Adams Jr (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051014,William Wise Murray IV (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051485,Nate Dixon (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051713,Jesse Harper (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
