affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00004572,John Thune (R),Votesane PAC,177500,0,177500,1,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000037367,"",2022,N00004572,John Thune (R),Sanford Health,78500,0,78500,2,I,2022-10-28 00:00:00 +0000,12545141.18
"","",C00797670,2022,N00004572,John Thune (R),American Israel Public Affairs Cmte,59000,2100,61100,3,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000021845,"",2022,N00004572,John Thune (R),Apollo Global Management,39400,7500,46900,4,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000350,"",2022,N00004572,John Thune (R),Delta Air Lines,38100,7500,45600,5,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000022158,"",2022,N00004572,John Thune (R),NorPAC,44311,0,44311,6,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000032285,"",2022,N00004572,John Thune (R),Capital Group,40000,0,40000,7,I,2022-10-28 00:00:00 +0000,12545141.18
"","",C00215046,2022,N00004572,John Thune (R),Fidelity Investments,28150,8500,36650,8,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000461,"",2022,N00004572,John Thune (R),Comcast Corp,26550,10000,36550,9,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000085,"",2022,N00004572,John Thune (R),Goldman Sachs,30000,5000,35000,10,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000321,"",2022,N00004572,John Thune (R),NextEra Energy,29500,5000,34500,11,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000535,"",2022,N00004572,John Thune (R),DISH Network,28850,5000,33850,12,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000724,"",2022,N00004572,John Thune (R),"Brownstein, Hyatt et al",26900,6000,32900,13,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000445,"",2022,N00004572,John Thune (R),HCA Inc,20800,9000,29800,14,I,2022-10-28 00:00:00 +0000,12545141.18
"","",C00693002,2022,N00004572,John Thune (R),Fox Corp,23900,5000,28900,15,I,2022-10-28 00:00:00 +0000,12545141.18
"","","",2022,N00004572,John Thune (R),Herzog,20300,5000,25300,16,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000162,"",2022,N00004572,John Thune (R),"Akin, Gump et al",18750,6250,25000,17,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000025328,"",2022,N00004572,John Thune (R),Democracy Engine,24550,0,24550,18,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000046017,"",2022,N00004572,John Thune (R),Poet LLC,14500,10000,24500,19,I,2022-10-28 00:00:00 +0000,12545141.18
"",D000000118,"",2022,N00004572,John Thune (R),Union Pacific Corp,14250,10000,24250,20,I,2022-10-28 00:00:00 +0000,12545141.18
"","","",2022,N00050032,Brian Bengs (D),K Rowe Investments,5800,0,5800,1,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Midwest Values PAC,0,5000,5000,2,C,2022-10-28 00:00:00 +0000,422907.8
"",D000037367,"",2022,N00050032,Brian Bengs (D),Sanford Health,3470,0,3470,3,C,2022-10-28 00:00:00 +0000,422907.8
"",D000024233,"",2022,N00050032,Brian Bengs (D),"Baker, Donelson et al                   ",2900,0,2900,4,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Randy Seiler Law Office,2262,0,2262,5,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Democratic Party of Pennington County ,2000,0,2000,6,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Walter Grain Farm,1525,0,1525,7,C,2022-10-28 00:00:00 +0000,422907.8
"",D000030960,"",2022,N00050032,Brian Bengs (D),Weinberg Investments,1000,0,1000,8,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),"Wiener, Weiss & Madison",1000,0,1000,9,C,2022-10-28 00:00:00 +0000,422907.8
"",D000000406,"",2022,N00050032,Brian Bengs (D),University of California,1000,0,1000,10,C,2022-10-28 00:00:00 +0000,422907.8
"",D000037420,"",2022,N00050032,Brian Bengs (D),Schooner Capital,1000,0,1000,11,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Ronayne Law Office                      ,1000,0,1000,12,C,2022-10-28 00:00:00 +0000,422907.8
"",D000033685,"",2022,N00050032,Brian Bengs (D),First Premier Bank,1000,0,1000,13,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Hughes County Democrats,1000,0,1000,14,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Kaufman Hall,1000,0,1000,15,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Lake Co Democrats,1000,0,1000,16,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Central Wisconsin Anesthesiology,1000,0,1000,17,C,2022-10-28 00:00:00 +0000,422907.8
"",D000032837,"",2022,N00050032,Brian Bengs (D),Construction Aggregates Corp,1000,0,1000,18,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Consulting Biologist,1000,0,1000,19,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00050032,Brian Bengs (D),Ancor Information Management,1000,0,1000,20,C,2022-10-28 00:00:00 +0000,422907.8
"","","",2022,N00051821,Tamara Lesnar (L),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
