affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000030786,"",2018,N00042361,Philip Bredesen (D),Vanderbilt University,103506,0,103506,1,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000025328,"",2018,N00042361,Philip Bredesen (D),Democracy Engine,89763,0,89763,2,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000031840,"",2018,N00042361,Philip Bredesen (D),"Bass, Berry & Sims",63419,0,63419,3,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000030787,"",2018,N00042361,Philip Bredesen (D),Vanderbilt University Medical Center,61803,0,61803,4,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000000769,"",2018,N00042361,Philip Bredesen (D),"Paul, Weiss et al",60350,0,60350,5,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000037820,"",2018,N00042361,Philip Bredesen (D),State of Tennessee,58803,0,58803,6,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000000445,"",2018,N00042361,Philip Bredesen (D),HCA Inc,47332,0,47332,7,O,2019-06-10 00:00:00 +0000,19431695.16
D000022008,D000067823,"",2018,N00042361,Philip Bredesen (D),Google Inc,46591,0,46591,8,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000032087,"",2018,N00042361,Philip Bredesen (D),"Bradley, Arant et al",33680,5000,38680,9,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000030890,"",2018,N00042361,Philip Bredesen (D),"Waller, Lansden et al                   ",33550,0,33550,10,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000022121,"",2018,N00042361,Philip Bredesen (D),Motley Rice LLC,28950,0,28950,11,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000000085,"",2018,N00042361,Philip Bredesen (D),Goldman Sachs,27400,0,27400,12,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000021859,"",2018,N00042361,Philip Bredesen (D),Bain Capital,24300,0,24300,13,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000000288,"",2018,N00042361,Philip Bredesen (D),League of Conservation Voters,12805,9962,22767,14,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000035392,"",2018,N00042361,Philip Bredesen (D),Lightyear Capital,21600,0,21600,15,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000022219,"",2018,N00042361,Philip Bredesen (D),Renaissance Technologies,18950,0,18950,16,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000023754,"",2018,N00042361,Philip Bredesen (D),Adams & Reese,18900,0,18900,17,O,2019-06-10 00:00:00 +0000,19431695.16
"","","",2018,N00042361,Philip Bredesen (D),Silicon Ranch,18750,0,18750,18,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000021754,"",2018,N00042361,Philip Bredesen (D),Apple Inc,18413,0,18413,19,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000024233,"",2018,N00042361,Philip Bredesen (D),"Baker, Donelson et al",15460,2700,18160,20,O,2019-06-10 00:00:00 +0000,19431695.16
"",D000028985,"",2018,N00003105,Marsha Blackburn (R),Senate Conservatives Fund,282892,0,282892,1,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000763,"",2018,N00003105,Marsha Blackburn (R),Club for Growth,218100,604,218704,2,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000021940,"",2018,N00003105,Marsha Blackburn (R),CoreCivic Inc,46150,10000,56150,3,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","","",2018,N00003105,Marsha Blackburn (R),National Republican Senatorial Cmte,0,47400,47400,4,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000089,"",2018,N00003105,Marsha Blackburn (R),FedEx Corp,30825,10000,40825,5,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000445,"",2018,N00003105,Marsha Blackburn (R),HCA Inc,29700,10000,39700,6,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000477,"",2018,N00003105,Marsha Blackburn (R),Duke Energy,20500,10000,30500,7,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000461,"",2018,N00003105,Marsha Blackburn (R),Comcast Corp,20450,10000,30450,8,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000535,"",2018,N00003105,Marsha Blackburn (R),DISH Network,27000,3000,30000,9,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000021873,"",2018,N00003105,Marsha Blackburn (R),Blackstone Group,29300,0,29300,10,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000000076,"",2018,N00003105,Marsha Blackburn (R),AT&T Inc,18350,10000,28350,11,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000037820,"",2018,N00003105,Marsha Blackburn (R),State of Tennessee,28210,0,28210,12,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000029478,"",2018,N00003105,Marsha Blackburn (R),Tom James Co,26700,1000,27700,13,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000024683,"",2018,N00003105,Marsha Blackburn (R),CenturyLink,17600,10000,27600,14,O,2019-06-10 00:00:00 +0000,14400856.930000002
D000026714,D000045871,"",2018,N00003105,Marsha Blackburn (R),Jackson National Life Insurance,22250,5000,27250,15,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","","",2018,N00003105,Marsha Blackburn (R),Fitzgerald Glider Kits,27000,0,27000,16,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","",C00388827,2018,N00003105,Marsha Blackburn (R),Quicken Loans,16200,10000,26200,17,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","","",2018,N00003105,Marsha Blackburn (R),Southwestern Co,24800,0,24800,18,O,2019-06-10 00:00:00 +0000,14400856.930000002
"",D000034387,"",2018,N00003105,Marsha Blackburn (R),Healthmark Ventures,24300,0,24300,19,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","","",2018,N00003105,Marsha Blackburn (R),Powell Companies,24100,0,24100,20,O,2019-06-10 00:00:00 +0000,14400856.930000002
"","","",2018,N00043568,Trudy A Austin (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043569,John Carico (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043570,Dean Hill (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043571,Kevin McCants (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043572,Kris L Todd (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
