affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021845,"",2020,N00024852,John Cornyn (R),Apollo Global Management,133850,5000,138850,1,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000358,"",2020,N00024852,John Cornyn (R),KKR & Co                                ,95115,3500,98615,2,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000021873,"",2020,N00024852,John Cornyn (R),Blackstone Group                        ,58930,0,58930,3,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000021757,"",2020,N00024852,John Cornyn (R),Berkshire Hathaway,51491,5000,56491,4,I,2021-03-22 00:00:00 +0000,34158784.96
"","","",2020,N00024852,John Cornyn (R),United Airlines Holdings,44781,6000,50781,5,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000138,"",2020,N00024852,John Cornyn (R),Pfizer Inc,28535,17000,45535,6,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000037821,"",2020,N00024852,John Cornyn (R),State of Texas,43551,0,43551,7,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000067204,"",2020,N00024852,John Cornyn (R),SoftBank Corp,42530,0,42530,8,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000769,"",2020,N00024852,John Cornyn (R),"Paul, Weiss et al",34900,0,34900,9,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000321,"",2020,N00024852,John Cornyn (R),NextEra Energy,24876,10000,34876,10,I,2021-03-22 00:00:00 +0000,34158784.96
"","","",2020,N00024852,John Cornyn (R),Citizens for Prosperity in America Today,34600,0,34600,11,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000021967,"",2020,N00024852,John Cornyn (R),Duty Free Americas,33600,0,33600,12,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000022003,"",2020,N00024852,John Cornyn (R),GEO Group,28600,5000,33600,13,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000317,"",2020,N00024852,John Cornyn (R),General Atomics,23550,10000,33550,14,I,2021-03-22 00:00:00 +0000,34158784.96
D000021987,D000000328,"",2020,N00024852,John Cornyn (R),FMR Corp,21875,10000,31875,15,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000029689,"",2020,N00024852,John Cornyn (R),Visa Inc,21060,8500,29560,16,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000031322,"",2020,N00024852,John Cornyn (R),Insperity,29175,0,29175,17,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000535,"",2020,N00024852,John Cornyn (R),DISH Network,18830,10000,28830,18,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000103,"",2020,N00024852,John Cornyn (R),JPMorgan Chase & Co,17885,10000,27885,19,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000000162,"",2020,N00024852,John Cornyn (R),"Akin, Gump et al",21112,6750,27862,20,I,2021-03-22 00:00:00 +0000,34158784.96
"",D000022296,"",2020,N00041411,MJ Hegar (D),University of Texas                     ,205728,0,205728,1,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000067823,"",2020,N00041411,MJ Hegar (D),Alphabet Inc,178706,0,178706,2,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000113,"",2020,N00041411,MJ Hegar (D),Emily's List,111770,10000,121770,3,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000406,"",2020,N00041411,MJ Hegar (D),University of California                ,113109,0,113109,4,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000021754,"",2020,N00041411,MJ Hegar (D),Apple Inc,75729,0,75729,5,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000115,"",2020,N00041411,MJ Hegar (D),Microsoft Corp,68364,0,68364,6,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000720,"",2020,N00041411,MJ Hegar (D),IBM Corp,63939,0,63939,7,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000023883,"",2020,N00041411,MJ Hegar (D),Amazon.com,62468,0,62468,8,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000585,"",2020,N00041411,MJ Hegar (D),Dell Technologies,51933,0,51933,9,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000025328,"",2020,N00041411,MJ Hegar (D),Democracy Engine,48864,0,48864,10,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000033563,"",2020,N00041411,MJ Hegar (D),Facebook Inc,47884,0,47884,11,C,2021-03-22 00:00:00 +0000,29272803.34
"","","",2020,N00041411,MJ Hegar (D),Insight Partners,45600,0,45600,12,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000076,"",2020,N00041411,MJ Hegar (D),AT&T Inc,42759,0,42759,13,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000544,"",2020,N00041411,MJ Hegar (D),Harvard University,40474,0,40474,14,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000022300,"",2020,N00041411,MJ Hegar (D),US Government,40245,0,40245,15,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000128,"",2020,N00041411,MJ Hegar (D),Walt Disney Co,39196,0,39196,16,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000037821,"",2020,N00041411,MJ Hegar (D),State of Texas,33168,0,33168,17,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000750,"",2020,N00041411,MJ Hegar (D),Stanford University,33094,0,33094,18,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000037089,"",2020,N00041411,MJ Hegar (D),Rice University,30185,0,30185,19,C,2021-03-22 00:00:00 +0000,29272803.34
"",D000000422,"",2020,N00041411,MJ Hegar (D),Oracle Corp,29572,0,29572,20,C,2021-03-22 00:00:00 +0000,29272803.34
"","","",2020,N00045889,Kerry McKennon (L),Liberty Defender,2000,0,2000,1,C,2021-03-22 00:00:00 +0000,12707.43
