affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000763,"",2022,N00031696,Mike Lee (R),Club for Growth,128365,5000,133365,1,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000028985,"",2022,N00031696,Mike Lee (R),Senate Conservatives Fund,79073,15000,94073,2,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000025328,"",2022,N00031696,Mike Lee (R),Democracy Engine,61910,0,61910,3,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000000115,"",2022,N00031696,Mike Lee (R),Microsoft Corp,35900,9000,44900,4,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000021845,"",2022,N00031696,Mike Lee (R),Apollo Global Management,33250,10000,43250,5,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000000461,"",2022,N00031696,Mike Lee (R),Comcast Corp,13500,15000,28500,6,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000022249,"",2022,N00031696,Mike Lee (R),Sidley Austin LLP,15762,10000,25762,7,I,2022-10-28 00:00:00 +0000,10708260.1
"","","",2022,N00031696,Mike Lee (R),Herzog,20300,5000,25300,8,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000000724,"",2022,N00031696,Mike Lee (R),"Brownstein, Hyatt et al",16450,5000,21450,9,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000021873,"",2022,N00031696,Mike Lee (R),Blackstone Group,20400,0,20400,10,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000036995,"",2022,N00031696,Mike Lee (R),Red Apple Group,20300,0,20300,11,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000037717,"",2022,N00031696,Mike Lee (R),Spencer Enterprises,19900,0,19900,12,I,2022-10-28 00:00:00 +0000,10708260.1
"",D000022184,"",2022,N00031696,Mike Lee (R),Perry Homes,18962,0,18962,13,I,2022-10-28 00:00:00 +0000,10708260.1
"","","",2022,N00031696,Mike Lee (R),HF Sinclair Corp,8600,10000,18600,14,I,2022-10-28 00:00:00 +0000,10708260.1
"","","",2022,N00031696,Mike Lee (R),Energy Transfer LP,15922,2500,18422,15,I,2022-10-28 00:00:00 +0000,10708260.1
