affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
D000026918,D000052457,"",2018,N00033177,Tim Kaine (D),JStreetPAC,173557,8910,182467,1,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000021942,"",2018,N00033177,Tim Kaine (D),Covington & Burling,134150,0,134150,2,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000162,"",2018,N00033177,Tim Kaine (D),"Akin, Gump et al",63852,5500,69352,3,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000064813,"",2018,N00033177,Tim Kaine (D),Huntington Ingalls Industries,59220,10000,69220,4,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000288,"",2018,N00033177,Tim Kaine (D),League of Conservation Voters,57305,8033,65338,5,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000067,"",2018,N00033177,Tim Kaine (D),Altria Group,51051,10000,61051,6,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000034109,"",2018,N00033177,Tim Kaine (D),Golden Gate Capital,59000,0,59000,7,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000024670,"",2018,N00033177,Tim Kaine (D),Centene Corp,48700,10000,58700,8,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000022103,"",2018,N00033177,Tim Kaine (D),McGuireWoods LLP,52215,5000,57215,9,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000022320,"",2018,N00033177,Tim Kaine (D),Wiley Rein LLP,54125,0,54125,10,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000030697,"",2018,N00033177,Tim Kaine (D),University of Virginia,53254,0,53254,11,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000022035,"",2018,N00033177,Tim Kaine (D),Hunton Andrews Kurth LLP,51576,0,51576,12,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000059877,"",2018,N00033177,Tim Kaine (D),Hogan Lovells,45218,4000,49218,13,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000170,"",2018,N00033177,Tim Kaine (D),Northrop Grumman,38779,10000,48779,14,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000031992,"",2018,N00033177,Tim Kaine (D),Bloomberg Lp,45650,0,45650,15,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000021569,"",2018,N00033177,Tim Kaine (D),DLA Piper,35420,10000,45420,16,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000034157,"",2018,N00033177,Tim Kaine (D),Grant & Eisenhofer,43300,0,43300,17,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000021766,"",2018,N00033177,Tim Kaine (D),Genworth Financial,33676,9000,42676,18,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000464,"",2018,N00033177,Tim Kaine (D),Sullivan & Cromwell,41600,0,41600,19,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000000330,"",2018,N00033177,Tim Kaine (D),Holland & Knight,35524,5500,41024,20,I,2019-06-10 00:00:00 +0000,21472985.64
"",D000036222,"",2018,N00041461,Corey Stewart (R),Nicewonder Group,22700,0,22700,1,C,2019-06-10 00:00:00 +0000,2784365.29
"",D000034626,"",2018,N00041461,Corey Stewart (R),Idi Group Companies,21600,0,21600,2,C,2019-06-10 00:00:00 +0000,2784365.29
