affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","",C00797670,2022,N00007876,Patty Murray (D),American Israel Public Affairs Cmte,93550,4200,97750,1,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000023883,"",2022,N00007876,Patty Murray (D),Amazon.com,80839,7000,87839,2,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000025328,"",2022,N00007876,Patty Murray (D),Democracy Engine,68499,0,68499,3,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000115,"",2022,N00007876,Patty Murray (D),Microsoft Corp,58096,10000,68096,4,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000022297,"",2022,N00007876,Patty Murray (D),University of Washington,59416,0,59416,5,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000113,"",2022,N00007876,Patty Murray (D),EMILY's List,38133,10000,48133,6,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000021845,"",2022,N00007876,Patty Murray (D),Apollo Global Management,25200,7500,32700,7,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000138,"",2022,N00007876,Patty Murray (D),Pfizer Inc,20849,7500,28349,8,I,2022-10-28 00:00:00 +0000,18495729.85
"","","",2022,N00007876,Patty Murray (D),Power Rogers LLP,27200,0,27200,9,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000055177,"",2022,N00007876,Patty Murray (D),Palantir Technologies,27100,0,27100,10,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000053441,"",2022,N00007876,Patty Murray (D),Masimo Corp,21900,5000,26900,11,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000103,"",2022,N00007876,Patty Murray (D),JPMorgan Chase & Co,20800,5000,25800,12,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000100,"",2022,N00007876,Patty Murray (D),Boeing Co,15808,9000,24808,13,I,2022-10-28 00:00:00 +0000,18495729.85
"","","",2022,N00007876,Patty Murray (D),Freedom Road LLC (Colorado),23200,0,23200,14,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000461,"",2022,N00007876,Patty Murray (D),Comcast Corp,12662,10000,22662,15,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000024233,"",2022,N00007876,Patty Murray (D),"Baker, Donelson et al",18100,4500,22600,16,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000000794,"",2022,N00007876,Patty Murray (D),Qualcomm Inc,16900,5000,21900,17,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000037825,"",2022,N00007876,Patty Murray (D),State of Washington,21604,0,21604,18,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000030537,"",2022,N00007876,Patty Murray (D),Trident Seafoods,16165,5400,21565,19,I,2022-10-28 00:00:00 +0000,18495729.85
"",D000022158,"",2022,N00007876,Patty Murray (D),NorPAC,21500,0,21500,20,I,2022-10-28 00:00:00 +0000,18495729.85
"","","",2022,N00048454,Tiffany Smiley (R),Ziegler Lumber Co,27400,0,27400,1,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Alyeska Ocean Inc,23200,0,23200,2,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Goodman Real Estate (Washington),17400,0,17400,3,C,2022-10-28 00:00:00 +0000,16427223.28
"",D000000411,"",2022,N00048454,Tiffany Smiley (R),National Electrical Contractors Assn    ,5800,10000,15800,4,C,2022-10-28 00:00:00 +0000,16427223.28
"",D000023883,"",2022,N00048454,Tiffany Smiley (R),Amazon.com,13069,0,13069,5,C,2022-10-28 00:00:00 +0000,16427223.28
"",D000031103,"",2022,N00048454,Tiffany Smiley (R),Windermere Real Estate,13030,0,13030,6,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Lampson International,12750,0,12750,7,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Kemper Development,12600,0,12600,8,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Vesta Hospitality,12100,0,12100,9,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Plese Realty LLC,12000,0,12000,10,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Douglas Fruit,11900,0,11900,11,C,2022-10-28 00:00:00 +0000,16427223.28
"","","",2022,N00048454,Tiffany Smiley (R),Gordon Truck Centers                              ,11800,0,11800,12,C,2022-10-28 00:00:00 +0000,16427223.28
