icpsr,state_icpsr,state_abbrev,party_code,Name,Twitter_username
99912,99,USA,200,Donald Trump,realDonaldTrump
99913,99,USA,100,Joe Biden,JoeBiden
42102,41,AL,200,Tommy Tuberville,TTuberville
94659,41,AL,200,Richard Shelby,SenShelby
40300,81,AK,200,Lisa Murkowski,lisamurkowski
41500,81,AK,200,Daniel S. Sullivan,SenDanSullivan
21300,61,AZ,100,Kyrsten Sinema,SenatorSinema
41905,61,AZ,100,Mark Kelly,CaptMarkKelly
20101,42,AR,200,John Boozman,Boozman4AR
21301,42,AR,200,Tom Cotton,sentomcotton
41701,71,CA,100,Kamala Harris,KamalaHarris
42104,71,CA,100,Alex Padilla,alexpadilla4ca
49300,71,CA,100,Dianne Feinstein,SenFeinstein
40910,62,CO,100,Michael Bennet,MichaelBennet
42101,62,CO,100,John Hickenlooper,Hickenlooper
20707,1,CT,100,Chris Murphy,ChrisMurphyCT
41101,1,CT,100,Richard Blumenthal,SenBlumenthal
15015,11,DE,100,Tom Carper,SenatorCarper
40916,11,DE,100,Chris Coons,ChrisCoons
41102,43,FL,200,Marco Rubio,marcorubio
21173,48,SC,200,Tim Scott,SenatorTimScott
41904,44,GA,200,Kelly Loeffler,kloeffler
42103,44,GA,100,Jon Ossoff,ossoff
20713,82,HI,100,Mazie Hirono,maziehirono
41112,82,HI,100,Brian Schatz,SenBrianSchatz
29345,63,ID,200,Mike Crapo,MikeCrapo
40902,63,ID,200,Jim Risch,SenatorRisch
15021,21,IL,100,Dick Durbin,SenatorDurbin
21325,21,IL,100,Tammy Duckworth,senduckworth
21133,22,IN,200,Todd Young,ToddYoungIN
41900,22,IN,200,Mike Braun,braun4indiana
14226,31,IA,200,Chuck Grassley,ChuckGrassley
41502,31,IA,200,Joni Ernst,SenJoniErnst
21734,32,KS,200,Roger Marshall,RogerMarshallMD
29722,32,KS,200,Jerry Moran,JerryMoran
41104,51,KY,200,Rand Paul,RandPaul
20919,45,LA,200,Bill Cassidy,BillCassidy
41703,45,LA,200,John Neely Kennedy,JohnKennedyLA
41300,2,ME,328,Angus King,SenAngusKing
49703,2,ME,200,Susan Collins,senatorcollins
15408,52,MD,100,Ben Cardin,SenatorCardin
14435,3,MA,100,Ed Markey,SenMarkey
41301,3,MA,100,Elizabeth Warren,ewarren
20923,23,MI,100,Gary Peters,SenGaryPeters
29732,23,MI,100,Debbie Stabenow,SenStabenow
41706,33,MN,100,Tina Smith,TinaSmithMN
29534,46,MS,200,Roger Wicker,SenatorWicker
41707,46,MS,200,Cindy Hyde-Smith,SenHydeSmith
29735,34,MO,200,Roy Blunt,RoyBlunt
41901,34,MO,200,Josh Hawley,HawleyMO
21338,64,MT,200,Steve Daines,SteveDaines
40702,64,MT,100,Jon Tester,SenatorTester
41302,35,NE,200,Deb Fischer,SenatorFischer
41503,35,NE,200,Ben Sasse,SenSasse
21743,65,NV,100,Jacky Rosen,RosenforNevada
40906,4,NH,100,Jeanne Shaheen,SenatorShaheen
41702,4,NH,100,Maggie Hassan,maggie_hassan
29373,12,NJ,100,Robert Menendez,SenatorMenendez
41308,12,NJ,100,Cory Booker,CoryBooker
20930,66,NM,100,Martin Heinrich,MartinHeinrich
20932,66,NM,100,Ben R. Luján,repbenraylujan
14858,13,NY,100,Chuck Schumer,SenSchumer
20735,13,NY,100,Kirsten Gillibrand,SenGillibrand
29548,47,NC,200,Richard M. Burr,SenatorBurr
41504,47,NC,200,Thom Tillis,SenThomTillis
21350,36,ND,200,Kevin Cramer,kevincramer
41107,36,ND,200,John Hoeven,SenJohnHoeven
29386,24,OH,200,Robert Jones Portman,senrobportman
29389,24,OH,100,Sherrod Brown,SenSherrodBrown
15424,53,OK,200,Jim Mountain Inhofe,JimInhofe
21166,53,OK,200,James Lankford,SenatorLankford
14871,72,OR,100,Ron Wyden,RonWyden
40908,72,OR,100,Jeff Merkley,SenJeffMerkley
29935,14,PA,200,Patrick Joseph Toomey,SenToomey
29142,5,RI,100,Jack Reed,SenJackReed
40704,5,RI,100,Sheldon Whitehouse,SenWhitehouse
29566,48,SC,200,Lindsey Graham,LindseyGrahamSC
29754,37,SD,200,John Thune,SenJohnThune
41505,37,SD,200,Mike Rounds,SenatorRounds
20351,54,TN,200,Marsha Blackburn,MarshaBlackburn
40305,49,TX,200,John Cornyn,JohnCornyn
41110,67,UT,200,Mike Lee,SenMikeLee
41902,67,UT,200,Mitt Romney,MittRomney
14307,6,VT,100,Patrick Leahy,SenatorLeahy
29147,6,VT,328,Bernie Sanders,BernieSanders
40909,40,VA,100,Mark Warner,MarkWarner
41305,40,VA,100,Tim Kaine,timkaine
39310,73,WA,100,Maria Cantwell,SenatorCantwell
49308,73,WA,100,Patty Murray,PattyMurray
20146,56,WV,200,Shelley Moore Capito,SenCapito
40915,56,WV,100,Joe Manchin,Sen_JoeManchin
29940,25,WI,100,Tammy Baldwin,tammybaldwin
41111,25,WI,200,Ron Johnson,SenRonJohnson
20953,68,WY,200,Cynthia Lummis,CynthiaLummis
40707,68,WY,200,John Barrasso,SenJohnBarrasso
