,firstname,lastname,party,total,individual,pac,contributor,race,state,icpsr
20,john,hickenlooper,democrat,256481,256481,0,Alphabet Inc,COS2,CO,42101
21,john,hickenlooper,democrat,238166,238166,0,Democracy Engine,COS2,CO,42101
22,john,hickenlooper,democrat,176333,176333,0,University of Colorado                  ,COS2,CO,42101
23,john,hickenlooper,democrat,172769,172769,0,University of California                ,COS2,CO,42101
24,john,hickenlooper,democrat,159910,159825,85,J Street,COS2,CO,42101
25,john,hickenlooper,democrat,119505,119505,0,Microsoft Corp,COS2,CO,42101
26,john,hickenlooper,democrat,105905,105905,0,Harvard University,COS2,CO,42101
27,john,hickenlooper,democrat,73507,73507,0,Apple Inc,COS2,CO,42101
28,john,hickenlooper,democrat,71571,71571,0,Amazon.com                              ,COS2,CO,42101
29,john,hickenlooper,democrat,67202,67202,0,Walt Disney Co,COS2,CO,42101
30,john,hickenlooper,democrat,66737,66737,0,US Government,COS2,CO,42101
31,john,hickenlooper,democrat,65025,65025,0,Facebook Inc,COS2,CO,42101
32,john,hickenlooper,democrat,62390,62390,0,Stanford University,COS2,CO,42101
33,john,hickenlooper,democrat,57604,57604,0,AT&T Inc,COS2,CO,42101
34,john,hickenlooper,democrat,56641,56641,0,Comcast Corp,COS2,CO,42101
35,john,hickenlooper,democrat,51865,51865,0,Kaiser Permanente,COS2,CO,42101
36,john,hickenlooper,democrat,47436,47436,0,Liberty Media Corp,COS2,CO,42101
37,john,hickenlooper,democrat,45986,45986,0,IBM Corp,COS2,CO,42101
38,john,hickenlooper,democrat,43200,43200,0,Insight Partners,COS2,CO,42101
39,john,hickenlooper,democrat,42569,42569,0,Colorado State University,COS2,CO,42101
0,john,hoeven,republican,47850,39950,7900,American Israel Public Affairs Cmte,NDS1,ND,41107
1,john,hoeven,republican,39800,39800,0,Pro-Israel America PAC,NDS1,ND,41107
2,john,hoeven,republican,24731,24731,0,Blackstone Group,NDS1,ND,41107
3,john,hoeven,republican,23400,13400,10000,Hess Corp,NDS1,ND,41107
4,john,hoeven,republican,23200,23200,0,FTX.US,NDS1,ND,41107
5,john,hoeven,republican,21520,21520,0,Elingson Companies,NDS1,ND,41107
6,john,hoeven,republican,18422,15922,2500,Energy Transfer LP,NDS1,ND,41107
7,john,hoeven,republican,17100,17100,0,General Atomics,NDS1,ND,41107
8,john,hoeven,republican,15900,6400,9500,MDU Resources Group,NDS1,ND,41107
9,john,hoeven,republican,14753,14753,0,Walter Oil & Gas,NDS1,ND,41107
10,john,hoeven,republican,12550,2550,10000,American Crystal Sugar,NDS1,ND,41107
