affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022229,"",2020,N00035774,Dan Sullivan (R),Rpm International                                 ,48875,0,48875,1,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000085,"",2020,N00035774,Dan Sullivan (R),Goldman Sachs,47200,0,47200,2,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000024544,"",2020,N00035774,Dan Sullivan (R),"Calfee, Halter & Griswold",44800,0,44800,3,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000021972,"",2020,N00035774,Dan Sullivan (R),Elliott Management,44700,0,44700,4,I,2021-03-22 00:00:00 +0000,10472844.879999999
"","","",2020,N00035774,Dan Sullivan (R),Citizens for Prosperity in America Today,23000,7554,30554,5,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000769,"",2020,N00035774,Dan Sullivan (R),"Paul, Weiss et al",25950,0,25950,6,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000317,"",2020,N00035774,Dan Sullivan (R),General Atomics,15250,10000,25250,7,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000021873,"",2020,N00035774,Dan Sullivan (R),Blackstone Group,24900,0,24900,8,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000030537,"",2020,N00035774,Dan Sullivan (R),Trident Seafoods,20900,2900,23800,9,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000021845,"",2020,N00035774,Dan Sullivan (R),Apollo Global Management,23410,0,23410,10,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000028403,"",2020,N00035774,Dan Sullivan (R),Polaris Industries,16800,6500,23300,11,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000037787,"",2020,N00035774,Dan Sullivan (R),State of Alaska,22814,0,22814,12,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000089,"",2020,N00035774,Dan Sullivan (R),FedEx Corp,11937,9000,20937,13,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000023819,"",2020,N00035774,Dan Sullivan (R),Alaska Air Group,10540,10000,20540,14,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000032722,"",2020,N00035774,Dan Sullivan (R),Cohen Group,20200,0,20200,15,I,2021-03-22 00:00:00 +0000,10472844.879999999
"","","",2020,N00035774,Dan Sullivan (R),Century 21 Department Stores,20000,0,20000,16,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000021994,"",2020,N00035774,Dan Sullivan (R),Freeman Spogli & Co,19600,0,19600,17,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000535,"",2020,N00035774,Dan Sullivan (R),DISH Network,8400,10000,18400,18,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000061745,"",2020,N00035774,Dan Sullivan (R),Hunt Companies,18300,0,18300,19,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000000303,"",2020,N00035774,Dan Sullivan (R),ConocoPhillips,7675,10000,17675,20,I,2021-03-22 00:00:00 +0000,10472844.879999999
"",D000067823,"",2020,N00044975,Al Gross (I),Alphabet Inc,193241,0,193241,1,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000000406,"",2020,N00044975,Al Gross (I),University of California,137417,0,137417,2,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000052457,"",2020,N00044975,Al Gross (I),J Street,97682,0,97682,3,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000023883,"",2020,N00044975,Al Gross (I),Amazon.com,74008,0,74008,4,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000000115,"",2020,N00044975,Al Gross (I),Microsoft Corp,62963,0,62963,5,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000000544,"",2020,N00044975,Al Gross (I),Harvard University,61914,0,61914,6,C,2021-03-22 00:00:00 +0000,19393431.21
"",D000021754,"",2020,N00044975,Al Gross (I),Apple Inc,52582,0,52582,7,C,2021-03-22 00:00:00 +0000,19393431.21
