affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00044223,Mark Kelly (D),Democracy Engine,245011,0,245011,1,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000406,"",2022,N00044223,Mark Kelly (D),University of California                ,162838,0,162838,2,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000067823,"",2022,N00044223,Mark Kelly (D),Alphabet Inc,110153,0,110153,3,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000030646,"",2022,N00044223,Mark Kelly (D),University of Arizona,101501,0,101501,4,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000031618,"",2022,N00044223,Mark Kelly (D),Arizona State University,94369,0,94369,5,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000115,"",2022,N00044223,Mark Kelly (D),Microsoft Corp                          ,69500,0,69500,6,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000021754,"",2022,N00044223,Mark Kelly (D),Apple Inc,66909,0,66909,7,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000052457,"",2022,N00044223,Mark Kelly (D),J Street,54688,0,54688,8,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000128,"",2022,N00044223,Mark Kelly (D),Walt Disney Co,51028,0,51028,9,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000023883,"",2022,N00044223,Mark Kelly (D),Amazon.com,50808,0,50808,10,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000022300,"",2022,N00044223,Mark Kelly (D),US Government,49039,0,49039,11,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000750,"",2022,N00044223,Mark Kelly (D),Stanford University,46643,0,46643,12,I,2022-10-28 00:00:00 +0000,79361006.97
"","",C00097568,2022,N00044223,Mark Kelly (D),Raytheon Technologies,43553,0,43553,13,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000022322,"",2022,N00044223,Mark Kelly (D),Wilmerhale Llp,43201,0,43201,14,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000022121,"",2022,N00044223,Mark Kelly (D),Motley Rice LLC,42000,0,42000,15,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000804,"",2022,N00044223,Mark Kelly (D),Intel Corp,40422,0,40422,16,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000544,"",2022,N00044223,Mark Kelly (D),Harvard University,40072,0,40072,17,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000031795,"",2022,N00044223,Mark Kelly (D),Banner Health,38642,0,38642,18,I,2022-10-28 00:00:00 +0000,79361006.97
"",D000000720,"",2022,N00044223,Mark Kelly (D),IBM Corp,38248,0,38248,19,I,2022-10-28 00:00:00 +0000,79361006.97
