affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000031196,"",2020,N00031820,Chris Coons (D),"Young, Conaway et al                    ",97975,0,97975,1,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000021845,"",2020,N00031820,Chris Coons (D),Apollo Global Management,79100,0,79100,2,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000061881,"",2020,N00031820,Chris Coons (D),Jane Street Capital                               ,54100,0,54100,3,I,2021-03-22 00:00:00 +0000,7145795.56
"","",C00171926,2020,N00031820,Chris Coons (D),DuPont Co,26777,6000,32777,4,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000025328,"",2020,N00031820,Chris Coons (D),Democracy Engine,31500,0,31500,5,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000391,"",2020,N00031820,Chris Coons (D),Amgen Inc,23500,7500,31000,6,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000032451,"",2020,N00031820,Chris Coons (D),Centerview Partners,28000,0,28000,7,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000461,"",2020,N00031820,Chris Coons (D),Comcast Corp,17514,10000,27514,8,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000115,"",2020,N00031820,Chris Coons (D),Microsoft Corp,15020,10000,25020,9,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000034157,"",2020,N00031820,Chris Coons (D),Grant & Eisenhofer,23500,0,23500,10,I,2021-03-22 00:00:00 +0000,7145795.56
"","","",2020,N00031820,Chris Coons (D),Bergman Draper Oslund,23300,0,23300,11,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000535,"",2020,N00031820,Chris Coons (D),DISH Network,13000,10000,23000,12,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000018253,"",2020,N00031820,Chris Coons (D),Discover Financial Services,14600,8000,22600,13,I,2021-03-22 00:00:00 +0000,7145795.56
"","","",2020,N00031820,Chris Coons (D),Gfp Real Estate,21100,0,21100,14,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000021873,"",2020,N00031820,Chris Coons (D),Blackstone Group,20901,0,20901,15,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000058679,"",2020,N00031820,Chris Coons (D),WL Gore & Assoc,20608,0,20608,16,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000085,"",2020,N00031820,Chris Coons (D),Goldman Sachs,15100,5000,20100,17,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000464,"",2020,N00031820,Chris Coons (D),Sullivan & Cromwell,19800,0,19800,18,I,2021-03-22 00:00:00 +0000,7145795.56
"",D000000766,"",2020,N00031820,Chris Coons (D),K&L Gates,11605,7000,18605,19,I,2021-03-22 00:00:00 +0000,7145795.56
"","","",2020,N00031820,Chris Coons (D),Buccini/Pollin Group,17000,0,17000,20,I,2021-03-22 00:00:00 +0000,7145795.56
"","","",2020,N00046363,Lauren Witzke (R),Berg & Berg,11200,0,11200,1,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Sheet Metal Contracting,5600,0,5600,2,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Stevie Stacks Entertainment,5600,0,5600,3,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Ema,5000,0,5000,4,C,2021-03-22 00:00:00 +0000,468649.95
"",D000028057,"",2020,N00046363,Lauren Witzke (R),Nucor Corp,3800,0,3800,5,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Farmer Fresh Produce,3521,0,3521,6,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),National Appliance Warehouse,3500,0,3500,7,C,2021-03-22 00:00:00 +0000,468649.95
"",D000035038,"",2020,N00046363,Lauren Witzke (R),Keller Williams Realty,3250,0,3250,8,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Star Realty,3010,0,3010,9,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Conroe Empire Electric,3000,0,3000,10,C,2021-03-22 00:00:00 +0000,468649.95
"",D000037792,"",2020,N00046363,Lauren Witzke (R),State of Delaware,2925,0,2925,11,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Timber Agribusiness,2800,0,2800,12,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Vdare Foundation,2800,0,2800,13,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Smart Pharmacy,2800,0,2800,14,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Software Sales Agent,2800,0,2800,15,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),"Cohen, Klingenstein & Marks",2800,0,2800,16,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Collectors Firearms,2800,0,2800,17,C,2021-03-22 00:00:00 +0000,468649.95
"",D000061121,"",2020,N00046363,Lauren Witzke (R),Electroimpact Inc,2800,0,2800,18,C,2021-03-22 00:00:00 +0000,468649.95
"",D000062651,"",2020,N00046363,Lauren Witzke (R),Newmar Corp,2800,0,2800,19,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00046363,Lauren Witzke (R),Smcco,2500,0,2500,20,C,2021-03-22 00:00:00 +0000,468649.95
"","","",2020,N00045872,Mark Turley (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
