affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00030612,Marco Rubio (R),Votesane PAC,114900,0,114900,1,I,2022-10-28 00:00:00 +0000,46596122.82
"","",C00699470,2022,N00030612,Marco Rubio (R),Pro-Israel America PAC,104800,5000,109800,2,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000022280,"",2022,N00030612,Marco Rubio (R),The Villages,63900,0,63900,3,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000022003,"",2022,N00030612,Marco Rubio (R),GEO Group,45100,0,45100,4,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000027198,"",2022,N00030612,Marco Rubio (R),Leon Medical Centers,42800,0,42800,5,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000028612,"",2022,N00030612,Marco Rubio (R),Republican Jewish Coalition,34544,5000,39544,6,I,2022-10-28 00:00:00 +0000,46596122.82
"","",C00686709,2022,N00030612,Marco Rubio (R),Kratos Defense & Security Solutions,26300,5000,31300,7,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000162,"",2022,N00030612,Marco Rubio (R),"Akin, Gump et al",23850,4500,28350,8,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000811,"",2022,N00030612,Marco Rubio (R),Kirkland & Ellis,27550,0,27550,9,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000019743,"",2022,N00030612,Marco Rubio (R),Wells Fargo,22962,2500,25462,10,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000724,"",2022,N00030612,Marco Rubio (R),"Brownstein, Hyatt et al",16300,9000,25300,11,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000461,"",2022,N00030612,Marco Rubio (R),Comcast Corp,13225,10000,23225,12,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000061443,"",2022,N00030612,Marco Rubio (R),Giant Group,23200,0,23200,13,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000021967,"",2022,N00030612,Marco Rubio (R),Duty Free Americas,23200,0,23200,14,I,2022-10-28 00:00:00 +0000,46596122.82
"","","",2022,N00030612,Marco Rubio (R),Braman Enterprises,23200,0,23200,15,I,2022-10-28 00:00:00 +0000,46596122.82
"","","",2022,N00030612,Marco Rubio (R),Pritchett Trucking,23200,0,23200,16,I,2022-10-28 00:00:00 +0000,46596122.82
"","","",2022,N00030612,Marco Rubio (R),Wso,23200,0,23200,17,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000772,"",2022,N00030612,Marco Rubio (R),Station Casinos,22533,0,22533,18,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000022262,"",2022,N00030612,Marco Rubio (R),Southern Glazer's Wine & Spirits,7370,15000,22370,19,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000037793,"",2022,N00030612,Marco Rubio (R),State of Florida,21159,0,21159,20,I,2022-10-28 00:00:00 +0000,46596122.82
"",D000000113,"",2022,N00033449,Val Demings (D),EMILY's List,252703,5000,257703,1,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000000406,"",2022,N00033449,Val Demings (D),University of California,89378,0,89378,2,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000000128,"",2022,N00033449,Val Demings (D),Walt Disney Co,45682,2500,48182,3,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000067823,"",2022,N00033449,Val Demings (D),Alphabet Inc,45238,1000,46238,4,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000030670,"",2022,N00033449,Val Demings (D),University of Miami,40934,0,40934,5,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000030657,"",2022,N00033449,Val Demings (D),University Of Florida,34323,0,34323,6,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000022300,"",2022,N00033449,Val Demings (D),US Government,31639,0,31639,7,C,2022-10-28 00:00:00 +0000,72316478.60000001
"",D000000461,"",2022,N00033449,Val Demings (D),Comcast Corp,24288,5000,29288,8,C,2022-10-28 00:00:00 +0000,72316478.60000001
"","","",2022,N00033449,Val Demings (D),Adventhealth,27413,0,27413,9,C,2022-10-28 00:00:00 +0000,72316478.60000001
