affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2020,N00035516,David Perdue (R),Votesane PAC,321265,0,321265,1,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000028612,"",2020,N00035516,David Perdue (R),Republican Jewish Coalition,302500,15000,317500,2,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000763,"",2020,N00035516,David Perdue (R),Club for Growth,246396,0,246396,3,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000419,"",2020,N00035516,David Perdue (R),Home Depot,133616,15000,148616,4,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000350,"",2020,N00035516,David Perdue (R),Delta Air Lines,125243,15000,140243,5,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000022158,"",2020,N00035516,David Perdue (R),NorPAC,125410,0,125410,6,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000028985,"",2020,N00035516,David Perdue (R),Senate Conservatives Fund,108312,15000,123312,7,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000090,"",2020,N00035516,David Perdue (R),Bank of America,100532,8500,109032,8,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000037311,"",2020,N00035516,David Perdue (R),Ryan LLC,91200,10000,101200,9,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000019743,"",2020,N00035516,David Perdue (R),Wells Fargo,85419,15000,100419,10,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000021845,"",2020,N00035516,David Perdue (R),Apollo Global Management,89660,0,89660,11,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000085,"",2020,N00035516,David Perdue (R),Goldman Sachs,74105,12500,86605,12,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000024670,"",2020,N00035516,David Perdue (R),Centene Corp,58807,27500,86307,13,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000025214,"",2020,N00035516,David Perdue (R),CVS Health,72505,5000,77505,14,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000106,"",2020,N00035516,David Perdue (R),Morgan Stanley,67083,8000,75083,15,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000022190,"",2020,N00035516,David Perdue (R),Pilot Corp,73120,0,73120,16,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000768,"",2020,N00035516,David Perdue (R),Cox Enterprises,60607,11500,72107,17,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000022003,"",2020,N00035516,David Perdue (R),GEO Group,52523,17500,70023,18,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000021873,"",2020,N00035516,David Perdue (R),Blackstone Group,68437,0,68437,19,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000000358,"",2020,N00035516,David Perdue (R),KKR & Co,65195,2500,67695,20,I,2021-03-22 00:00:00 +0000,102253913.02
"",D000067823,"",2020,N00040675,Jon Ossoff (D),Alphabet Inc,1084606,0,1084606,1,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000406,"",2020,N00040675,Jon Ossoff (D),University of California,721821,0,721821,2,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000115,"",2020,N00040675,Jon Ossoff (D),Microsoft Corp,369789,0,369789,3,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000021754,"",2020,N00040675,Jon Ossoff (D),Apple Inc,361540,0,361540,4,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000023883,"",2020,N00040675,Jon Ossoff (D),Amazon.com                              ,333493,0,333493,5,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000033563,"",2020,N00040675,Jon Ossoff (D),Facebook Inc,262773,0,262773,6,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000022300,"",2020,N00040675,Jon Ossoff (D),US Government,238773,0,238773,7,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000076,"",2020,N00040675,Jon Ossoff (D),AT&T Inc,226458,0,226458,8,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000034986,"",2020,N00040675,Jon Ossoff (D),Kaiser Permanente,218299,0,218299,9,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000750,"",2020,N00040675,Jon Ossoff (D),Stanford University,217252,0,217252,10,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000033433,"",2020,N00040675,Jon Ossoff (D),Emory University,203559,0,203559,11,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000544,"",2020,N00040675,Jon Ossoff (D),Harvard University,202977,0,202977,12,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000025328,"",2020,N00040675,Jon Ossoff (D),Democracy Engine,188617,0,188617,13,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000052457,"",2020,N00040675,Jon Ossoff (D),J Street,183225,759,183984,14,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000128,"",2020,N00040675,Jon Ossoff (D),Walt Disney Co,181127,0,181127,15,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000030723,"",2020,N00040675,Jon Ossoff (D),US Dept of Health & Human Services      ,172258,0,172258,16,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000720,"",2020,N00040675,Jon Ossoff (D),IBM Corp,170798,0,170798,17,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000000812,"",2020,N00040675,Jon Ossoff (D),State of California,161509,0,161509,18,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000021915,"",2020,N00040675,Jon Ossoff (D),"City of New York, NY",150141,0,150141,19,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000021927,"",2020,N00040675,Jon Ossoff (D),Columbia University,141699,0,141699,20,C,2021-03-22 00:00:00 +0000,153630112.31
"",D000031179,"",2020,N00046851,Valencia Stovall (I),Yancey Brothers,2800,0,2800,1,C,2021-03-22 00:00:00 +0000,23107.37
"","","",2020,N00046851,Valencia Stovall (I),Ga Teachers Retirement System,1800,0,1800,2,C,2021-03-22 00:00:00 +0000,23107.37
"","","",2020,N00046851,Valencia Stovall (I),Mabra Firm,1000,0,1000,3,C,2021-03-22 00:00:00 +0000,23107.37
"",D000000250,"",2020,N00046851,Valencia Stovall (I),Painters & Allied Trades Union,0,1000,1000,4,C,2021-03-22 00:00:00 +0000,23107.37
"","","",2020,N00046851,Valencia Stovall (I),Ms Travis Learning Center,1000,0,1000,5,C,2021-03-22 00:00:00 +0000,23107.37
