affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000113,"",2018,N00028139,Mazie K Hirono (D),EMILY's List,42830,10000,52830,1,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000035160,"",2018,N00028139,Mazie K Hirono (D),"Kobayashi, Sugita & Goda",41050,0,41050,2,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000027454,"",2018,N00028139,Mazie K Hirono (D),Matson Inc,23100,11346,34446,3,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000023838,"",2018,N00028139,Mazie K Hirono (D),Alexander & Baldwin,17900,10000,27900,4,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000037146,"",2018,N00028139,Mazie K Hirono (D),RM Towill Corp,22100,0,22100,5,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000062941,"",2018,N00028139,Mazie K Hirono (D),Pop Fishing & Marine,21300,0,21300,6,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000054086,"",2018,N00028139,Mazie K Hirono (D),Nan Inc,20800,0,20800,7,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000021817,"",2018,N00028139,Mazie K Hirono (D),Alston & Bird,10650,10000,20650,8,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000022044,"",2018,N00028139,Mazie K Hirono (D),Intellectual Ventures LLC,10000,10000,20000,9,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000000461,"",2018,N00028139,Mazie K Hirono (D),Comcast Corp,8400,10000,18400,10,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000037795,"",2018,N00028139,Mazie K Hirono (D),State of Hawaii,17584,0,17584,11,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000030659,"",2018,N00028139,Mazie K Hirono (D),University of Hawaii,17255,0,17255,12,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000021935,"",2018,N00028139,Mazie K Hirono (D),Cooney & Conway,17200,0,17200,13,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000032347,"",2018,N00028139,Mazie K Hirono (D),Carlsmith Ball LLP,15100,0,15100,14,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000000077,"",2018,N00028139,Mazie K Hirono (D),Service Employees International Union,5000,10000,15000,15,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000000288,"",2018,N00028139,Mazie K Hirono (D),League of Conservation Voters,4375,9999,14374,16,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000060920,"",2018,N00028139,Mazie K Hirono (D),Davis Levin Livingston,13300,0,13300,17,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000022131,"",2018,N00028139,Mazie K Hirono (D),NCTA The Internet & Television Assn,5500,7500,13000,18,I,2019-06-10 00:00:00 +0000,4867005.050000001
D000022784,D000000109,"",2018,N00028139,Mazie K Hirono (D),Hawaii Medical Service Assn,12950,0,12950,19,I,2019-06-10 00:00:00 +0000,4867005.050000001
"",D000030147,"",2018,N00028139,Mazie K Hirono (D),Strategies 360,12950,0,12950,19,I,2019-06-10 00:00:00 +0000,4867005.050000001
"","","",2018,N00043698,Ron Curtis (R),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,18385.0
