affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2020,N00035483,Joni Ernst (R),Votesane PAC,103200,0,103200,1,I,2021-03-22 00:00:00 +0000,30345910.37
"","",C00097568,2020,N00035483,Joni Ernst (R),Raytheon Technologies,55340,5500,60840,2,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000021873,"",2020,N00035483,Joni Ernst (R),Blackstone Group,55546,0,55546,3,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000000321,"",2020,N00035483,Joni Ernst (R),NextEra Energy,34500,9000,43500,4,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000021972,"",2020,N00035483,Joni Ernst (R),Elliott Management,38300,0,38300,5,I,2021-03-22 00:00:00 +0000,30345910.37
"","","",2020,N00035483,Joni Ernst (R),Apollo,35000,0,35000,6,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000029292,"",2020,N00035483,Joni Ernst (R),Susan B Anthony List,27735,5000,32735,7,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000028612,"",2020,N00035483,Joni Ernst (R),Republican Jewish Coalition,24749,7003,31752,8,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000019743,"",2020,N00035483,Joni Ernst (R),Wells Fargo,22512,7500,30012,9,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000022158,"",2020,N00035483,Joni Ernst (R),NorPAC,29000,0,29000,10,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000021845,"",2020,N00035483,Joni Ernst (R),Apollo Global Management,28170,0,28170,11,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000000089,"",2020,N00035483,Joni Ernst (R),FedEx Corp,16678,10000,26678,12,I,2021-03-22 00:00:00 +0000,30345910.37
"","","",2020,N00035483,Joni Ernst (R),Lmbi Lp,25200,0,25200,13,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000021679,"",2020,N00035483,Joni Ernst (R),BGR Group,23800,0,23800,14,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000031657,"",2020,N00035483,Joni Ernst (R),Ashley Furniture,22498,0,22498,15,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000044649,"",2020,N00035483,Joni Ernst (R),Amscot Financial,22400,0,22400,16,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000030840,"",2020,N00035483,Joni Ernst (R),Village Properties                                ,21800,0,21800,17,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000024670,"",2020,N00035483,Joni Ernst (R),Centene Corp,11750,10000,21750,18,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000021907,"",2020,N00035483,Joni Ernst (R),Cerberus Capital Management             ,21145,0,21145,19,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000000811,"",2020,N00035483,Joni Ernst (R),Kirkland & Ellis,21060,0,21060,20,I,2021-03-22 00:00:00 +0000,30345910.37
"",D000067823,"",2020,N00041334,Theresa Greenfield (D),Alphabet Inc,698516,0,698516,1,C,2021-03-22 00:00:00 +0000,55592602.84
"",D000000406,"",2020,N00041334,Theresa Greenfield (D),University of California                ,493328,0,493328,2,C,2021-03-22 00:00:00 +0000,55592602.84
"",D000000113,"",2020,N00041334,Theresa Greenfield (D),Emily's List,246723,10000,256723,3,C,2021-03-22 00:00:00 +0000,55592602.84
