affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000000350,"",2020,N00029441,James E Risch (R),Delta Air Lines,24225,10000,34225,1,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000317,"",2020,N00029441,James E Risch (R),General Atomics,20600,9000,29600,2,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000021845,"",2020,N00029441,James E Risch (R),Apollo Global Management,24400,0,24400,3,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000085,"",2020,N00029441,James E Risch (R),Goldman Sachs,17900,0,17900,4,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000061745,"",2020,N00029441,James E Risch (R),Hunt Companies,16800,0,16800,5,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000061765,"",2020,N00029441,James E Risch (R),Idaho Forest Group,16800,0,16800,6,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000021679,"",2020,N00029441,James E Risch (R),BGR Group,14000,0,14000,7,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000032123,"",2020,N00029441,James E Risch (R),Bridgewater Assoc,14000,0,14000,8,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000070062,"",2020,N00029441,James E Risch (R),PotlatchDeltic Corp,6000,8000,14000,9,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000015,"",2020,N00029441,James E Risch (R),Chevron Corp,5,12500,12505,10,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000067800,"",2020,N00029441,James E Risch (R),Hewlett Packard Enterprise,1500,10000,11500,11,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000021873,"",2020,N00029441,James E Risch (R),Blackstone Group,11200,0,11200,12,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000334,"",2020,N00029441,James E Risch (R),Honeywell International,100,10000,10100,13,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000104,"",2020,N00029441,James E Risch (R),Lockheed Martin,55,10000,10055,14,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000087,"",2020,N00029441,James E Risch (R),American Bankers Assn,25,10000,10025,15,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000131,"",2020,N00029441,James E Risch (R),Deloitte LLP,25,10000,10025,16,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000165,"",2020,N00029441,James E Risch (R),General Dynamics,25,10000,10025,17,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000168,"",2020,N00029441,James E Risch (R),Southern Co,15,10000,10015,18,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000129,"",2020,N00029441,James E Risch (R),Exxon Mobil,2,10000,10002,19,I,2021-03-22 00:00:00 +0000,3321170.44
"",D000000098,"",2020,N00029441,James E Risch (R),Ernst & Young,0,10000,10000,20,I,2021-03-22 00:00:00 +0000,3321170.44
