affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00030670,Todd Young (R),Democracy Engine,218220,0,218220,1,I,2022-10-28 00:00:00 +0000,14346360.709999999
"","",C00797670,2022,N00030670,Todd Young (R),American Israel Public Affairs Cmte,88400,2100,90500,2,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000000109,"",2022,N00030670,Todd Young (R),Blue Cross/Blue Shield,49900,6500,56400,3,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000021845,"",2022,N00030670,Todd Young (R),Apollo Global Management,43950,11000,54950,4,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000021864,"",2022,N00030670,Todd Young (R),Barnes & Thornburg,41084,3500,44584,5,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000000402,"",2022,N00030670,Todd Young (R),"Welsh, Carson et al                     ",40960,0,40960,6,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000067823,"",2022,N00030670,Todd Young (R),Alphabet Inc,26200,10000,36200,7,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000032285,"",2022,N00030670,Todd Young (R),Capital Group,35410,0,35410,8,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000000535,"",2022,N00030670,Todd Young (R),DISH Network,23550,7000,30550,9,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000021945,"",2022,N00030670,Todd Young (R),Cummins Inc,25850,3000,28850,10,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000037798,"",2022,N00030670,Todd Young (R),State of Indiana,27194,0,27194,11,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000000162,"",2022,N00030670,Todd Young (R),"Akin, Gump et al",16365,7750,24115,12,I,2022-10-28 00:00:00 +0000,14346360.709999999
"","","",2022,N00030670,Todd Young (R),Shepherd Insurance,23850,0,23850,13,I,2022-10-28 00:00:00 +0000,14346360.709999999
"",D000024029,"",2022,N00030670,Todd Young (R),American United Life Insurance,13800,10000,23800,14,I,2022-10-28 00:00:00 +0000,14346360.709999999
