affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00005282,Jerry Moran (R),Votesane PAC,129925,0,129925,1,I,2022-10-28 00:00:00 +0000,6991231.13
"","",C00797670,2022,N00005282,Jerry Moran (R),American Israel Public Affairs Cmte,57000,10000,67000,2,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000535,"",2022,N00005282,Jerry Moran (R),DISH Network,33600,10000,43600,3,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000021845,"",2022,N00005282,Jerry Moran (R),Apollo Global Management,36800,0,36800,4,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000768,"",2022,N00005282,Jerry Moran (R),Cox Enterprises                         ,24950,7000,31950,5,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000461,"",2022,N00005282,Jerry Moran (R),Comcast Corp,16400,10000,26400,6,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000022158,"",2022,N00005282,Jerry Moran (R),NorPAC,24800,0,24800,7,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000321,"",2022,N00005282,Jerry Moran (R),NextEra Energy,17000,7500,24500,8,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000022003,"",2022,N00005282,Jerry Moran (R),GEO Group,24000,0,24000,9,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000021757,"",2022,N00005282,Jerry Moran (R),Berkshire Hathaway,18050,5000,23050,10,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000317,"",2022,N00005282,Jerry Moran (R),General Atomics,22100,0,22100,11,I,2022-10-28 00:00:00 +0000,6991231.13
"","","",2022,N00005282,Jerry Moran (R),Kit Bond Strategies,21000,0,21000,12,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000032392,"",2022,N00005282,Jerry Moran (R),Castle Harlan Inc,17400,0,17400,13,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000202,"",2022,N00005282,Jerry Moran (R),National Assn of Broadcasters,7000,10000,17000,14,I,2022-10-28 00:00:00 +0000,6991231.13
"","","",2022,N00005282,Jerry Moran (R),Energy Transfer LP,15922,0,15922,15,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000030898,"",2022,N00005282,Jerry Moran (R),Walter Oil & Gas,14753,0,14753,16,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000115,"",2022,N00005282,Jerry Moran (R),Microsoft Corp,4400,10000,14400,17,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000186,"",2022,N00005282,Jerry Moran (R),Koch Industries,5800,8000,13800,18,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000103,"",2022,N00005282,Jerry Moran (R),JPMorgan Chase & Co,6299,7500,13799,19,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000000724,"",2022,N00005282,Jerry Moran (R),"Brownstein, Hyatt et al                 ",5600,7500,13100,20,I,2022-10-28 00:00:00 +0000,6991231.13
"",D000059619,"",2022,N00049393,Mark Holland (D),Stifel Financial,11600,0,11600,1,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),Travel Guide,5800,0,5800,2,C,2022-10-28 00:00:00 +0000,843818.76
"",D000037205,"",2022,N00049393,Mark Holland (D),Wonderful Co,5800,0,5800,3,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),Mbio Diagnostics,5800,0,5800,4,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),K Rowe Investments,5800,0,5800,5,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),Lightdeck Diagnostics,5800,0,5800,6,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),Docking Group,5044,0,5044,7,C,2022-10-28 00:00:00 +0000,843818.76
"",D000070532,"",2022,N00049393,Mark Holland (D),Vantedge Partners,4900,0,4900,8,C,2022-10-28 00:00:00 +0000,843818.76
"",D000030663,"",2022,N00049393,Mark Holland (D),University of Kansas,4176,0,4176,9,C,2022-10-28 00:00:00 +0000,843818.76
"",D000040050,"",2022,N00049393,Mark Holland (D),University of Kansas Medical Center,4000,0,4000,10,C,2022-10-28 00:00:00 +0000,843818.76
"","","",2022,N00049393,Mark Holland (D),"Glassman, Bird & Powell",3875,0,3875,11,C,2022-10-28 00:00:00 +0000,843818.76
