affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000067478,"",2020,N00030245,Bill Cassidy (R),Ochsner Health System,60240,0,60240,1,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000022158,"",2020,N00030245,Bill Cassidy (R),NorPAC,59200,0,59200,2,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000000358,"",2020,N00030245,Bill Cassidy (R),KKR & Co,44645,13000,57645,3,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Neurological Surgery Pc,49600,0,49600,4,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000035750,"",2020,N00030245,Bill Cassidy (R),McNa Dental Plans,42300,0,42300,5,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000021757,"",2020,N00030245,Bill Cassidy (R),Berkshire Hathaway,37200,2000,39200,6,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000067692,"",2020,N00030245,Bill Cassidy (R),Acadian Companies,30650,0,30650,7,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Citizens for Prosperity in America Today,18650,10000,28650,8,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000063470,"",2020,N00030245,Bill Cassidy (R),Southern Brain & Spine,23400,0,23400,9,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000023885,"",2020,N00030245,Bill Cassidy (R),Amedisys Inc,16075,5000,21075,10,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000026905,"",2020,N00030245,Bill Cassidy (R),Jones Walker LLP,19025,1000,20025,11,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Metro Aviation Inc,19625,0,19625,12,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Sixty West                                        ,19600,0,19600,13,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000068653,"",2020,N00030245,Bill Cassidy (R),No Labels,8700,10500,19200,14,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Ray Brandt Auto Group                             ,18700,0,18700,15,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000027753,"",2020,N00030245,Bill Cassidy (R),Murphy Oil,13300,5000,18300,16,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000000255,"",2020,N00030245,Bill Cassidy (R),Entergy Corp,17090,500,17590,17,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000024670,"",2020,N00030245,Bill Cassidy (R),Centene Corp                            ,8650,8500,17150,18,I,2021-03-22 00:00:00 +0000,11304149.79
"","","",2020,N00030245,Bill Cassidy (R),Viemed,17075,0,17075,19,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000024380,"",2020,N00030245,Bill Cassidy (R),Blessey Marine Service,11900,5000,16900,20,I,2021-03-22 00:00:00 +0000,11304149.79
"",D000000406,"",2020,N00047383,Adrian Perkins (D),University of California                ,12430,0,12430,1,C,2021-03-22 00:00:00 +0000,2725721.65
"","","",2020,N00047383,Adrian Perkins (D),Cleveland Avenue LLC,11200,0,11200,2,C,2021-03-22 00:00:00 +0000,2725721.65
