affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000065181,"",2022,N00013820,Chris Van Hollen (D),Votesane PAC,106500,0,106500,1,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000052457,"",2022,N00013820,Chris Van Hollen (D),J Street,49130,0,49130,2,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000369,"",2022,N00013820,Chris Van Hollen (D),Leidos Inc                                        ,38980,7500,46480,3,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000033940,"",2022,N00013820,Chris Van Hollen (D),"Gallagher, Evelius & Jones",31350,0,31350,4,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000131,"",2022,N00013820,Chris Van Hollen (D),Deloitte LLP,15750,10000,25750,5,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000022322,"",2022,N00013820,Chris Van Hollen (D),Wilmerhale LLP,24950,0,24950,6,I,2022-10-28 00:00:00 +0000,8519790.719999999
"","",C00241380,2022,N00013820,Chris Van Hollen (D),ArentFox Schiff,20650,2500,23150,7,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000032576,"",2022,N00013820,Chris Van Hollen (D),Ciena Healthcare Management,21200,0,21200,8,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000330,"",2022,N00013820,Chris Van Hollen (D),Holland & Knight,16000,2500,18500,9,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000022053,"",2022,N00013820,Chris Van Hollen (D),Johns Hopkins University,17930,0,17930,10,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000030667,"",2022,N00013820,Chris Van Hollen (D),University of Maryland,17767,0,17767,11,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000025328,"",2022,N00013820,Chris Van Hollen (D),Democracy Engine,17400,0,17400,12,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000030723,"",2022,N00013820,Chris Van Hollen (D),US Dept of Health & Human Services,17072,0,17072,13,I,2022-10-28 00:00:00 +0000,8519790.719999999
"","","",2022,N00013820,Chris Van Hollen (D),Thegroup,17000,0,17000,14,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000461,"",2022,N00013820,Chris Van Hollen (D),Comcast Corp,11850,5000,16850,15,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000068537,"",2022,N00013820,Chris Van Hollen (D),Arnold & Porter Kaye Scholer,16850,0,16850,16,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000021988,"",2022,N00013820,Chris Van Hollen (D),Foley & Lardner,13850,2500,16350,17,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000766,"",2022,N00013820,Chris Van Hollen (D),K&L Gates,11605,4000,15605,18,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000025677,"",2022,N00013820,Chris Van Hollen (D),ESOP Assn,5500,10000,15500,19,I,2022-10-28 00:00:00 +0000,8519790.719999999
"",D000000606,"",2022,N00013820,Chris Van Hollen (D),National Assn of Real Estate Investment Trusts,5300,9500,14800,20,I,2022-10-28 00:00:00 +0000,8519790.719999999
"","","",2022,N00026737,Andrew Jaye Wildman (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00036537,Chris Chaffee (R),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
