affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021961,"",2018,N00027500,Amy Klobuchar (D),Dorsey & Whitney,60385,4750,65135,1,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000350,"",2018,N00027500,Amy Klobuchar (D),Delta Air Lines,50314,10000,60314,2,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000511,"",2018,N00027500,Amy Klobuchar (D),Cargill Inc,41375,12500,53875,3,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000467,"",2018,N00027500,Amy Klobuchar (D),General Mills,44075,9000,53075,4,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000022070,"",2018,N00027500,Amy Klobuchar (D),Land O'Lakes,39630,10000,49630,5,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000022294,"",2018,N00027500,Amy Klobuchar (D),University of Minnesota,48758,0,48758,6,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000619,"",2018,N00027500,Amy Klobuchar (D),Target Corp,36506,9500,46006,7,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000029916,"",2018,N00027500,Amy Klobuchar (D),Womencount PAC,44150,6,44156,8,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000106,"",2018,N00027500,Amy Klobuchar (D),Morgan Stanley,33400,10000,43400,9,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000022329,"",2018,N00027500,Amy Klobuchar (D),Xcel Energy,30090,10000,40090,10,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000128,"",2018,N00027500,Amy Klobuchar (D),Walt Disney Co                          ,33781,5000,38781,11,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000487,"",2018,N00027500,Amy Klobuchar (D),US Bancorp,28645,10000,38645,12,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000553,"",2018,N00027500,Amy Klobuchar (D),Robins Kaplan LLP,30400,8100,38500,13,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000022110,"",2018,N00027500,Amy Klobuchar (D),Medtronic Inc,26005,10000,36005,14,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000115,"",2018,N00027500,Amy Klobuchar (D),Microsoft Corp,25970,10000,35970,15,I,2019-06-10 00:00:00 +0000,10681535.64
"",D000000615,"",2018,N00027500,Amy Klobuchar (D),"Wachtell, Lipton et al",34765,0,34765,16,I,2019-06-10 00:00:00 +0000,10681535.64
