affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000028985,"",2020,N00033054,Steven Daines (R),Senate Conservatives Fund,285841,10000,295841,1,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000763,"",2020,N00033054,Steven Daines (R),Club for Growth,109971,0,109971,2,I,2021-03-22 00:00:00 +0000,32792199.42
"","","",2020,N00033054,Steven Daines (R),Langlas & Assoc,64102,0,64102,3,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000029292,"",2020,N00033054,Steven Daines (R),Susan B Anthony List,57225,5400,62625,4,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000028612,"",2020,N00033054,Steven Daines (R),Republican Jewish Coalition,52849,9209,62058,5,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000021873,"",2020,N00033054,Steven Daines (R),Blackstone Group                        ,53733,0,53733,6,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000485,"",2020,N00033054,Steven Daines (R),Procter & Gamble,43499,9000,52499,7,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000672,"",2020,N00033054,Steven Daines (R),Charter Communications,41124,10000,51124,8,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000022158,"",2020,N00033054,Steven Daines (R),NorPAC,40770,0,40770,9,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000044060,"",2020,N00033054,Steven Daines (R),Saulsbury Industries,39200,0,39200,10,I,2021-03-22 00:00:00 +0000,32792199.42
"","","",2020,N00033054,Steven Daines (R),GBX Group,38750,0,38750,11,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000019743,"",2020,N00033054,Steven Daines (R),Wells Fargo,24736,12000,36736,12,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000021972,"",2020,N00033054,Steven Daines (R),Elliott Management,33500,0,33500,13,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000321,"",2020,N00033054,Steven Daines (R),NextEra Energy,23399,10000,33399,14,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000060254,"",2020,N00033054,Steven Daines (R),Barnard Construction,32445,0,32445,15,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000085,"",2020,N00033054,Steven Daines (R),Goldman Sachs,19225,10000,29225,16,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000066716,"",2020,N00033054,Steven Daines (R),Rock Holdings,22000,7000,29000,17,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000034630,"",2020,N00033054,Steven Daines (R),Ignition Partners,28075,0,28075,18,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000030080,"",2020,N00033054,Steven Daines (R),Steelhead Partners,28000,0,28000,19,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000000803,"",2020,N00033054,Steven Daines (R),Sequoia Capital,28000,0,28000,20,I,2021-03-22 00:00:00 +0000,32792199.42
"",D000067823,"",2020,N00044652,Steve Bullock (D),Alphabet Inc,386499,0,386499,1,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000025328,"",2020,N00044652,Steve Bullock (D),Democracy Engine,319163,0,319163,2,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000406,"",2020,N00044652,Steve Bullock (D),University of California                ,290367,0,290367,3,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000115,"",2020,N00044652,Steve Bullock (D),Microsoft Corp,147232,0,147232,4,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000033563,"",2020,N00044652,Steve Bullock (D),Facebook Inc,133301,0,133301,5,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000023883,"",2020,N00044652,Steve Bullock (D),Amazon.com,120653,0,120653,6,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000021754,"",2020,N00044652,Steve Bullock (D),Apple Inc,119761,0,119761,7,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000544,"",2020,N00044652,Steve Bullock (D),Harvard University                      ,105329,0,105329,8,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000022300,"",2020,N00044652,Steve Bullock (D),US Government,99455,0,99455,9,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000750,"",2020,N00044652,Steve Bullock (D),Stanford University,94995,0,94995,10,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000022322,"",2020,N00044652,Steve Bullock (D),WilmerHale Llp,76591,0,76591,11,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000128,"",2020,N00044652,Steve Bullock (D),Walt Disney Co,76316,0,76316,12,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000076,"",2020,N00044652,Steve Bullock (D),AT&T Inc,68884,0,68884,13,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000021927,"",2020,N00044652,Steve Bullock (D),Columbia University,65716,0,65716,14,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000812,"",2020,N00044652,Steve Bullock (D),State of California,63060,0,63060,15,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000022297,"",2020,N00044652,Steve Bullock (D),University of Washington,58007,0,58007,16,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000422,"",2020,N00044652,Steve Bullock (D),Oracle Corp,56348,0,56348,17,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000022098,"",2020,N00044652,Steve Bullock (D),Massachusetts Institute of Technology,56321,0,56321,18,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000000811,"",2020,N00044652,Steve Bullock (D),Kirkland & Ellis,56006,0,56006,19,C,2021-03-22 00:00:00 +0000,48737895.84
"",D000022267,"",2020,N00044652,Steve Bullock (D),Steptoe & Johnson,53825,0,53825,20,C,2021-03-22 00:00:00 +0000,48737895.84
"","","",2020,N00046996,Susan Good Giese (L),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,2447.290000000001
"","","",2020,N00046723,Wendie Fredrickson (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
