affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","","",2020,N00035267,Cory Booker (D),United Airlines Holdings,39537,0,39537,1,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000021859,"",2020,N00035267,Cory Booker (D),Bain Capital,33561,0,33561,2,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000461,"",2020,N00035267,Cory Booker (D),Comcast Corp,22763,0,22763,3,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000067782,"",2020,N00035267,Cory Booker (D),Lyft Inc,21753,0,21753,4,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000077,"",2020,N00035267,Cory Booker (D),Service Employees International Union,10005,10000,20005,5,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000811,"",2020,N00035267,Cory Booker (D),Kirkland & Ellis,19860,0,19860,6,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000032451,"",2020,N00035267,Cory Booker (D),Centerview Partners,19600,0,19600,7,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000035471,"",2020,N00035267,Cory Booker (D),Lowenstein Sandler Llp,19573,0,19573,8,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000031066,"",2020,N00035267,Cory Booker (D),William Blair & Co,18300,0,18300,9,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000067823,"",2020,N00035267,Cory Booker (D),Alphabet Inc,17900,0,17900,10,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000085,"",2020,N00035267,Cory Booker (D),Goldman Sachs,17725,0,17725,11,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000022158,"",2020,N00035267,Cory Booker (D),NorPAC,17600,0,17600,12,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000333,"",2020,N00035267,Cory Booker (D),"Kleiner, Perkins et al",16800,0,16800,13,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000041981,"",2020,N00035267,Cory Booker (D),Amc Networks,16050,0,16050,14,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000769,"",2020,N00035267,Cory Booker (D),"Paul, Weiss et al",15201,0,15201,15,I,2021-03-22 00:00:00 +0000,15366762.350000001
"","",C00507574,2020,N00035267,Cory Booker (D),Motor City PAC,0,15000,15000,16,I,2021-03-22 00:00:00 +0000,15366762.350000001
"","","",2020,N00035267,Cory Booker (D),New Millennium PAC,0,15000,15000,17,I,2021-03-22 00:00:00 +0000,15366762.350000001
"","","",2020,N00035267,Cory Booker (D),Cole Schotz PC,14945,0,14945,18,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000709,"",2020,N00035267,Cory Booker (D),Susman Godfrey Llp,14750,0,14750,19,I,2021-03-22 00:00:00 +0000,15366762.350000001
"",D000000591,"",2020,N00035267,Cory Booker (D),Planned Parenthood,11343,2500,13843,20,I,2021-03-22 00:00:00 +0000,15366762.350000001
"","","",2020,N00045592,Rik Mehta (R),Cross Country M&S,8400,0,8400,1,C,2021-03-22 00:00:00 +0000,586706.1
"",D000037301,"",2020,N00045592,Rik Mehta (R),Rutgers University,5700,0,5700,2,C,2021-03-22 00:00:00 +0000,586706.1
"",D000034332,"",2020,N00045592,Rik Mehta (R),Harris Farms,5600,0,5600,3,C,2021-03-22 00:00:00 +0000,586706.1
"",D000051808,"",2020,N00045592,Rik Mehta (R),Hill & Co,5600,0,5600,4,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Berg & Berg,5600,0,5600,5,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Uptown Allergy & Asthma,5600,0,5600,6,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Tulare,5600,0,5600,7,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Private Equity Capital Corp,5600,0,5600,8,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Norwood Hospital,5600,0,5600,9,C,2021-03-22 00:00:00 +0000,586706.1
"","",C00448373,2020,N00045592,Rik Mehta (R),Huck PAC,0,5000,5000,10,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Tom Kean for Congress,0,4000,4000,11,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Frnchise Owner,2800,0,2800,12,C,2021-03-22 00:00:00 +0000,586706.1
"",D000000163,"",2020,N00045592,Rik Mehta (R),Freddie Mac,2800,0,2800,13,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Arthritis & Rheumatology Assoc,2800,0,2800,14,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Two Sigma,2800,0,2800,15,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Zettaprime Inc,2800,0,2800,16,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Sled,2800,0,2800,17,C,2021-03-22 00:00:00 +0000,586706.1
"",D000030730,"",2020,N00045592,Rik Mehta (R),US Dept of Veterans Affairs,2800,0,2800,18,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),Remote Tiger,2800,0,2800,19,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00045592,Rik Mehta (R),RWJG America,2000,0,2000,20,C,2021-03-22 00:00:00 +0000,586706.1
"","","",2020,N00046866,Veronica Fernandez (I),"Edward Wisniewski, Design Specialist",6000,0,6000,1,C,2021-03-22 00:00:00 +0000,12632.7
"","","",2020,N00046968,Daniel Burke (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,7220.0
"","","",2020,N00043917,Madelyn Hoffman (3),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,6218.86
"","","",2020,N00044238,Luis Ed Vergara (I),"",0,0,0,0,C,2021-03-22 00:00:00 +0000,0.0
