affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00037161,Catherine Cortez Masto (D),Democracy Engine,350025,0,350025,1,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000000113,"",2022,N00037161,Catherine Cortez Masto (D),EMILY's List,325455,10000,335455,2,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000065181,"",2022,N00037161,Catherine Cortez Masto (D),Votesane PAC,141000,0,141000,3,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000000406,"",2022,N00037161,Catherine Cortez Masto (D),University of California                ,135388,0,135388,4,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000052457,"",2022,N00037161,Catherine Cortez Masto (D),J Street,124279,0,124279,5,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000067823,"",2022,N00037161,Catherine Cortez Masto (D),Alphabet Inc,86794,5000,91794,6,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000021845,"",2022,N00037161,Catherine Cortez Masto (D),Apollo Global Management,55000,5400,60400,7,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000000193,"",2022,N00037161,Catherine Cortez Masto (D),MGM Resorts International,50213,10000,60213,8,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000021873,"",2022,N00037161,Catherine Cortez Masto (D),Blackstone Group                        ,55425,0,55425,9,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000030676,"",2022,N00037161,Catherine Cortez Masto (D),University of Nevada                    ,50738,0,50738,10,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000021754,"",2022,N00037161,Catherine Cortez Masto (D),Apple Inc,47911,0,47911,11,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000000115,"",2022,N00037161,Catherine Cortez Masto (D),Microsoft Corp,36660,10000,46660,12,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000024670,"",2022,N00037161,Catherine Cortez Masto (D),Centene Corp,39104,6000,45104,13,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000000461,"",2022,N00037161,Catherine Cortez Masto (D),Comcast Corp,34540,10000,44540,14,I,2022-10-28 00:00:00 +0000,52861721.28999999
"",D000023883,"",2022,N00037161,Catherine Cortez Masto (D),Amazon.com,34325,10000,44325,15,I,2022-10-28 00:00:00 +0000,52861721.28999999
