affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00001093,Charles E Schumer (D),Democracy Engine,321550,0,321550,1,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000321,"",2022,N00001093,Charles E Schumer (D),NextEra Energy,297600,5000,302600,2,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000021873,"",2022,N00001093,Charles E Schumer (D),Blackstone Group,274200,0,274200,3,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000769,"",2022,N00001093,Charles E Schumer (D),"Paul, Weiss et al                       ",223800,0,223800,4,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000067823,"",2022,N00001093,Charles E Schumer (D),Alphabet Inc,174350,5000,179350,5,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000358,"",2022,N00001093,Charles E Schumer (D),KKR & Co                                ,153700,10000,163700,6,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000031947,"",2022,N00001093,Charles E Schumer (D),BGC Partners                            ,160350,0,160350,7,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000348,"",2022,N00001093,Charles E Schumer (D),UnitedHealth Group,139465,7500,146965,8,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000457,"",2022,N00001093,Charles E Schumer (D),Corning Inc,145650,0,145650,9,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000811,"",2022,N00001093,Charles E Schumer (D),Kirkland & Ellis,144719,0,144719,10,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000217,"",2022,N00001093,Charles E Schumer (D),American Express,127600,10000,137600,11,I,2022-10-28 00:00:00 +0000,40266558.94
"","",C00100321,2022,N00001093,Charles E Schumer (D),L3Harris Technologies,135875,0,135875,12,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000115,"",2022,N00001093,Charles E Schumer (D),Microsoft Corp,127700,0,127700,13,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000000464,"",2022,N00001093,Charles E Schumer (D),Sullivan & Cromwell,123650,0,123650,14,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000054886,"",2022,N00001093,Charles E Schumer (D),NYU Langone Medical Center,120800,0,120800,15,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000048012,"",2022,N00001093,Charles E Schumer (D),Broadridge Financial Solutions,109200,8600,117800,16,I,2022-10-28 00:00:00 +0000,40266558.94
"",D000024670,"",2022,N00001093,Charles E Schumer (D),Centene Corp,112300,5000,117300,17,I,2022-10-28 00:00:00 +0000,40266558.94
