affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000036364,"",2018,N00003535,Sherrod Brown (D),Ohio State University,229447,0,229447,1,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000000288,"",2018,N00003535,Sherrod Brown (D),League of Conservation Voters,189525,9999,199524,2,I,2019-06-10 00:00:00 +0000,28659986.61
D000026918,D000052457,"",2018,N00003535,Sherrod Brown (D),JStreetPAC,169166,9706,178872,3,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000065181,"",2018,N00003535,Sherrod Brown (D),Votesane PAC,117526,0,117526,4,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000032666,"",2018,N00003535,Sherrod Brown (D),Cleveland Clinic,101744,0,101744,5,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000032380,"",2018,N00003535,Sherrod Brown (D),Case Western Reserve University,99841,0,99841,6,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000000620,"",2018,N00003535,Sherrod Brown (D),Baker & Hostetler,59949,10000,69949,7,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000029435,"",2018,N00003535,Sherrod Brown (D),Thompson Hine LLP,61561,5000,66561,8,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000034929,"",2018,N00003535,Sherrod Brown (D),Jones Day,64496,0,64496,9,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000035168,"",2018,N00003535,Sherrod Brown (D),"Kohrman, Jackson & Krantz",64268,0,64268,10,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000036339,"",2018,N00003535,Sherrod Brown (D),Oberlin College,57173,0,57173,11,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000022143,"",2018,N00003535,Sherrod Brown (D),Nationwide,39190,10000,49190,12,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000067299,"",2018,N00003535,Sherrod Brown (D),Squire Patton Boggs,43152,6000,49152,13,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000022310,"",2018,N00003535,Sherrod Brown (D),"Vorys, Sater et al",39291,9500,48791,14,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000030652,"",2018,N00003535,Sherrod Brown (D),University of Cincinnati,47535,0,47535,15,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000023797,"",2018,N00003535,Sherrod Brown (D),AK Steel,45066,1900,46966,16,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000048677,"",2018,N00003535,Sherrod Brown (D),Cincinnati Children's Hospital Medical Center,45919,0,45919,17,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000044308,"",2018,N00003535,Sherrod Brown (D),Nationwide Children's Hospital,45287,0,45287,18,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000000485,"",2018,N00003535,Sherrod Brown (D),Procter & Gamble,34948,10000,44948,19,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000000141,"",2018,N00003535,Sherrod Brown (D),Prudential Financial,29420,10000,39420,20,I,2019-06-10 00:00:00 +0000,28659986.61
"",D000034833,"",2018,N00031127,Jim Renacci (R),Jennmar Corp,38050,0,38050,1,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000000531,"",2018,N00031127,Jim Renacci (R),FirstEnergy Corp,22400,10000,32400,2,C,2019-06-10 00:00:00 +0000,4522306.13
D000060627,D000021757,"",2018,N00031127,Jim Renacci (R),Charter Brokerage LLC,22900,0,22900,3,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000000426,"",2018,N00031127,Jim Renacci (R),Timken Co,19431,2500,21931,4,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000034869,"",2018,N00031127,Jim Renacci (R),JM Smucker Co,13100,2700,15800,5,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000022229,"",2018,N00031127,Jim Renacci (R),RPM International,9100,5000,14100,6,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000031612,"",2018,N00031127,Jim Renacci (R),Ariel Corp,14050,0,14050,7,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Ancora,14000,0,14000,8,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000000121,"",2018,N00031127,Jim Renacci (R),American Financial Group,13950,0,13950,9,C,2019-06-10 00:00:00 +0000,4522306.13
D000030041,D000000111,"",2018,N00031127,Jim Renacci (R),Alticor Inc,13500,0,13500,10,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Republican Party of Ohio,2500,10000,12500,11,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Republican Party of Ohio,2500,10000,12500,11,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000035605,"",2018,N00031127,Jim Renacci (R),Bernard Marcus Family Foundation,10800,0,10800,12,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Cm Wealth Advisors                                ,10800,0,10800,12,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000021991,"",2018,N00031127,Jim Renacci (R),Franklin Resources,10800,0,10800,12,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Rubber City Arches,10800,0,10800,12,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000063958,"",2018,N00031127,Jim Renacci (R),Wallace Electrical Systems,10800,0,10800,12,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000000842,"",2018,N00031127,Jim Renacci (R),Invacare Corp,10000,500,10500,17,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000061156,"",2018,N00031127,Jim Renacci (R),Entertrainment Junction,10400,0,10400,18,C,2019-06-10 00:00:00 +0000,4522306.13
"",D000033709,"",2018,N00031127,Jim Renacci (R),Fitzpatrick Enterprises,10400,0,10400,18,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00031127,Jim Renacci (R),Kimble Companies,10400,0,10400,18,C,2019-06-10 00:00:00 +0000,4522306.13
"","","",2018,N00043800,Stephen Faris (I),"",0,0,0,0,C,2019-06-10 00:00:00 +0000,6574.0
