affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","",C00699470,2022,N00031129,James Lankford (R),Pro-Israel America PAC,167100,0,167100,1,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000065181,"",2022,N00031129,James Lankford (R),Votesane PAC,124500,0,124500,2,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000000480,"",2022,N00031129,James Lankford (R),Williams Companies,41600,6500,48100,3,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000022158,"",2022,N00031129,James Lankford (R),NorPAC,34950,5000,39950,4,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000021845,"",2022,N00031129,James Lankford (R),Apollo Global Management,25200,7500,32700,5,I,2022-10-28 00:00:00 +0000,6980379.74
"","","",2022,N00031129,James Lankford (R),American Pro-Israel PAC,27400,0,27400,6,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000000768,"",2022,N00031129,James Lankford (R),Cox Enterprises                         ,14900,7500,22400,7,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000000121,"",2022,N00031129,James Lankford (R),American Financial Group,20000,0,20000,8,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000035370,"",2022,N00031129,James Lankford (R),LHC Group,19200,0,19200,9,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000000769,"",2022,N00031129,James Lankford (R),"Paul, Weiss et al                       ",19100,0,19100,10,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000021873,"",2022,N00031129,James Lankford (R),Blackstone Group,18931,0,18931,11,I,2022-10-28 00:00:00 +0000,6980379.74
"","","",2022,N00031129,James Lankford (R),Energy Transfer LP,16172,2500,18672,12,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000031787,"",2022,N00031129,James Lankford (R),Bancfirst,16175,2000,18175,13,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000032848,"",2022,N00031129,James Lankford (R),Continental Resources,12450,5000,17450,14,I,2022-10-28 00:00:00 +0000,6980379.74
"",D000000479,"",2022,N00031129,James Lankford (R),Winston & Strawn,17400,0,17400,15,I,2022-10-28 00:00:00 +0000,6980379.74
