affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000025328,"",2022,N00007724,Ron Wyden (D),Democracy Engine,109250,0,109250,1,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000027998,"",2022,N00007724,Ron Wyden (D),Nike Inc,64475,10000,74475,2,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000000804,"",2022,N00007724,Ron Wyden (D),Intel Corp,56605,10000,66605,3,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000000109,"",2022,N00007724,Ron Wyden (D),Blue Cross/Blue Shield,22516,32500,55016,4,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00007724,Ron Wyden (D),Synergi Partners,46300,0,46300,5,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000024670,"",2022,N00007724,Ron Wyden (D),Centene Corp,34750,10000,44750,6,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000022036,"",2022,N00007724,Ron Wyden (D),Huntsman Corp,30000,10000,40000,7,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000000402,"",2022,N00007724,Ron Wyden (D),"Welsh, Carson et al",38500,0,38500,8,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000035294,"",2022,N00007724,Ron Wyden (D),Lazard Ltd,38400,0,38400,9,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000032285,"",2022,N00007724,Ron Wyden (D),Capital Group,30000,0,30000,10,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000033786,"",2022,N00007724,Ron Wyden (D),Foxkiser,28850,0,28850,11,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00007724,Ron Wyden (D),Gene Tools,28200,0,28200,12,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000021890,"",2022,N00007724,Ron Wyden (D),Capital Group Companies                 ,17900,10000,27900,13,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00007724,Ron Wyden (D),Illumina Inc,15800,10000,25800,14,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000030615,"",2022,N00007724,Ron Wyden (D),Union Square Ventures,24746,0,24746,15,I,2022-10-28 00:00:00 +0000,13610110.8
"","",C00797670,2022,N00007724,Ron Wyden (D),American Israel Public Affairs Cmte,22100,2100,24200,16,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00007724,Ron Wyden (D),Southern Current,23650,0,23650,17,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000000750,"",2022,N00007724,Ron Wyden (D),Stanford University                     ,23450,0,23450,18,I,2022-10-28 00:00:00 +0000,13610110.8
"",D000035829,"",2022,N00007724,Ron Wyden (D),Metro West Ambulance,23200,0,23200,19,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00007724,Ron Wyden (D),Freedom Road LLC (Colorado),23200,0,23200,20,I,2022-10-28 00:00:00 +0000,13610110.8
"","","",2022,N00035512,Jo Rae Perkins (R),Elijahlist Publications,2800,0,2800,1,C,2022-10-28 00:00:00 +0000,92347.29
"","","",2022,N00035512,Jo Rae Perkins (R),"Misc Small, Dollar Donations",1649,0,1649,2,C,2022-10-28 00:00:00 +0000,92347.29
"","","",2022,N00028188,Michael Stettler (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00049031,Thomas X. Verde (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00050542,Dan Pulju (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051021,Bret Westwood (I),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
"","","",2022,N00051820,Chris Henry (3),"",0,0,0,0,C,2022-10-28 00:00:00 +0000,0.0
