affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000022295,"",2018,N00027503,Bob Casey (D),University of Pennsylvania,183487,0,183487,1,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000000466,"",2018,N00027503,Bob Casey (D),Blank Rome LLP,163551,7500,171051,2,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000065699,"",2018,N00027503,Bob Casey (D),"Kessler, Topaz et al",139736,0,139736,3,I,2019-06-10 00:00:00 +0000,21266619.12
D000022740,D000022298,"",2018,N00027503,Bob Casey (D),University of Pittsburgh Medical Center,138184,0,138184,4,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000000461,"",2018,N00027503,Bob Casey (D),Comcast Corp,111628,10000,121628,5,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000021809,"",2018,N00027503,Bob Casey (D),Air Products & Chemicals Inc,108035,10000,118035,6,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000000368,"",2018,N00027503,Bob Casey (D),Exelon Corp,108871,9000,117871,7,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000022215,"",2018,N00027503,Bob Casey (D),Reed Smith LLP,97735,10000,107735,8,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000030685,"",2018,N00027503,Bob Casey (D),University of Pittsburgh,106256,0,106256,9,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000021746,"",2018,N00027503,Bob Casey (D),"Buchanan, Ingersoll & Rooney",79405,10000,89405,10,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000000288,"",2018,N00027503,Bob Casey (D),League of Conservation Voters,67273,7996,75269,11,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000031782,"",2018,N00027503,Bob Casey (D),Ballard Spahr LLP,74540,0,74540,12,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000000275,"",2018,N00027503,Bob Casey (D),Merck & Co,64030,10000,74030,13,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000022198,"",2018,N00027503,Bob Casey (D),Pride Mobility Products,63950,7500,71450,14,I,2019-06-10 00:00:00 +0000,21266619.12
"",D000025169,"",2018,N00027503,Bob Casey (D),Cozen O'Connor,57250,10000,67250,15,I,2019-06-10 00:00:00 +0000,21266619.12
