affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000028612,"",2020,N00009975,Lindsey Graham (R),Republican Jewish Coalition,102555,8239,110794,1,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000022299,"",2020,N00009975,Lindsey Graham (R),US Dept of Defense,48893,0,48893,2,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000090,"",2020,N00009975,Lindsey Graham (R),Bank of America,46364,0,46364,3,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000019743,"",2020,N00009975,Lindsey Graham (R),Wells Fargo,45053,1000,46053,4,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000022300,"",2020,N00009975,Lindsey Graham (R),US Government,42591,0,42591,5,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000100,"",2020,N00009975,Lindsey Graham (R),Boeing Co,32259,9000,41259,6,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000021873,"",2020,N00009975,Lindsey Graham (R),Blackstone Group,36333,0,36333,7,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000109,"",2020,N00009975,Lindsey Graham (R),Blue Cross/Blue Shield,24221,10000,34221,8,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000021757,"",2020,N00009975,Lindsey Graham (R),Berkshire Hathaway,23113,10000,33113,9,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000461,"",2020,N00009975,Lindsey Graham (R),Comcast Corp,23048,10000,33048,10,I,2021-03-22 00:00:00 +0000,108916223.49000001
"","",C00097568,2020,N00009975,Lindsey Graham (R),Raytheon Technologies,25968,7000,32968,11,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000350,"",2020,N00009975,Lindsey Graham (R),Delta Air Lines,25453,7500,32953,12,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000023342,"",2020,N00009975,Lindsey Graham (R),US Army,32842,0,32842,13,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000720,"",2020,N00009975,Lindsey Graham (R),IBM Corp,32673,0,32673,14,I,2021-03-22 00:00:00 +0000,108916223.49000001
"","","",2020,N00009975,Lindsey Graham (R),Rdl Inc,32400,0,32400,15,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000202,"",2020,N00009975,Lindsey Graham (R),National Assn of Broadcasters,22250,10000,32250,16,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000023074,"",2020,N00009975,Lindsey Graham (R),US Air Force,30848,0,30848,17,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000000115,"",2020,N00009975,Lindsey Graham (R),Microsoft Corp,20466,10000,30466,18,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000030737,"",2020,N00009975,Lindsey Graham (R),US Postal Service,30055,0,30055,19,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000067697,"",2020,N00009975,Lindsey Graham (R),American Airlines Group,29201,0,29201,20,I,2021-03-22 00:00:00 +0000,108916223.49000001
"",D000067823,"",2020,N00044240,Jaime Harrison (D),Alphabet Inc,575993,0,575993,1,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000000406,"",2020,N00044240,Jaime Harrison (D),University of California                ,535399,0,535399,2,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000000115,"",2020,N00044240,Jaime Harrison (D),Microsoft Corp,294811,0,294811,3,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000022300,"",2020,N00044240,Jaime Harrison (D),US Government,281299,0,281299,4,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000023883,"",2020,N00044240,Jaime Harrison (D),Amazon.com,261443,0,261443,5,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000021754,"",2020,N00044240,Jaime Harrison (D),Apple Inc,235566,0,235566,6,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000034986,"",2020,N00044240,Jaime Harrison (D),Kaiser Permanente,203822,0,203822,7,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000000128,"",2020,N00044240,Jaime Harrison (D),Walt Disney Co,200694,0,200694,8,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000033563,"",2020,N00044240,Jaime Harrison (D),Facebook Inc,190664,0,190664,9,C,2021-03-22 00:00:00 +0000,130542234.41
"",D000000076,"",2020,N00044240,Jaime Harrison (D),AT&T Inc,179641,0,179641,10,C,2021-03-22 00:00:00 +0000,130542234.41
