affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000028799,"",2020,N00045369,Bill Hagerty (R),Rogers Group,103700,5000,108700,1,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000021845,"",2020,N00045369,Bill Hagerty (R),Apollo Global Management,51850,10000,61850,2,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000037820,"",2020,N00045369,Bill Hagerty (R),State of Tennessee,60400,0,60400,3,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000089,"",2020,N00045369,Bill Hagerty (R),Fedex Corp,49335,10000,59335,4,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000445,"",2020,N00045369,Bill Hagerty (R),HCA Inc,57150,0,57150,5,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000021907,"",2020,N00045369,Bill Hagerty (R),Cerberus Capital Management,45825,0,45825,6,O,2021-03-22 00:00:00 +0000,11423536.73
"","","",2020,N00045369,Bill Hagerty (R),Hall Capital,44000,0,44000,7,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000171,"",2020,N00045369,Bill Hagerty (R),International Paper,32000,10000,42000,8,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000021940,"",2020,N00045369,Bill Hagerty (R),CoreCivic Inc,30000,10000,40000,9,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000031673,"",2020,N00045369,Bill Hagerty (R),Asurion Corp,37925,0,37925,10,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000030786,"",2020,N00045369,Bill Hagerty (R),Vanderbilt University,37695,0,37695,11,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000064266,"",2020,N00045369,Bill Hagerty (R),Acadia Healthcare,23750,10000,33750,12,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000023754,"",2020,N00045369,Bill Hagerty (R),Adams & Reese,18800,10000,28800,13,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000021873,"",2020,N00045369,Bill Hagerty (R),Blackstone Group                        ,25210,0,25210,14,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000126,"",2020,N00045369,Bill Hagerty (R),AFLAC Inc,19300,5000,24300,15,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000744,"",2020,N00045369,Bill Hagerty (R),Eastman Chemical,14100,10000,24100,16,O,2021-03-22 00:00:00 +0000,11423536.73
"","","",2020,N00045369,Bill Hagerty (R),Mountain Group Partners,22400,0,22400,17,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000030399,"",2020,N00045369,Bill Hagerty (R),Thompson Machinery,21800,0,21800,18,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000030890,"",2020,N00045369,Bill Hagerty (R),"Waller, Lansden et al",21800,0,21800,19,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000000098,"",2020,N00045369,Bill Hagerty (R),Ernst & Young,11700,10000,21700,20,O,2021-03-22 00:00:00 +0000,11423536.73
"",D000030786,"",2020,N00047441,Marquita Bradshaw (D),Vanderbilt University,17267,0,17267,1,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000067823,"",2020,N00047441,Marquita Bradshaw (D),Alphabet Inc,12143,0,12143,2,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000030694,"",2020,N00047441,Marquita Bradshaw (D),University of Tennessee,10877,0,10877,3,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000037820,"",2020,N00047441,Marquita Bradshaw (D),State of Tennessee,8585,0,8585,4,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000030787,"",2020,N00047441,Marquita Bradshaw (D),Vanderbilt University Medical Center,6917,0,6917,5,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","","",2020,N00047441,Marquita Bradshaw (D),C-III Capital Partners,5600,0,5600,6,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000077,"",2020,N00047441,Marquita Bradshaw (D),Service Employees International Union,482,5000,5482,7,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000066,"",2020,N00047441,Marquita Bradshaw (D),Teamsters Union,3,5000,5003,8,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000021932,"",2020,N00047441,Marquita Bradshaw (D),Congressional Black Caucus PAC,0,5000,5000,9,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","",C00617381,2020,N00047441,Marquita Bradshaw (D),The Collective PAC,0,5000,5000,10,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000070,"",2020,N00047441,Marquita Bradshaw (D),United Auto Workers,0,5000,5000,11,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","",C00674697,2020,N00047441,Marquita Bradshaw (D),Sunrise PAC,0,4348,4348,12,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000259,"",2020,N00047441,Marquita Bradshaw (D),Sierra Club,1610,2542,4152,13,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000445,"",2020,N00047441,Marquita Bradshaw (D),HCA Inc,3858,0,3858,14,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","","",2020,N00047441,Marquita Bradshaw (D),Body Mind Therapist,3800,0,3800,15,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","","",2020,N00047441,Marquita Bradshaw (D),LHP Capital LLC,3800,0,3800,16,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000081,"",2020,N00047441,Marquita Bradshaw (D),United Parcel Service                   ,3795,0,3795,17,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000000720,"",2020,N00047441,Marquita Bradshaw (D),IBM Corp,3699,0,3699,18,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000021754,"",2020,N00047441,Marquita Bradshaw (D),Apple Inc,3668,0,3668,19,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"",D000021915,"",2020,N00047441,Marquita Bradshaw (D),"City of New York, NY",3446,0,3446,20,O,2021-03-22 00:00:00 +0000,1606932.4200000002
"","",C00759662,2020,N00035462,Yomi Faparusi (I),Nigerian Diaspora PAC,0,5000,5000,1,O,2021-03-22 00:00:00 +0000,49874.31
"","","",2020,N00035462,Yomi Faparusi (I),Ascension,2000,0,2000,2,O,2021-03-22 00:00:00 +0000,49874.31
"","","",2020,N00035462,Yomi Faparusi (I),Grady,1000,0,1000,3,O,2021-03-22 00:00:00 +0000,49874.31
"","","",2020,N00035462,Yomi Faparusi (I),Lavo Lounge,1000,0,1000,4,O,2021-03-22 00:00:00 +0000,49874.31
