affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021859,"",2018,N00000286,Mitt Romney (R),Bain Capital,89100,0,89100,1,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000065664,"",2018,N00000286,Mitt Romney (R),Gardner Co,48600,0,48600,2,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000021873,"",2018,N00000286,Mitt Romney (R),Blackstone Group,41100,0,41100,3,O,2019-06-10 00:00:00 +0000,5504544.67
D000031591,D000021808,"",2018,N00000286,Mitt Romney (R),AQR Capital Management,38800,0,38800,4,O,2019-06-10 00:00:00 +0000,5504544.67
"","","",2018,N00000286,Mitt Romney (R),Sinclair Companies,32400,0,32400,5,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000000134,"",2018,N00000286,Mitt Romney (R),Credit Suisse Group,28000,0,28000,6,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000030180,"",2018,N00000286,Mitt Romney (R),Summit Partners,27000,0,27000,7,O,2019-06-10 00:00:00 +0000,5504544.67
D000065178,D000021873,"",2018,N00000286,Mitt Romney (R),Vivint Smart Home,27000,0,27000,7,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000000085,"",2018,N00000286,Mitt Romney (R),Goldman Sachs,24550,0,24550,9,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000029969,"",2018,N00000286,Mitt Romney (R),Zions Bancorp,24550,0,24550,9,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000022036,"",2018,N00000286,Mitt Romney (R),Huntsman Corp,24300,0,24300,11,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000030183,"",2018,N00000286,Mitt Romney (R),Sun Capital Partners,24300,0,24300,11,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000022278,"",2018,N00000286,Mitt Romney (R),TPG Capital,24300,0,24300,11,O,2019-06-10 00:00:00 +0000,5504544.67
"","",C00215046,2018,N00000286,Mitt Romney (R),Fidelity Investments,23650,0,23650,14,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000052267,"",2018,N00000286,Mitt Romney (R),Intermountain Health Care                         ,16450,0,16450,15,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000031237,"",2018,N00000286,Mitt Romney (R),4Life Research,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
D000064477,D000000810,"",2018,N00000286,Mitt Romney (R),Acosta Sales & Marketing,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000047679,"",2018,N00000286,Mitt Romney (R),Belkin International,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000032089,"",2018,N00000286,Mitt Romney (R),Brady Industries,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000065632,"",2018,N00000286,Mitt Romney (R),CR England Inc,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"","","",2018,N00000286,Mitt Romney (R),Harbour Group Industries,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000065693,"",2018,N00000286,Mitt Romney (R),Keller Investment Properties,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000064289,"",2018,N00000286,Mitt Romney (R),Larry H Miller Group,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000000272,"",2018,N00000286,Mitt Romney (R),Marriott International,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"","","",2018,N00000286,Mitt Romney (R),MRIoA,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000036227,"",2018,N00000286,Mitt Romney (R),Nierenberg Investment Management,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000037403,"",2018,N00000286,Mitt Romney (R),SCF Partners,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000030113,"",2018,N00000286,Mitt Romney (R),Stewart & Stevenson,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"","","",2018,N00000286,Mitt Romney (R),Thackeray Co,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"",D000031163,"",2018,N00000286,Mitt Romney (R),WSJ Properties,16200,0,16200,16,O,2019-06-10 00:00:00 +0000,5504544.67
"","","",2018,N00041552,Jenny Wilson (D),Doug Young Land & Livestock,27000,0,27000,1,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Gigaplex Architects                               ,21600,0,21600,2,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Nicholas & Co,21600,0,21600,2,O,2019-06-10 00:00:00 +0000,956676.97
"",D000065004,"",2018,N00041552,Jenny Wilson (D),Powdr Corp,21200,0,21200,4,O,2019-06-10 00:00:00 +0000,956676.97
"",D000030695,"",2018,N00041552,Jenny Wilson (D),University of Utah,16566,0,16566,5,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Ninigret Group,16200,0,16200,6,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),"Parsons, Behle & Latimer",15823,0,15823,7,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Alsco Inc,14750,0,14750,8,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Chg Healthcare Services,10885,0,10885,9,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Cause Strategy Partners,10800,0,10800,10,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Marsh Design,10800,0,10800,10,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Resource Management Inc,10800,0,10800,10,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Wasatch Group,10800,0,10800,10,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Willey Automotive,10800,0,10800,10,O,2019-06-10 00:00:00 +0000,956676.97
"",D000000069,"",2018,N00041552,Jenny Wilson (D),International Brotherhood of Electrical Workers,0,10000,10000,15,O,2019-06-10 00:00:00 +0000,956676.97
"",D000000140,"",2018,N00041552,Jenny Wilson (D),Ironworkers Union,0,10000,10000,15,O,2019-06-10 00:00:00 +0000,956676.97
"","",C00007542,2018,N00041552,Jenny Wilson (D),"Sheet Metal, Air, Rail & Transportation Union",0,10000,10000,15,O,2019-06-10 00:00:00 +0000,956676.97
"",D000000066,"",2018,N00041552,Jenny Wilson (D),Teamsters Union,0,10000,10000,15,O,2019-06-10 00:00:00 +0000,956676.97
"",D000000139,"",2018,N00041552,Jenny Wilson (D),Operating Engineers Union,0,9000,9000,19,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00041552,Jenny Wilson (D),Arbor Homes,8800,0,8800,20,O,2019-06-10 00:00:00 +0000,956676.97
"","","",2018,N00034296,Tim Aalders (3),Uintah Machine,3664,0,3664,1,O,2019-06-10 00:00:00 +0000,76399.18
"","","",2018,N00034296,Tim Aalders (3),Deabler Media,2700,0,2700,2,O,2019-06-10 00:00:00 +0000,76399.18
"","","",2018,N00034296,Tim Aalders (3),Media Rif,2700,0,2700,2,O,2019-06-10 00:00:00 +0000,76399.18
"","","",2018,N00034296,Tim Aalders (3),Radio Engineer,2700,0,2700,2,O,2019-06-10 00:00:00 +0000,76399.18
"","","",2018,N00034296,Tim Aalders (3),The Inkspot,1723,0,1723,5,O,2019-06-10 00:00:00 +0000,76399.18
D000000558,D000000585,"",2018,N00035465,Craig Bowden (L),Dell Emc,3365,0,3365,1,O,2019-06-10 00:00:00 +0000,44654.0
"","","",2018,N00026904,Cody Robert Judy (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043089,Reed C. Mccandless (3),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043964,Glade G Fitzgerald (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043965,Ryan Daniel Jackson (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043966,Ty Jensen (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
"","","",2018,N00043967,Abe Korb (I),"",0,0,0,0,O,2019-06-10 00:00:00 +0000,0.0
