affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000035994,"",2018,N00007836,Maria Cantwell (D),Morgan & Morgan,113400,0,113400,1,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000115,"",2018,N00007836,Maria Cantwell (D),Microsoft Corp,110174,0,110174,2,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000288,"",2018,N00007836,Maria Cantwell (D),League of Conservation Voters,106010,-37,105973,3,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000023883,"",2018,N00007836,Maria Cantwell (D),Amazon.com,62506,0,62506,4,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000022297,"",2018,N00007836,Maria Cantwell (D),University of Washington,62304,0,62304,5,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000100,"",2018,N00007836,Maria Cantwell (D),Boeing Co,61192,0,61192,6,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000113,"",2018,N00007836,Maria Cantwell (D),Emily's List,45756,0,45756,7,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000025328,"",2018,N00007836,Maria Cantwell (D),Democracy Engine,41800,0,41800,8,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000031213,"",2018,N00007836,Maria Cantwell (D),Zillow Inc,40130,0,40130,9,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000766,"",2018,N00007836,Maria Cantwell (D),K&L Gates,27995,0,27995,10,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000061285,"",2018,N00007836,Maria Cantwell (D),Fisher Investments,25400,0,25400,11,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000037825,"",2018,N00007836,Maria Cantwell (D),State of Washington,24569,0,24569,12,I,2019-06-10 00:00:00 +0000,11667705.25
"","","",2018,N00007836,Maria Cantwell (D),Valve Corp,21950,0,21950,13,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000028174,"",2018,N00007836,Maria Cantwell (D),"Orrick, Herrington & Sutcliffe",21700,0,21700,14,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000089,"",2018,N00007836,Maria Cantwell (D),Fedex Corp,21618,0,21618,15,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000036286,"",2018,N00007836,Maria Cantwell (D),Novogradac & Co,21200,0,21200,16,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000037672,"",2018,N00007836,Maria Cantwell (D),"Sonosky, Chambers et al",20750,0,20750,17,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000030147,"",2018,N00007836,Maria Cantwell (D),Strategies 360,20700,0,20700,18,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000022044,"",2018,N00007836,Maria Cantwell (D),Intellectual Ventures LLC,19435,0,19435,19,I,2019-06-10 00:00:00 +0000,11667705.25
"",D000000703,"",2018,N00007836,Maria Cantwell (D),Costco Wholesale,19105,0,19105,20,I,2019-06-10 00:00:00 +0000,11667705.25
"","","",2018,N00043629,Susan Hutchison (R),Holland Partner Group,13500,0,13500,1,C,2019-06-10 00:00:00 +0000,1910743.22
"","","",2018,N00043629,Susan Hutchison (R),Alyeska Ocean Inc,10800,0,10800,2,C,2019-06-10 00:00:00 +0000,1910743.22
"",D000032432,"",2018,N00043629,Susan Hutchison (R),Celgene Corp,10800,0,10800,2,C,2019-06-10 00:00:00 +0000,1910743.22
