TwitterID,Tweet,Retweets,Replies,Likes,Quotes
realDonaldTrump,"To all of those who have asked, I will not be going to the Inauguration on January 20th.",72710,302322,551172,107559
realDonaldTrump,"The 75,000,000 great American Patriots who voted for me, AMERICA FIRST, and MAKE AMERICA GREAT AGAIN, will have a GIANT VOICE long into the future. They will not be disrespected or treated unfairly in any way, shape or form!!!",81205,134047,459591,31449
realDonaldTrump,"I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law &amp; Order – respect the Law and our great men and women in Blue. Thank you!",127336,376014,657602,70873
realDonaldTrump,Please support our Capitol Police and Law Enforcement. They are truly on the side of our Country. Stay peaceful!,82977,187917,506808,41599
realDonaldTrump,These scoundrels are only toying with the @sendavidperdue (a great guy) vote. Just didn’t want to announce quite yet. They’ve got as many ballots as are necessary. Rigged Election!,32160,45897,183194,3889
realDonaldTrump,Even Mexico uses Voter I.D.,51104,49240,377977,12865
realDonaldTrump,The States want to redo their votes. They found out they voted on a FRAUD. Legislatures never approved. Let them do it. BE STRONG!,40154,33964,227010,4421
realDonaldTrump,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",56001,55547,285523,9887
realDonaldTrump,"THE REPUBLICAN PARTY AND, MORE IMPORTANTLY, OUR COUNTRY, NEEDS THE PRESIDENCY MORE THAN EVER BEFORE - THE POWER OF THE VETO. STAY STRONG!",38681,47072,259926,6755
realDonaldTrump,"States want to correct their votes, which they now know were based on irregularities and fraud, plus corrupt process never received legislative approval.  All Mike Pence has to do is send them back to the States, AND WE WIN. Do it Mike, this is a time for extreme courage!",36174,29664,184531,7016
realDonaldTrump,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,20828,19439,141890,2059
realDonaldTrump,"If Vice President @Mike_Pence comes through for us, we will win the Presidency. Many States want to decertify the mistake they made in certifying incorrect &amp; even fraudulent numbers in a process  NOT approved by their State Legislatures (which it must be). Mike can send it back!",39742,70051,208570,12015
