STATE,First name,Last name,Party,Incumbent
Alabama,Will,Boyd,Dem,N
Alabama,Katie,Britt,Rep,N
Alabama,John,Sophocleus,Lib,N
Alaska,Patricia,Chesbro,Dem,N
Alaska,Buzz,Kelley,Rep,N
Alaska,Lisa,Murkowski,Rep,Y
Alaska,Kelly,Tshibaka,Rep,N
Alaska,Ted,Gianoutsos,Ind,N
Alaska,Shoshana,Gungurstein,Ind,N
Alaska,Sid,Hill,Ind,N
Alaska,Joe,Stephens,Ind,N
Arizona,Mark,Kelly,Dem,Y
Arizona,Edward,Davida,Rep,N
Arizona,Blake,Masters,Rep,N
Arizona,Marc,Victor,Lib,N
Arkansas,Natalie,James,Dem,n
Arkansas,John,Boozman,Rep,y
Arkansas,Richard,Gant,Ind,n
Arkansas,James,Garner,Ind,n
Arkansas,Kenneth,Cates,Lib,n
California,Alex,Padilla,Dem,y
California,Mark,Meuser,Rep,n
Colorado,Michael,Bennet,Dem,y
Colorado,Joe,O’Dea,Rep,n
Colorado,Frank,Atwood,AVP,n
Connecticut,Richard,Blumenthal,Dem,y
Connecticut,Leora,Levy,Rep,n
Florida,Val,Demmings,Dem,n
Florida,Marco,Rubio,Rep,y
Florida,Uloma,Ekpete,NA,n
Florida,Steven,Grant,NA,n
Florida,Howard,Knepper,NA,n
Florida,Dennis,Misigoy,Lib,n
Florida,Tuan,Nguyen,NA,n
Florida,Moses,Quiles,NA,n
Georgia,Raphael,Warnock,Dem,y
Georgia,Herschel,Walker,Rep,n
Georgia,Chase,Oliver,Lib,n
Hawaii,Brian,Schatz,Dem,y
Hawaii,Bob,McDermott,Rep,n
Hawaii,Feena,Bonoan,Lib,n
Hawaii,Dan,Decker,AAP,n
Hawaii,Emma,Pohlman,Green,n
Idaho,David,Roth,Dem,n
Idaho,Mike,Crapo,Rep,y
Idaho,Scott,Cleveland,Ind,n
Idaho,Ray,Writz,Constitution,n
Illinois,Tammy,Duckworth,Dem,y
Illinois,Kathy,Salvi,Rep,n
Illinois,Lowell,Seida,Ind,n
Illinois,Bill,Redpath,Lib,n
Illinois,Connor,VlaKancic,NUP,n
Indiana,Thomas,McDermott,Dem,n
Indiana,Todd,Young,Rep,y
Indiana,Phillip,Beachy,Ind,n
Indiana,Haneefah,Khaaliq,Ind,n
Indiana,Danny,Niederberger,Ind,n
Indiana,James,Sceniak,Lib,n
Iowa,Michael,Franken,Dem,n
Iowa,Chuck,Grassley,Rep,y
Kansas,Mark,Holland,Dem,n
Kansas,Jerry,Moran,Rep,y
Kansas,David,Graham,Lib,n
Kentucky,Charles,Booker,Dem,n
Kentucky,Rand,Paul,Rep,y
Kentucky,Charles,Thomason,Ind,n
Kentucky,Billy,Wilson,Ind,n
Maryland,Scottie,Griffin,Dem,n
Maryland,Chris,Van Hollen,Dem,y
Maryland,Chris,Chaffee,Rep,n
Maryland,Andrew,Wildman,Ind,n
Missouri,Trudy,Valentine,Dem,n
Missouri,Eric,Schmitt,Rep,n
Missouri,Jonathan,Dine,Lib,n
Missouri,Paul,Venable,Constitution,n
Nevada,Catherine,Masto,Dem,y
Nevada,Adam,Laxalt,Rep,n
Nevada,Barry,Lindemann,Ind,n
New Hampshire,Maggie,Hassan,Dem,y
New Hampshire,Don,Bolduc,Rep,n
New Hampshire,Jeremy,Kauffman,Lib,n
New York,Chuck,Schumer,Dem,y
New York,Joe,Pinion,Rep,n
New York,Diana,Sare,LaRouche,n
North Carolina,Cheri,Beasley,Dem,n
North Carolina,Ted,Budd,Rep,n
North Carolina,Michelle,Lewis,Ind,n
North Carolina,Shannon,Bray,Lib,n
North Carolina,Matthew,Hoh,Green,n
North Dakota,Katrina,Christiansen,Dem,n
North Dakota,John,Hoeven,Rep,y
North Dakota,Rick,Becker,Ind,n
Ohio,Tim,Ryan,Dem,n
Ohio,J.D.,Vance,Rep,n
Ohio,Stephen,Faris,Ind,n
Ohio,LaShondra,Tinsley,Ind,n
Oklahoma,Kendra,Horn,Dem,n
Oklahoma,Madison,Horn,Dem,n
Oklahoma,James,Lankfor,Rep,y
Oklahoma,Markwayne,Mullin,Rep,n
Oklahoma,Michael,Delaney,Ind,n
Oklahoma,Ray,Woods,Ind,n
Oklahoma,Kenneth,Blevins,Lib,n
Oklahoma,Robert,Murphy,Lib,n
Oregon,Ron,Wyden,Dem,y
Oregon,Jo,Perkins,Rep,n
Oregon,Chris,Henry,Progressive,n
Oregon,Dan,Pulju,Pacific Green,n
Pennsylvania,John,Fetterman,Dem,n
Pennsylvania,Mehmet,Oz,Rep,n
Pennsylvania,Quincy,Magee,Ind,n
Pennsylvania,Erik,Gerhardt,Lib,n
Pennsylvania,Ronald,Johnson,Constitution,n
South Caroline,Krystle,Matthews,Dem,n
South Caroline,Tim,Scott,Rep,y
South Caroline,Jesse,Harper,Independent America,n
South Dakota,Brian,Bengs,Dem,n
South Dakota,John,Thune,Rep,y
South Dakota,Tamara,Lesnar,Lib,n
Utah,Mike,Lee,Red,y
Utah,Laird,Hamblin,Ind,n
Utah,Evan,McMullin,Ind,n
Utah,Michael,Seguin,Ind,n
Utah,James,Hansen,Lib,n
Utah,Tommy,Williams,Independent America,n
Vermont,Peter,Welch,Dem,n
Vermont,Gerald,Malloy,Rep,n
Vermont,Mark,Coester,Ind,n
Vermont,Cris,Ericson,Ind,n
Vermont,Kerry,Raheb,Ind,n
Washington,Patty,Murray,Dem,y
Washington,Tiffany,Smiley,Rep,n
Wisconsin,Mandela,Barnes,Dem,n
Wisconsin,Ronald,Johnson,Rep,y
Wisconsin,Adam,Paul,Ind,n
Wisconsin,Scott,Aubart,Independent America,n
