TwitterID	Tweet	Retweets	Replies	Likes	Quotes	Identifier
JoeBiden	We've taken steps to lock in vital infrastructure investments—delivering lower costs for clean energy, spurring good-paying union jobs for American workers, and advancing environmental justice in our communities. We are proving that good climate policy is good economic policy.	2168	3848	10301	135	3800
JoeBiden	RT @POTUS: When I think of Nancy Pelosi, I think of dignity. History will note her as the most consequential Speaker of the House of Repr…	23121	0	0	0	6267
JoeBiden	Today is the one-year anniversary of the Bipartisan Infrastructure Law, the most significant federal investment in our nation’s infrastructure since Eisenhower’s Interstate Highway System.	4482	3271	23506	210	3404
JoeBiden	One year after the Bipartisan Infrastructure Law was signed, it is already delivering progress on once-in-a-generation investments in our roads, bridges, clean water systems, high-speed internet access, and so much more.	2303	1430	11499	94	3405
JoeBiden	In this year’s midterm elections, we saw the strength and resilience of American democracy in action. There was a strong rejection of political violence, voter intimidation, and election deniers at every level.The American people proved—once again—democracy is who we are.	4822	6200	25236	306	3801
JoeBiden	The American people overwhelmingly support our agenda:Lower prescription drug costsMaking health care more affordableRebuilding AmericaTaking on the climate crisisMaking big corporations begin to pay their fair share in taxesIt matters.	6144	9837	32789	573	3802
JoeBiden	Tuesday was a good day for America and a good day for democracy—and a strong night for Democrats.	6172	5408	40870	405	258
JoeBiden	I will work with anyone on ideas to provide more breathing room for American families. And I will oppose any effort to undo my agenda or make inflation worse.We are on the right path, and we need to keep moving forward to build an economy from the bottom up and the middle out.	5005	8237	25473	458	3803
JoeBiden	In this midterm election, we lost fewer seats in the House than any Democratic president’s first midterm election in at least 40 years.	8044	10379	69414	979	3804
JoeBiden	You heard the man. Pitch in for Rev. Warnock tonight!	8661	2138	40451	295	6268
JoeBiden	Yesterday was a good day for democracy and a good day for America.Our democracy has been tested in recent years. But with their votes, the American people have spoken and proven once again: Democracy is who we are.	5463	4388	36746	332	259
JoeBiden	Social Security.Medicare.The right to choose.It’s all on the ballot. This election is too important to sit out.	5726	5269	25389	343	5300
JoeBiden	We have a chance to build back our country in a way that’s better for everybody, Republicans want to take us backwards.Confirm your polling location at	1185	1850	4922	90	3805
JoeBiden	We need all hands on deck to elect Democrats. Head to  to help call voters in critical battleground states.You can make the difference in the outcome of this election.	1735	2183	7470	114	3806
JoeBiden	Everything Democrats have fought so hard for is on the ballot. Ahead of Election Day, I’m in Maryland to discuss what’s at stake. Tune in now.	991	1568	3873	69	260
JoeBiden	Without a single Republican vote in Congress, congressional Democrats finally beat Big Pharma. Out-of-pocket prescription drug costs for seniors on Medicare cannot be higher than $2,000 a year.	7928	7997	40263	660	3807
JoeBiden	Democrats will continue lowering every day costs like health care and prescription drugs, while Republicans will raise prices.Make your Election Day voting plan at  today.	1562	2272	5435	124	3808
JoeBiden	Want to help Democrats win up and down the ballot tomorrow? Help make calls to voters before Election Day!One conversation can make all the difference.	1426	1817	5380	61	3809
JoeBiden	.@KathyHochul gets things done. New York, make your plan to vote tomorrow at	976	1156	3940	77	261
JoeBiden	Election Day is tomorrow, folks. Confirm your polling location at	2069	1854	7443	143	0
JoeBiden	Republicans in Congress have already introduced legislation to ban the right to choose nationwide, but if we elect more Senate Democrats and keep control of the House, we will codify Roe v. Wade as the law of the land.	6153	7753	23559	485	3406
JoeBiden	Earlier this month, we helped lower the cost of hearing aids. We made them available over the counter, which could save up to $3,000 a pair for millions of Americans with hearing loss.	3913	4171	17899	298	3810
JoeBiden	LIVE: I’m in Westchester County, New York, getting out the vote for Democrats right before Election Day. With two days left, there is so much at stake. Tune in.	873	915	3658	51	262
JoeBiden	As we enter the final days of this midterm election, remember the power to shape America is in your hands. Head to  to make your plan to vote.	1455	1563	5756	71	263
JoeBiden	It's good to get out the vote with @BarackObama in Philadelphia a few days before this critical election.	4876	4485	25807	354	264
JoeBiden	Social Security and Medicare are on the ballot.	3077	2342	8149	225	5301
JoeBiden	Pennsylvania, you have the power to make @JohnFetterman your next United States senator and @JoshShapiroPA your next governor. There’s so much on the ballot. Make a plan to vote now:	3692	3125	15085	191	265
JoeBiden	MAGA Republicans say one of their priorities is to deny Medicare the right to negotiate drug prices and give the power back to Big Pharma so they can continue to rip us off.Their plan would hurt working- and middle-class Americans.	6877	11838	23273	726	3811
JoeBiden	HAPPENING NOW: I’m in Philadelphia with my good friend @BarackObama, speaking with voters about the stakes in the midterm elections. You don’t want to miss this, folks!	1494	1653	6668	87	266
JoeBiden	The oil industry has a choice: Either begin to invest in America or pay higher taxes on your excessive profits.	3270	5484	11804	438	267
JoeBiden	This midterm election is about building a better America, but you’ve got to vote. Head to  today.	1217	1925	4980	109	268
JoeBiden	Working families can’t afford the Republican agenda.	6812	12690	17311	805	3812
JoeBiden	Senator Lindsey Graham made it clear: Republicans want a national ban on abortion. But if we elect two more Democratic senators and keep control of the House, we will codify Roe v. Wade.	4675	1999	12980	264	3407
JoeBiden	Today’s jobs report—adding 261,000 jobs with the unemployment rate still at a historically low 3.7%—shows that our jobs recovery remains strong.  While comments by Republican leadership sure seem to indicate they are rooting for a recession, the U.S. economy continues to grow.	2650	2213	9972	147	269
JoeBiden	Folks, we’re making sure everyone knows what's at stake in this election. Join me in Maryland for a grassroots rally right before Election Day. RSVP now.	583	822	2624	34	270
JoeBiden	We must, with one overwhelming unified voice, speak as a country and say there's no place for political violence in America.	2109	3569	7721	181	271
JoeBiden	Folks, no one’s gonna fight harder for New Mexico than Governor @Michelle4NM.	1059	814	5000	50	272
JoeBiden	To protect the right to choose and continue moving New Mexico forward, we must reelect Governor @Michelle4NM and vote for Democrats up and down the ballot.	1385	1662	5906	88	273
JoeBiden	If we elect two more Democrats to the Senate and keep control of the House, we’re going to codify Roe v. Wade in January so it’s the law of the land.	14493	22102	91570	2371	3408
JoeBiden	I'm excited to join folks in New Mexico to talk about the choice voters face in the midterm elections. Listen in.	555	645	2472	25	274
JoeBiden	Republicans want to talk about spending? Let’s compare.	4579	2370	11207	243	3813
JoeBiden	I’m excited to join my good friend @BarackObama in Philadelphia to fire up voters ahead of the midterm elections. The stakes couldn’t be higher. And the choice couldn’t be clearer. Sign up.	1289	1859	5610	128	275
JoeBiden	The fate of the nation—the fate of the soul of America—lies where it always does:With the people.In your hands. In your hearts. And your ballot.	1732	2987	6429	154	276
JoeBiden	History and common sense tell us that liberty, opportunity, and justice thrive in a democracy—not in an autocracy.At our best, America is not a zero-sum society where for you to succeed, someone else must fail.The promise of America is big enough for everyone to succeed.	2183	2012	8444	125	277
JoeBiden	All of us who reject political violence—and I believe that is the overwhelming majority of Americans—all of us must unite to make it absolutely clear violence and intimidation have no place in America.	6594	10365	26004	689	278
JoeBiden	American democracy is under attack because the defeated former president of the United States refuses to accept the results of the 2020 election.He refuses to accept the will of the people.He refuses to accept the fact that he lost.	12385	29228	69944	2366	279
JoeBiden	We are facing a defining moment. An inflection point.We must with one overwhelming, unified voice speak as a country and say there is no place for voter intimidation or political violence in America, whether it’s directed at Democrats or Republicans.	4560	3224	16012	239	280
JoeBiden	I will never apologize for helping middle-class Americans.	3717	9944	15905	578	3814
JoeBiden	I'm heading to New Mexico tomorrow, November 3, for a grassroots rally to discuss the importance of the midterm elections.Join me:	665	1332	3135	55	281
JoeBiden	Social Security.Medicare.A woman’s right to choose.Voting rights.It’s all at stake. Vote early or on Election Day.	8227	8603	30791	591	5302
JoeBiden	With one week to go until Election Day, I’m taking the stage in Florida to rally voters and talk about the choice we face as a country. Listen in.	837	1220	3873	52	282
JoeBiden	I’m absolutely confident that, just as they did in 2020, the American people will again vote in record numbers and make it clear that democracy is a value that defines us and unites us as Americans.The stakes couldn’t be higher.	8856	12292	39615	831	3815
JoeBiden	One more week until Election Day. Let’s do this, America.	8095	18169	51702	1334	283
