affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"","",C00797670,2022,N00048812,Katie Britt (R),American Israel Public Affairs Cmte,89800,10000,99800,1,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000034309,"",2022,N00048812,Katie Britt (R),Harbert Management                                ,73500,0,73500,2,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000051477,"",2022,N00048812,Katie Britt (R),Great Southern Wood Preserving,66700,0,66700,3,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000031869,"",2022,N00048812,Katie Britt (R),"Beasley, Allen et al",62800,0,62800,4,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000000168,"",2022,N00048812,Katie Britt (R),Southern Co,47130,10000,57130,5,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000067695,"",2022,N00048812,Katie Britt (R),Dai-Ichi Life,43200,10000,53200,6,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000028509,"",2022,N00048812,Katie Britt (R),Radiance Technologies,33400,15000,48400,7,O,2022-10-28 00:00:00 +0000,10603429.68
"","",C00166553,2022,N00048812,Katie Britt (R),Stephens Inc,41311,5000,46311,8,O,2022-10-28 00:00:00 +0000,10603429.68
"","","",2022,N00048812,Katie Britt (R),Cooper/T Smith Corp,43500,0,43500,9,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000035759,"",2022,N00048812,Katie Britt (R),McWane Inc,41250,0,41250,10,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000024527,"",2022,N00048812,Katie Britt (R),Butler Snow LLP,29495,11000,40495,11,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000030644,"",2022,N00048812,Katie Britt (R),University of Alabama,40178,0,40178,12,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000021679,"",2022,N00048812,Katie Britt (R),BGR Group,39500,0,39500,13,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000021873,"",2022,N00048812,Katie Britt (R),Blackstone Group,37700,0,37700,14,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000034864,"",2022,N00048812,Katie Britt (R),Jim Wilson & Assoc,35300,0,35300,15,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000044354,"",2022,N00048812,Katie Britt (R),"Fine, Geddie & Assoc",35005,0,35005,16,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000043815,"",2022,N00048812,Katie Britt (R),Aaa Cooper Transportation,34800,0,34800,17,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000036692,"",2022,N00048812,Katie Britt (R),Pilot Catastrophe Services,34800,0,34800,18,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000000109,"",2022,N00048812,Katie Britt (R),Blue Cross/Blue Shield,13112,20000,33112,19,O,2022-10-28 00:00:00 +0000,10603429.68
"",D000025591,"",2022,N00048812,Katie Britt (R),Drummond Co,22300,10000,32300,20,O,2022-10-28 00:00:00 +0000,10603429.68
"","","",2022,N00031440,Will Boyd (D),Excel Professional Management,6201,0,6201,1,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),David Person Media LLC,5800,0,5800,2,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),Independent Advantage,5800,0,5800,3,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),St Mark Mb Church,5441,0,5441,4,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),Democratic Party of Alabama ,5000,0,5000,5,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),Jefferson County Sheriff's Office,3000,0,3000,6,O,2022-10-28 00:00:00 +0000,117204.35
"","","",2022,N00031440,Will Boyd (D),Reine Media,2900,0,2900,7,O,2022-10-28 00:00:00 +0000,117204.35
"",D000000659,"",2022,N00031440,Will Boyd (D),State Farm Insurance,2900,0,2900,8,O,2022-10-28 00:00:00 +0000,117204.35
