affiliateid,orgid,pacid,cycle,CID,FirstLastP,Contrib,Indivs,Pacs,Total,Rank,CRPICO,ReleaseDate,NetRcpts
"",D000021845,"",2020,N00033363,Tom Cotton (R),Apollo Global Management,49035,0,49035,1,I,2021-03-22 00:00:00 +0000,12801062.75
"","",C00699470,2020,N00033363,Tom Cotton (R),Pro-israel America PAC,33550,0,33550,2,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000029205,"",2020,N00033363,Tom Cotton (R),Stephens Group,21325,5000,26325,3,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000035750,"",2020,N00033363,Tom Cotton (R),McNa Dental Plans,25400,0,25400,4,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000037074,"",2020,N00033363,Tom Cotton (R),Reyes Holdings,22400,0,22400,5,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000019743,"",2020,N00033363,Tom Cotton (R),Wells Fargo,14849,6000,20849,6,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000000367,"",2020,N00033363,Tom Cotton (R),Walmart Inc,15561,5000,20561,7,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000000111,"",2020,N00033363,Tom Cotton (R),Amway/Alticor Inc,16800,0,16800,8,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000027753,"",2020,N00033363,Tom Cotton (R),Murphy Oil,5875,10000,15875,9,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000021873,"",2020,N00033363,Tom Cotton (R),Blackstone Group                        ,14413,0,14413,10,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000000769,"",2020,N00033363,Tom Cotton (R),"Paul, Weiss et al",14225,0,14225,11,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000000090,"",2020,N00033363,Tom Cotton (R),Bank of America,8305,5000,13305,12,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000000100,"",2020,N00033363,Tom Cotton (R),Boeing Co,2791,10000,12791,13,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000021833,"",2020,N00033363,Tom Cotton (R),American Forest & Paper Assn,2500,10000,12500,14,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000033552,"",2020,N00033363,Tom Cotton (R),Experian,2500,10000,12500,15,I,2021-03-22 00:00:00 +0000,12801062.75
"","",C00097568,2020,N00033363,Tom Cotton (R),Raytheon Technologies,1165,10500,11665,16,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000028985,"",2020,N00033363,Tom Cotton (R),Senate Conservatives Fund,6600,5000,11600,17,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000022244,"",2020,N00033363,Tom Cotton (R),Sembler Co,11300,0,11300,18,I,2021-03-22 00:00:00 +0000,12801062.75
"","","",2020,N00033363,Tom Cotton (R),Dyke Industries,11200,0,11200,19,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000031616,"",2020,N00033363,Tom Cotton (R),Arizona Diamondbacks,11200,0,11200,20,I,2021-03-22 00:00:00 +0000,12801062.75
"",D000067823,"",2020,N00047433,Ricky Dale Harrington Jr (L),Alphabet Inc,3050,0,3050,1,C,2021-03-22 00:00:00 +0000,79563.9
"","","",2020,N00047433,Ricky Dale Harrington Jr (L),Broadsign International,2800,0,2800,2,C,2021-03-22 00:00:00 +0000,79563.9
"",D000022642,"",2020,N00047433,Ricky Dale Harrington Jr (L),RMS Management,2800,0,2800,3,C,2021-03-22 00:00:00 +0000,79563.9
"","","",2020,N00047433,Ricky Dale Harrington Jr (L),Fine Art Painter,1500,0,1500,4,C,2021-03-22 00:00:00 +0000,79563.9
"",D000021985,"",2020,N00047433,Ricky Dale Harrington Jr (L),First National Bank,1250,0,1250,5,C,2021-03-22 00:00:00 +0000,79563.9
"","","",2020,N00047433,Ricky Dale Harrington Jr (L),Institute for Justice,1000,0,1000,6,C,2021-03-22 00:00:00 +0000,79563.9
"",D000061887,"",2020,N00045870,Daniel Whitfield (I),JB Hunt Transport Services,1250,0,1250,1,C,2021-03-22 00:00:00 +0000,68536.09
"","","",2020,N00045870,Daniel Whitfield (I),Hannover House,1237,0,1237,2,C,2021-03-22 00:00:00 +0000,68536.09
"",D000037789,"",2020,N00045870,Daniel Whitfield (I),State of Arkansas,1148,0,1148,3,C,2021-03-22 00:00:00 +0000,68536.09
